match_id,season,date,match_number,venue,city,team1,team1_id,team2,team2_id,toss_winner,toss_decision,winner,result,series_slug,match_slug
829705,2015,2015-04-08,1st match,"Eden Gardens, Kolkata",Kolkata,Mumbai Indians,4346,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Kolkata Knight Riders,KKR won by 7 wickets (with 9 balls remaining),pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-mumbai-indians-1st-match-829705
829707,2015,2015-04-09,2nd match,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,4343,Delhi Daredevils,4344,Delhi Daredevils,field,Chennai Super Kings,CSK won by 1 run,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707
829709,2015,2015-04-10,3rd match,"Maharashtra Cricket Association Stadium, Pune",Pune,Rajasthan Royals,4345,Kings XI Punjab,4342,Kings XI Punjab,field,Rajasthan Royals,RR won by 26 runs,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-rajasthan-royals-3rd-match-829709
829711,2015,2015-04-11,4th match,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,4343,Sunrisers Hyderabad,5143,Chennai Super Kings,bat,Chennai Super Kings,CSK won by 45 runs,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-sunrisers-hyderabad-4th-match-829711
829713,2015,2015-04-11,5th match,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,4341,Royal Challengers Bangalore,4340,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RCB won by 3 wickets (with 6 balls remaining),pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-royal-challengers-bangalore-5th-match-829713
829715,2015,2015-04-12,6th match,"Feroz Shah Kotla, Delhi",Delhi,Delhi Daredevils,4344,Rajasthan Royals,4345,Rajasthan Royals,field,Rajasthan Royals,RR won by 3 wickets (with 0 balls remaining),pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-rajasthan-royals-6th-match-829715
829717,2015,2015-04-12,7th match,"Wankhede Stadium, Mumbai",Mumbai,Kings XI Punjab,4342,Mumbai Indians,4346,Mumbai Indians,field,Kings XI Punjab,Kings XI won by 18 runs,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kings-xi-punjab-7th-match-829717
829719,2015,2015-04-13,8th match,"M Chinnaswamy Stadium, Bangalore",Bengaluru,Royal Challengers Bangalore,4340,Sunrisers Hyderabad,5143,Sunrisers Hyderabad,field,Sunrisers Hyderabad,SRH won by 8 wickets (with 16 balls remaining),pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719
829721,2015,2015-04-14,9th match,"Sardar Patel Stadium, Motera, Ahmedabad",Ahmedabad,Mumbai Indians,4346,Rajasthan Royals,4345,Mumbai Indians,bat,Rajasthan Royals,RR won by 7 wickets (with 5 balls remaining),pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721
829725,2015,2015-04-15,10th match,"Maharashtra Cricket Association Stadium, Pune",Pune,Kings XI Punjab,4342,Delhi Daredevils,4344,Kings XI Punjab,bat,Delhi Daredevils,Daredevils won by 5 wickets (with 1 ball remaining),pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-delhi-daredevils-10th-match-829725
829727,2015,2015-04-16,11th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Sunrisers Hyderabad,5143,Rajasthan Royals,4345,Rajasthan Royals,field,Rajasthan Royals,RR won by 6 wickets (with 0 balls remaining),pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-rajasthan-royals-11th-match-829727
829729,2015,2015-04-17,12th match,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,4346,Chennai Super Kings,4343,Mumbai Indians,bat,Chennai Super Kings,CSK won by 6 wickets (with 20 balls remaining),pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729
829731,2015,2015-04-18,13th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Delhi Daredevils,4344,Sunrisers Hyderabad,5143,Delhi Daredevils,bat,Delhi Daredevils,Daredevils won by 4 runs,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-delhi-daredevils-13th-match-829731
829733,2015,2015-04-18,14th match,"Maharashtra Cricket Association Stadium, Pune",Pune,Kings XI Punjab,4342,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Kolkata Knight Riders,KKR won by 4 wickets (with 13 balls remaining),pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-kolkata-knight-riders-14th-match-829733
829735,2015,2015-04-19,15th match,"Sardar Patel Stadium, Motera, Ahmedabad",Ahmedabad,Chennai Super Kings,4343,Rajasthan Royals,4345,Chennai Super Kings,bat,Rajasthan Royals,RR won by 8 wickets (with 10 balls remaining),pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-chennai-super-kings-15th-match-829735
829737,2015,2015-04-19,16th match,"M Chinnaswamy Stadium, Bangalore",Bengaluru,Mumbai Indians,4346,Royal Challengers Bangalore,4340,Royal Challengers Bangalore,field,Mumbai Indians,MI won by 18 runs,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-mumbai-indians-16th-match-829737
829739,2015,2015-04-20,17th match,"Feroz Shah Kotla, Delhi",Delhi,Delhi Daredevils,4344,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Kolkata Knight Riders,KKR won by 6 wickets (with 11 balls remaining),pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-kolkata-knight-riders-17th-match-829739
829741,2015,2015-04-21,18th match,"Sardar Patel Stadium, Motera, Ahmedabad",Ahmedabad,Rajasthan Royals,4345,Kings XI Punjab,4342,Kings XI Punjab,field,,Match tied (Kings XI won the one-over eliminator),pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-kings-xi-punjab-18th-match-829741
829743,2015,2015-04-22,19th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Sunrisers Hyderabad,5143,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Sunrisers Hyderabad,SRH won by 16 runs (D/L method),pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kolkata-knight-riders-19th-match-829743
829745,2015,2015-04-22,20th match,"M Chinnaswamy Stadium, Bangalore",Bengaluru,Chennai Super Kings,4343,Royal Challengers Bangalore,4340,Royal Challengers Bangalore,field,Chennai Super Kings,CSK won by 27 runs,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745
829747,2015,2015-04-23,21st match,"Feroz Shah Kotla, Delhi",Delhi,Delhi Daredevils,4344,Mumbai Indians,4346,Mumbai Indians,field,Delhi Daredevils,Daredevils won by 37 runs,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-mumbai-indians-21st-match-829747
829749,2015,2015-04-24,22nd match,"Sardar Patel Stadium, Motera, Ahmedabad",Ahmedabad,Rajasthan Royals,4345,Royal Challengers Bangalore,4340,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RCB won by 9 wickets (with 23 balls remaining),pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-royal-challengers-bangalore-22nd-match-829749
829751,2015,2015-04-25,23rd match,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,4346,Sunrisers Hyderabad,5143,Mumbai Indians,bat,Mumbai Indians,MI won by 20 runs,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-829751
829753,2015,2015-04-25,24th match,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,4343,Kings XI Punjab,4342,Chennai Super Kings,bat,Chennai Super Kings,CSK won by 97 runs,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-kings-xi-punjab-24th-match-829753
829755,2015,2015-04-26,25th match,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,4341,Rajasthan Royals,4345,,,,Match abandoned without a ball bowled,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-rajasthan-royals-25th-match-829755
829757,2015,2015-04-26,26th match,"Feroz Shah Kotla, Delhi",Delhi,Delhi Daredevils,4344,Royal Challengers Bangalore,4340,Royal Challengers Bangalore,field,Royal Challengers Bangalore,RCB won by 10 wickets (with 57 balls remaining),pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757
829759,2015,2015-04-27,27th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Mohali,Sunrisers Hyderabad,5143,Kings XI Punjab,4342,Kings XI Punjab,field,Sunrisers Hyderabad,SRH won by 20 runs,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-sunrisers-hyderabad-27th-match-829759
829765,2015,2015-04-28,28th match,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,4343,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Chennai Super Kings,CSK won by 2 runs,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-kolkata-knight-riders-28th-match-829765
829763,2015,2015-04-29,29th match,"M Chinnaswamy Stadium, Bangalore",Bengaluru,Royal Challengers Bangalore,4340,Rajasthan Royals,4345,Rajasthan Royals,field,,No result,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-rajasthan-royals-29th-match-829763
829723,2015,2015-04-30,30th match,"Eden Gardens, Kolkata",Kolkata,Chennai Super Kings,4343,Kolkata Knight Riders,4341,Kolkata Knight Riders,field,Kolkata Knight Riders,KKR won by 7 wickets (with 1 ball remaining),pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-chennai-super-kings-30th-match-829723
829767,2015,2015-05-01,31st match,"Feroz Shah Kotla, Delhi",Delhi,Kings XI Punjab,4342,Delhi Daredevils,4344,Delhi Daredevils,field,Delhi Daredevils,Daredevils won by 9 wickets (with 37 balls remaining),pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-kings-xi-punjab-31st-match-829767
