player_id,start_date,opposition,ground,innings,dismissals,catches,stumpings,ct_wk,ct_fi
1312645,28 Apr 2022,v DC,Wankhede,2,0,0,0,0,0
1312645,7 May 2022,v LSG,Pune,1,0,0,0,0,0
1312645,29 Apr 2023,v GT,Eden Gardens,2,1,1,0,0,1
1312645,4 May 2023,v SRH,Hyderabad,2,0,0,0,0,0
1312645,8 May 2023,v Punjab Kings,Eden Gardens,1,0,0,0,0,0
1312645,11 May 2023,v RR,Eden Gardens,2,0,0,0,0,0
1312645,14 May 2023,v CSK,Chennai,1,0,0,0,0,0
1312645,20 May 2023,v LSG,Eden Gardens,1,1,1,0,0,1
1312645,17 Oct 2023,v M. Pradesh,Dehradun,1,0,0,0,0,0
1312645,21 Oct 2023,v Karnataka,Dehradun,1,0,0,0,0,0
1312645,23 Oct 2023,v Tamil Nadu,Dehradun,2,0,0,0,0,0
1312645,25 Oct 2023,v Tripura,Dehradun,2,0,0,0,0,0
1312645,23 Mar 2024,v SRH,Eden Gardens,2,1,1,0,0,1
1312645,29 Mar 2024,v RCB,Bengaluru,1,0,0,0,0,0
1312645,3 Apr 2024,v DC,Visakhapatnam,2,0,0,0,0,0
1312645,14 Apr 2024,v LSG,Eden Gardens,1,0,0,0,0,0
1312645,16 Apr 2024,v RR,Eden Gardens,2,0,0,0,0,0
1312645,21 Apr 2024,v RCB,Eden Gardens,2,2,2,0,0,2
1312645,26 Apr 2024,v Punjab Kings,Eden Gardens,2,0,0,0,0,0
1312645,29 Apr 2024,v DC,Eden Gardens,1,0,0,0,0,0
1312645,5 May 2024,v LSG,Lucknow,2,1,1,0,0,1
1312645,11 May 2024,v MI,Eden Gardens,2,0,0,0,0,0
1312645,19 May 2024,v RR,Guwahati,-,TDNF,-,-,-,-
1312645,21 May 2024,v SRH,Ahmedabad,1,0,0,0,0,0
1312645,26 May 2024,v SRH,Chennai,1,0,0,0,0,0
1312645,31 Jan 2025,v England,Pune,2,1,1,0,0,1
1312645,22 Mar 2025,v RCB,Eden Gardens,2,0,0,0,0,0
1312645,26 Mar 2025,v RR,Guwahati,1,1,1,0,0,1
1312645,31 Mar 2025,v MI,Wankhede,2,1,1,0,0,1
1312645,3 Apr 2025,v SRH,Eden Gardens,2,2,2,0,0,2
1312645,8 Apr 2025,v LSG,Eden Gardens,1,0,0,0,0,0
1312645,11 Apr 2025,v CSK,Chennai,1,0,0,0,0,0
1312645,15 Apr 2025,v Punjab Kings,New Chandigarh,1,0,0,0,0,0
1312645,21 Apr 2025,v GT,Eden Gardens,1,0,0,0,0,0
1312645,26 Apr 2025,v Punjab Kings,Eden Gardens,1,0,0,0,0,0
1312645,29 Apr 2025,v DC,Delhi,2,1,1,0,0,1
1312645,4 May 2025,v RR,Eden Gardens,2,0,0,0,0,0
1312645,7 May 2025,v CSK,Eden Gardens,2,1,1,0,0,1
1312645,25 May 2025,v SRH,Delhi,1,0,0,0,0,0
1312645,19 Sep 2025,v Oman,Abu Dhabi,2,0,0,0,0,0
1312645,26 Sep 2025,v Sri Lanka,Dubai (DICS),2,0,0,0,0,0
1312645,29 Oct 2025,v Australia,Canberra,-,TDNF,-,-,-,-
1312645,31 Oct 2025,v Australia,Melbourne,2,0,0,0,0,0
1312645,14 Dec 2025,v South Africa,Dharamsala,1,0,0,0,0,0
1312645,23 Jan 2026,v New Zealand,Raipur,1,0,0,0,0,0
1312645,25 Jan 2026,v New Zealand,Guwahati,1,0,0,0,0,0
1312645,28 Jan 2026,v New Zealand,Visakhapatnam,1,1,1,0,0,1
