player_id,start_date,opposition,ground,innings,dismissals,catches,stumpings,ct_wk,ct_fi
942367,29 Jan 2017,v Services,Dharamsala,2,1,1,0,0,1
942367,30 Jan 2017,v Haryana,Dharamsala,1,1,1,0,0,1
942367,31 Jan 2017,v Delhi,Nadaun,2,0,0,0,0,0
942367,1 Feb 2017,v J & K,Nadaun,1,0,0,0,0,0
942367,2 Feb 2017,v Punjab,Dharamsala,1,1,1,0,0,1
942367,12 Feb 2017,v South Zone,Wankhede,1,2,2,0,0,2
942367,13 Feb 2017,v West Zone,Wankhede,2,0,0,0,0,0
942367,15 Feb 2017,v Central Zone,Wankhede,1,0,0,0,0,0
942367,8 Jan 2018,v Haryana,Delhi,2,1,1,0,0,1
942367,9 Jan 2018,v J & K,Delhi,2,1,1,0,0,1
942367,13 Jan 2018,v Services,Delhi,2,0,0,0,0,0
942367,14 Jan 2018,v Delhi,Delhi,2,0,0,0,0,0
942367,15 Jan 2018,v Punjab,Delhi,1,0,0,0,0,0
942367,21 Feb 2019,v Vidarbha,Surat,2,1,1,0,0,1
942367,22 Feb 2019,v Meghalaya,Surat,2,1,1,0,0,1
942367,24 Feb 2019,v Gujarat,Surat,1,0,0,0,0,0
942367,25 Feb 2019,v Bihar,Surat,1,0,0,0,0,0
942367,27 Feb 2019,v Tamil Nadu,Surat,1,1,1,0,0,1
942367,28 Feb 2019,v Rajasthan,Surat,2,0,0,0,0,0
942367,8 Nov 2019,v Chandigarh,Chandigarh,1,1,1,0,0,1
942367,9 Nov 2019,v Chhattisgarh,Chandigarh,2,0,0,0,0,0
942367,11 Nov 2019,v Hyderabad,Chandigarh,2,0,0,0,0,0
942367,12 Nov 2019,v Punjab,Chandigarh,2,0,0,0,0,0
942367,14 Nov 2019,v Arunachal,Chandigarh,1,0,0,0,0,0
942367,15 Nov 2019,v Maharashtra,Chandigarh,2,0,0,0,0,0
942367,10 Jan 2021,v Chhattisgarh,Vadodara,2,2,2,0,0,2
942367,12 Jan 2021,v Baroda,Vadodara,2,0,0,0,0,0
942367,14 Jan 2021,v Gujarat,Vadodara,2,1,1,0,0,1
942367,16 Jan 2021,v Uttarakhand,Vadodara,1,0,0,0,0,0
942367,18 Jan 2021,v Maharashtra,Vadodara,1,0,0,0,0,0
942367,26 Jan 2021,v Tamil Nadu,Ahmedabad,2,0,0,0,0,0
942367,4 Nov 2021,v Haryana,Vadodara,2,0,0,0,0,0
942367,5 Nov 2021,v Jharkhand,Vadodara,2,0,0,0,0,0
942367,6 Nov 2021,v Rajasthan,Vadodara,2,0,0,0,0,0
942367,8 Nov 2021,v J & K,Vadodara,2,2,2,0,0,2
942367,9 Nov 2021,v Andhra,Vadodara,2,2,2,0,0,2
942367,16 Nov 2021,v Kerala,Delhi,2,0,0,0,0,0
942367,14 Oct 2022,v Bihar,Indore,2,1,1,0,0,1
942367,18 Oct 2022,v Saurashtra,Indore,2,1,1,0,0,1
942367,20 Oct 2022,v Baroda,Indore,1,1,1,0,0,1
942367,22 Oct 2022,v Nagaland,Indore,1,0,0,0,0,0
942367,1 Nov 2022,v Bengal,Kolkata,1,0,0,0,0,0
942367,3 Nov 2022,v Punjab,Eden Gardens,2,1,1,0,0,1
942367,5 Nov 2022,v Mumbai,Eden Gardens,2,1,1,0,0,1
942367,21 Apr 2023,v CSK,Chennai,2,0,0,0,0,0
942367,18 May 2023,v RCB,Hyderabad,2,0,0,0,0,0
942367,21 May 2023,v MI,Wankhede,2,0,0,0,0,0
942367,16 Oct 2023,v Kerala,Mumbai,1,0,0,0,0,0
942367,17 Oct 2023,v Odisha,Mumbai,1,1,1,0,0,1
942367,19 Oct 2023,v Chandigarh,Mumbai,1,1,1,0,0,1
942367,21 Oct 2023,v Bihar,Mumbai,1,0,0,0,0,0
942367,23 Oct 2023,v Services,DY Patil,2,2,2,0,0,2
942367,25 Oct 2023,v Assam,DY Patil,1,0,0,0,0,0
942367,27 Oct 2023,v Sikkim,DY Patil,2,0,0,0,0,0
942367,22 Mar 2024,v CSK,Chennai,2,0,0,0,0,0
942367,25 Mar 2024,v Punjab Kings,Bengaluru,1,0,0,0,0,0
942367,29 Mar 2024,v KKR,Bengaluru,2,0,0,0,0,0
942367,2 Apr 2024,v LSG,Bengaluru,1,3,3,0,0,3
942367,6 Apr 2024,v RR,Jaipur,2,0,0,0,0,0
942367,23 Nov 2024,v Arunachal,Mumbai,1,2,2,0,0,2
942367,25 Nov 2024,v UP,Wankhede,2,1,1,0,0,1
942367,27 Nov 2024,v Jharkhand,Wankhede,1,0,0,0,0,0
942367,29 Nov 2024,v J & K,Mumbai,1,1,1,0,0,1
942367,1 Dec 2024,v Delhi,Mumbai,2,1,1,0,0,1
942367,3 Dec 2024,v Haryana,Wankhede,2,0,0,0,0,0
942367,5 Dec 2024,v Manipur,Mumbai,1,0,0,0,0,0
942367,26 Nov 2025,v Punjab,Hyderabad,2,1,1,0,0,1
942367,28 Nov 2025,v Services,Hyderabad,2,0,0,0,0,0
942367,30 Nov 2025,v Baroda,Hyderabad,2,1,1,0,0,1
942367,4 Dec 2025,v Haryana,Hyderabad,2,0,0,0,0,0
942367,6 Dec 2025,v Gujarat,Hyderabad,2,1,1,0,0,1
942367,8 Dec 2025,v Puducherry,Hyderabad,1,0,0,0,0,0
