player_id,start_date,opposition,ground,innings,dismissals,catches,stumpings,ct_wk,ct_fi
46538,16 Sep 2005,v Chilaw MCC,Leicester,1,0,0,0,0,0
46538,18 Jan 2006,v Dolphins,Durban,2,1,1,0,0,1
46538,22 Jan 2006,v Warriors,Benoni,1,0,0,0,0,0
46538,27 Jan 2006,v Cape Cobras,Centurion,2,0,0,0,0,0
46538,29 Jan 2006,v Eagles,Bloemfontein,2,0,0,0,0,0
46538,1 Feb 2006,v Lions,Centurion,1,0,0,0,0,0
46538,10 Feb 2006,v Cape Cobras,Centurion,-,TDNF,-,-,-,-
46538,11 Feb 2006,v Cape Cobras,Centurion,1,0,0,0,0,0
46538,25 Feb 2007,v Eagles,Centurion,1,0,0,0,0,0
46538,9 Mar 2007,v Lions,Johannesburg,2,0,0,0,0,0
46538,14 Mar 2007,v Dolphins,Benoni,2,0,0,0,0,0
46538,18 Mar 2007,v Lions,Johannesburg,1,0,0,0,0,0
46538,22 Jun 2007,v Hampshire,Southampton,2,0,0,0,0,0
46538,23 Jun 2007,v Essex,Canterbury,2,1,1,0,0,1
46538,26 Jun 2007,v Sussex,Canterbury,2,0,0,0,0,0
46538,27 Jun 2007,v Middlesex,Uxbridge,1,1,1,0,0,1
46538,29 Jun 2007,v Essex,Chelmsford,2,0,0,0,0,0
46538,2 Jul 2007,v Surrey,Beckenham,2,0,0,0,0,0
46538,4 Jul 2007,v Middlesex,Beckenham,2,1,1,0,0,1
46538,6 Jul 2007,v Surrey,The Oval,1,0,0,0,0,0
46538,11 Sep 2007,v West Indies,Johannesburg,1,0,0,0,0,0
46538,15 Sep 2007,v Bangladesh,Cape Town,1,0,0,0,0,0
46538,16 Sep 2007,v England,Cape Town,2,0,0,0,0,0
46538,19 Sep 2007,v New Zealand,Durban,1,0,0,0,0,0
46538,20 Sep 2007,v India,Durban,1,0,0,0,0,0
46538,18 Jan 2008,v West Indies,Johannesburg,1,0,0,0,0,0
46538,20 Apr 2008,v Cape Cobras,Cape Town,2,0,0,0,0,0
46538,25 Apr 2008,v Dolphins,Durban,2,0,0,0,0,0
46538,5 Nov 2008,v Bangladesh,Johannesburg,2,0,0,0,0,0
46538,13 Jan 2009,v Australia,Brisbane,2,0,0,0,0,0
46538,7 May 2009,v RCB,Centurion,1,1,1,0,0,1
46538,11 May 2009,v Chargers,Kimberley,1,0,0,0,0,0
46538,16 Jun 2009,v India,Nottingham,2,1,1,0,0,1
46538,10 Nov 2009,v England XI,Bloemfontein,1,0,0,0,0,0
46538,5 Mar 2010,v Lions,Centurion,1,0,0,0,0,0
46538,18 Mar 2010,v RCB,Bengaluru,2,0,0,0,0,0
46538,5 Apr 2010,v Chargers,Nagpur,2,1,1,0,0,1
46538,2 May 2010,v India,Gros Islet,1,0,0,0,0,0
46538,5 May 2010,v Afghanistan,Bridgetown,2,0,0,0,0,0
46538,6 May 2010,v New Zealand,Bridgetown,2,0,0,0,0,0
46538,8 May 2010,v England,Bridgetown,1,0,0,0,0,0
46538,20 May 2010,v West Indies,North Sound,2,0,0,0,0,0
46538,8 Oct 2010,v Zimbabwe,Bloemfontein,1,0,0,0,0,0
46538,26 Oct 2010,v Pakistan,Abu Dhabi,1,0,0,0,0,0
46538,27 Oct 2010,v Pakistan,Abu Dhabi,1,0,0,0,0,0
46538,10 Apr 2011,v MI,Delhi,2,0,0,0,0,0
46538,12 Apr 2011,v RR,Jaipur,2,0,0,0,0,0
46538,19 Apr 2011,v Chargers,Delhi,1,0,0,0,0,0
46538,23 Apr 2011,v Kings XI,Delhi,2,0,0,0,0,0
46538,26 Apr 2011,v RCB,Delhi,2,0,0,0,0,0
46538,28 Apr 2011,v KKR,Delhi,1,0,0,0,0,0
46538,30 Apr 2011,v Kochi,Kochi,2,0,0,0,0,0
46538,2 May 2011,v Kochi,Delhi,2,0,0,0,0,0
46538,5 May 2011,v Chargers,Hyderabad,1,0,0,0,0,0
46538,7 May 2011,v MI,Wankhede,1,0,0,0,0,0
46538,15 May 2011,v Kings XI,Dharamsala,1,1,1,0,0,1
46538,13 Oct 2011,v Australia,Cape Town,2,0,0,0,0,0
46538,16 Oct 2011,v Australia,Johannesburg,1,0,0,0,0,0
46538,15 Feb 2012,v Canterbury,Christchurch,2,1,1,0,0,1
46538,17 Feb 2012,v New Zealand,Wellington,2,0,0,0,0,0
46538,19 Feb 2012,v New Zealand,Hamilton,1,0,0,0,0,0
46538,22 Feb 2012,v New Zealand,Auckland,2,1,1,0,0,1
46538,5 Apr 2012,v KKR,Eden Gardens,1,0,0,0,0,0
46538,7 Apr 2012,v RCB,Bengaluru,1,1,1,0,0,1
46538,10 Apr 2012,v CSK,Delhi,1,0,0,0,0,0
46538,16 Apr 2012,v MI,Wankhede,1,0,0,0,0,0
46538,19 Apr 2012,v Chargers,Delhi,1,0,0,0,0,0
46538,21 Apr 2012,v Warriors,Delhi,1,0,0,0,0,0
46538,24 Apr 2012,v Warriors,Pune,1,0,0,0,0,0
46538,27 Apr 2012,v MI,Delhi,2,0,0,0,0,0
46538,29 Apr 2012,v RR,Delhi,2,0,0,0,0,0
46538,1 May 2012,v RR,Jaipur,1,0,0,0,0,0
46538,7 May 2012,v KKR,Delhi,2,0,0,0,0,0
46538,10 May 2012,v Chargers,Hyderabad,1,0,0,0,0,0
46538,12 May 2012,v CSK,Chennai,2,0,0,0,0,0
46538,15 May 2012,v Kings XI,Delhi,1,0,0,0,0,0
46538,19 May 2012,v Kings XI,Dharamsala,1,0,0,0,0,0
46538,22 May 2012,v KKR,Pune,1,0,0,0,0,0
46538,10 Sep 2012,v England,Manchester,2,1,1,0,0,1
46538,12 Sep 2012,v England,Birmingham,1,0,0,0,0,0
46538,20 Sep 2012,v Zimbabwe,Hambantota,1,0,0,0,0,0
46538,22 Sep 2012,v Sri Lanka,Hambantota,2,0,0,0,0,0
46538,28 Sep 2012,v Pakistan,Colombo (RPS),2,0,0,0,0,0
46538,30 Sep 2012,v Australia,Colombo (RPS),2,0,0,0,0,0
46538,2 Oct 2012,v India,Colombo (RPS),1,0,0,0,0,0
46538,13 Oct 2012,v KKR,Centurion,2,0,0,0,0,0
46538,21 Oct 2012,v Scorchers,Cape Town,1,0,0,0,0,0
46538,23 Oct 2012,v Titans,Centurion,-,TDNF,-,-,-,-
46538,25 Oct 2012,v Lions,Durban,1,0,0,0,0,0
46538,23 Dec 2012,v New Zealand,East London,2,0,0,0,0,0
46538,26 Dec 2012,v New Zealand,Gqeberha,2,1,1,0,0,1
46538,22 Mar 2013,v Dolphins,Centurion,1,1,1,0,0,1
46538,26 Mar 2013,v Knights,Bloemfontein,1,0,0,0,0,0
46538,3 Apr 2013,v Warriors,East London,1,0,0,0,0,0
46538,7 Apr 2013,v Lions,Johannesburg,1,0,0,0,0,0
46538,9 Apr 2013,v MI,Wankhede,1,0,0,0,0,0
46538,12 Apr 2013,v SRH,Delhi,2,0,0,0,0,0
46538,16 Apr 2013,v RCB,Bengaluru,2,0,0,0,0,0
46538,18 Apr 2013,v CSK,Delhi,1,0,0,0,0,0
46538,28 Apr 2013,v Warriors,Raipur,2,0,0,0,0,0
46538,1 May 2013,v KKR,Raipur,1,0,0,0,0,0
46538,7 May 2013,v RR,Jaipur,2,0,0,0,0,0
46538,10 May 2013,v RCB,Delhi,1,0,0,0,0,0
46538,16 May 2013,v Kings XI,Dharamsala,1,0,0,0,0,0
46538,19 May 2013,v Warriors,Pune,1,0,0,0,0,0
46538,2 Aug 2013,v Sri Lanka,Colombo (RPS),2,0,0,0,0,0
46538,4 Aug 2013,v Sri Lanka,Hambantota,2,0,0,0,0,0
46538,6 Aug 2013,v Sri Lanka,Hambantota,2,0,0,0,0,0
46538,22 Sep 2013,v CSK,Ranchi,2,1,1,0,0,1
46538,24 Sep 2013,v Heat,Mohali,2,0,0,0,0,0
46538,28 Sep 2013,v SRH,Ranchi,1,1,1,0,0,1
46538,30 Sep 2013,v Trinidad & T,Ahmedabad,1,0,0,0,0,0
46538,20 Nov 2013,v Pakistan,Johannesburg,2,0,0,0,0,0
46538,22 Nov 2013,v Pakistan,Cape Town,1,0,0,0,0,0
46538,15 Jan 2014,v Warriors,Benoni,1,0,0,0,0,0
46538,17 Jan 2014,v Lions,Potchefstroom,2,0,0,0,0,0
46538,19 Jan 2014,v Knights,Centurion,2,0,0,0,0,0
46538,22 Jan 2014,v Cape Cobras,Cape Town,1,0,0,0,0,0
46538,24 Jan 2014,v Warriors,East London,1,0,0,0,0,0
46538,26 Jan 2014,v Lions,Benoni,1,0,0,0,0,0
46538,29 Jan 2014,v Dolphins,Centurion,2,0,0,0,0,0
46538,2 Feb 2014,v Knights,Kimberley,1,1,1,0,0,1
46538,22 Mar 2014,v Sri Lanka,Chattogram,1,0,0,0,0,0
46538,24 Mar 2014,v New Zealand,Chattogram,2,0,0,0,0,0
46538,16 Apr 2014,v MI,Abu Dhabi,2,0,0,0,0,0
46538,19 Apr 2014,v Daredevils,Dubai (DICS),2,0,0,0,0,0
46538,24 Apr 2014,v RCB,Sharjah,2,0,0,0,0,0
46538,26 Apr 2014,v Kings XI,Abu Dhabi,1,2,2,0,0,2
46538,29 Apr 2014,v RR,Abu Dhabi,1,0,0,0,0,0
46538,11 May 2014,v Kings XI,Cuttack,1,1,1,0,0,1
46538,14 May 2014,v MI,Cuttack,1,0,0,0,0,0
46538,18 May 2014,v SRH,Hyderabad,1,1,1,0,0,1
46538,22 May 2014,v RCB,Eden Gardens,2,1,1,0,0,1
46538,24 May 2014,v SRH,Eden Gardens,1,0,0,0,0,0
46538,27 May 2014,v Kings XI,Eden Gardens,2,0,0,0,0,0
46538,1 Jun 2014,v Kings XI,Bengaluru,1,1,1,0,0,1
46538,8 Apr 2015,v MI,Eden Gardens,1,0,0,0,0,0
46538,11 Apr 2015,v RCB,Eden Gardens,2,0,0,0,0,0
46538,18 Apr 2015,v Kings XI,Pune,1,0,0,0,0,0
46538,20 Apr 2015,v Daredevils,Delhi,1,0,0,0,0,0
46538,22 Apr 2015,v SRH,Visakhapatnam,1,0,0,0,0,0
46538,14 May 2015,v MI,Wankhede,1,0,0,0,0,0
46538,16 May 2015,v RR,Brabourne,1,1,1,0,0,1
46538,14 Aug 2015,v New Zealand,Durban,1,1,1,0,0,1
46538,16 Apr 2016,v SRH,Hyderabad,1,0,0,0,0,0
46538,19 Apr 2016,v Kings XI,Mohali,1,0,0,0,0,0
46538,24 Apr 2016,v Supergiants,Pune,1,0,0,0,0,0
46538,2 May 2016,v RCB,Bengaluru,1,0,0,0,0,0
46538,4 May 2016,v Kings XI,Eden Gardens,2,0,0,0,0,0
46538,8 May 2016,v Guj Lions,Eden Gardens,2,0,0,0,0,0
46538,14 May 2016,v Supergiants,Eden Gardens,1,0,0,0,0,0
46538,16 May 2016,v RCB,Eden Gardens,2,0,0,0,0,0
46538,19 May 2016,v Guj Lions,Kanpur,2,0,0,0,0,0
46538,25 May 2016,v SRH,Delhi,1,0,0,0,0,0
46538,29 Jun 2016,v Trinbago,Port of Spain,1,0,0,0,0,0
46538,3 Jul 2016,v Patriots,Basseterre,1,0,0,0,0,0
46538,17 Jul 2016,v Tridents,Bridgetown,1,0,0,0,0,0
46538,21 Jul 2016,v Patriots,Gros Islet,2,0,0,0,0,0
46538,23 Jul 2016,v Tridents,Gros Islet,1,0,0,0,0,0
46538,23 Jun 2017,v England,Taunton,2,0,0,0,0,0
46538,25 Jun 2017,v England,Cardiff,1,0,0,0,0,0
46538,12 Sep 2017,v Pakistan,Lahore,1,0,0,0,0,0
46538,13 Sep 2017,v Pakistan,Lahore,1,0,0,0,0,0
46538,15 Sep 2017,v Pakistan,Lahore,1,0,0,0,0,0
46538,10 Dec 2017,v Dolphins,Durban,1,0,0,0,0,0
46538,5 Jul 2018,v Middlesex,Lord's,2,0,0,0,0,0
46538,6 Jul 2018,v Kent,The Oval,1,0,0,0,0,0
46538,12 Jul 2018,v Essex,The Oval,2,0,0,0,0,0
