player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
500360,Akshdeep Nath,17 Mar 2013,v Railways,Nagpur,2,4,31*,39,24,3,1,129.16,not out,1,DNB,-,-,-,-
500360,Akshdeep Nath,19 Mar 2013,v M. Pradesh,Nagpur,1,4,1,5,3,0,0,33.33,run out,2,DNB,-,-,-,-
500360,Akshdeep Nath,21 Mar 2013,v Rajasthan,Nagpur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
500360,Akshdeep Nath,22 Mar 2013,v Vidarbha,Nagpur,2,4,11*,12,8,0,1,137.5,not out,1,DNB,-,-,-,-
500360,Akshdeep Nath,27 Mar 2013,v Bengal,Indore,2,5,2,-,2,0,0,100,run out,1,DNB,-,-,-,-
500360,Akshdeep Nath,28 Mar 2013,v Karnataka,Indore,1,4,2,9,7,0,0,28.57,caught,2,DNB,-,-,-,-
500360,Akshdeep Nath,29 Mar 2013,v Baroda,Indore,2,5,21,24,22,2,0,95.45,caught,1,DNB,-,-,-,-
500360,Akshdeep Nath,30 Mar 2013,v Punjab,Indore,2,4,0,3,3,0,0,0,caught,1,DNB,-,-,-,-
500360,Akshdeep Nath,31 Mar 2014,v Vidarbha,Nagpur,1,5,35,31,28,5,0,125,bowled,2,DNB,-,-,-,-
500360,Akshdeep Nath,1 Apr 2014,v Rajasthan,Nagpur,2,7,1*,2,5,0,0,20,not out,1,2.0,0,13,0,6.5
500360,Akshdeep Nath,2 Apr 2014,v M. Pradesh,Nagpur,2,5,2,3,4,0,0,50,lbw,1,DNB,-,-,-,-
500360,Akshdeep Nath,5 Apr 2014,v Railways,Nagpur,1,5,28,30,29,3,0,96.55,caught,2,DNB,-,-,-,-
500360,Akshdeep Nath,9 Apr 2014,v Jharkhand,Rajkot,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,3,5
500360,Akshdeep Nath,10 Apr 2014,v Goa,Rajkot,1,5,10*,3,5,2,0,200,not out,2,1.0,0,2,1,2
500360,Akshdeep Nath,11 Apr 2014,v Gujarat,Rajkot,2,5,27,32,24,1,1,112.5,bowled,1,2.0,0,18,0,9
500360,Akshdeep Nath,12 Apr 2014,v Haryana,Rajkot,2,5,24,23,15,3,0,160,caught,1,4.0,0,35,2,8.75
500360,Akshdeep Nath,14 Apr 2014,v Baroda,Wankhede,2,5,1,3,1,0,0,100,run out,1,1.0,0,10,0,10
500360,Akshdeep Nath,24 Mar 2015,v Vidarbha,Indore,1,5,35*,51,30,3,1,116.66,not out,2,DNB,-,-,-,-
500360,Akshdeep Nath,25 Mar 2015,v Rajasthan,Indore,2,5,0,4,2,0,0,0,caught,1,DNB,-,-,-,-
