player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
31107,Amit Mishra,3 Apr 2007,v Punjab,Delhi,2,9,9,14,6,1,0,150,caught,1,4.0,0,19,1,4.75
31107,Amit Mishra,4 Apr 2007,v Services,Delhi,1,2,49,49,34,6,1,144.11,run out,2,2.0,0,7,0,3.5
31107,Amit Mishra,6 Apr 2007,v J & K,Delhi,2,2,26,27,21,4,0,123.8,caught,1,2.0,0,5,1,2.5
31107,Amit Mishra,7 Apr 2007,v Delhi,Delhi,2,1,0,1,2,0,0,0,caught,1,4.0,0,34,3,8.5
31107,Amit Mishra,8 Apr 2007,v Himachal,Delhi,2,1,28,39,27,3,0,103.7,bowled,1,3.2,0,12,2,3.6
31107,Amit Mishra,15 Apr 2007,v M. Pradesh,Ahmedabad,1,1,13,17,13,2,0,100,caught,2,3.3,0,25,2,7.14
31107,Amit Mishra,16 Apr 2007,v Bengal,Ahmedabad,2,1,1,5,3,0,0,33.33,bowled,1,4.0,0,34,2,8.5
31107,Amit Mishra,17 Apr 2007,v Mumbai,Ahmedabad,1,1,31,22,19,5,0,163.15,caught,2,4.0,0,33,2,8.25
31107,Amit Mishra,18 Apr 2007,v Tamil Nadu,Ahmedabad,2,1,0,1,1,0,0,0,caught,1,4.0,0,30,2,7.5
31107,Amit Mishra,11 May 2008,v RR,Jaipur,1,7,4,-,5,0,0,80,bowled,2,3.0,0,27,2,9
31107,Amit Mishra,13 May 2008,v KKR,Eden Gardens,2,7,31,-,32,3,0,96.87,caught,1,3.0,0,13,0,4.33
31107,Amit Mishra,15 May 2008,v Chargers,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,17,5,4.25
31107,Amit Mishra,17 May 2008,v Kings XI,Delhi,1,-,DNB,-,-,-,-,-,-,2,2.0,0,21,1,10.5
31107,Amit Mishra,24 May 2008,v MI,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,1,5.75
31107,Amit Mishra,30 May 2008,v RR,Wankhede,2,8,2,-,5,0,0,40,bowled,1,4.0,0,37,2,9.25
31107,Amit Mishra,26 Apr 2009,v RCB,Gqeberha,2,-,DNB,-,-,-,-,-,-,1,4.0,0,19,1,4.75
31107,Amit Mishra,28 Apr 2009,v RR,Centurion,1,8,0,-,4,0,0,0,bowled,2,4.0,0,34,3,8.5
31107,Amit Mishra,30 Apr 2009,v Chargers,Centurion,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,1,8
31107,Amit Mishra,2 May 2009,v CSK,Johannesburg,2,9,11*,-,8,1,1,137.5,not out,1,3.0,0,24,0,8
31107,Amit Mishra,5 May 2009,v KKR,Durban,2,-,DNB,-,-,-,-,-,-,1,4.0,1,18,0,4.5
31107,Amit Mishra,8 May 2009,v MI,East London,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,0,5
31107,Amit Mishra,10 May 2009,v KKR,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,14,3,3.5
31107,Amit Mishra,13 May 2009,v Chargers,Durban,1,8,2,-,3,0,0,66.66,run out,2,3.0,0,39,0,13
31107,Amit Mishra,17 May 2009,v RR,Bloemfontein,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,3,8.25
31107,Amit Mishra,21 May 2009,v MI,Centurion,2,8,13*,-,4,1,1,325,not out,1,4.0,0,42,0,10.5
31107,Amit Mishra,22 May 2009,v Chargers,Centurion,1,8,0,-,1,0,0,0,run out,2,4.0,0,19,3,4.75
31107,Amit Mishra,9 Oct 2009,v Victoria,Delhi,1,8,7*,-,14,0,0,50,not out,2,4.0,0,30,1,7.5
31107,Amit Mishra,11 Oct 2009,v Wayamba,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,1,18,1,4.5
31107,Amit Mishra,17 Oct 2009,v RCB,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,4.0,0,59,0,14.75
31107,Amit Mishra,19 Oct 2009,v Cape Cobras,Delhi,1,8,8*,-,9,0,0,88.88,not out,2,4.0,0,19,2,4.75
31107,Amit Mishra,13 Mar 2010,v Kings XI,Mohali,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,1,5.75
31107,Amit Mishra,15 Mar 2010,v RR,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
31107,Amit Mishra,17 Mar 2010,v MI,Delhi,2,7,3,-,5,0,0,60,bowled,1,4.0,0,44,1,11
31107,Amit Mishra,19 Mar 2010,v CSK,Delhi,1,8,6*,-,3,1,0,200,not out,2,3.0,0,25,1,8.33
31107,Amit Mishra,21 Mar 2010,v Chargers,Cuttack,2,8,0,-,1,0,0,0,caught,1,3.0,0,12,1,4
31107,Amit Mishra,25 Mar 2010,v RCB,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,2,5.75
31107,Amit Mishra,29 Mar 2010,v KKR,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,18,1,4.5
31107,Amit Mishra,31 Mar 2010,v RR,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,3,6.25
31107,Amit Mishra,4 Apr 2010,v RCB,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,3,8
31107,Amit Mishra,7 Apr 2010,v KKR,Eden Gardens,2,10,4*,-,6,0,0,66.66,not out,1,4.0,0,41,0,10.25
31107,Amit Mishra,11 Apr 2010,v Kings XI,Delhi,1,10,10*,-,10,0,0,100,not out,2,4.0,0,15,1,3.75
31107,Amit Mishra,13 Apr 2010,v MI,Brabourne,2,8,12,-,17,0,0,70.58,bowled,1,3.0,0,30,0,10
31107,Amit Mishra,15 Apr 2010,v CSK,Chennai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,13,1,3.25
31107,Amit Mishra,18 Apr 2010,v Chargers,Delhi,2,8,4,-,9,0,0,44.44,bowled,1,4.0,0,28,1,7
31107,Amit Mishra,13 Jun 2010,v Zimbabwe,Harare,2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,1,5.25
31107,Amit Mishra,20 Oct 2010,v Punjab,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,38,2,9.5
31107,Amit Mishra,21 Oct 2010,v Services,Delhi,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,0,8.66
31107,Amit Mishra,22 Oct 2010,v J & K,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,1,19,5,4.75
31107,Amit Mishra,24 Oct 2010,v Delhi,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,27,2,6.75
