player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1125976,Arshdeep Singh,16 Apr 2019,v RR,Mohali,1,-,DNB,-,-,-,-,-,-,2,4.0,0,43,2,10.75
1125976,Arshdeep Singh,29 Apr 2019,v SRH,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,42,1,10.5
1125976,Arshdeep Singh,3 May 2019,v KKR,Mohali,1,-,DNB,-,-,-,-,-,-,2,2.0,0,24,0,12
1125976,Arshdeep Singh,8 Oct 2020,v SRH,Dubai (DICS),2,11,0,-,3,0,0,0,caught,1,4.0,0,33,2,8.25
1125976,Arshdeep Singh,10 Oct 2020,v KKR,Abu Dhabi,2,-,DNB,-,-,-,-,-,-,1,4.0,1,25,1,6.25
1125976,Arshdeep Singh,15 Oct 2020,v RCB,Sharjah,2,-,DNB,-,-,-,-,-,-,1,2.0,0,20,1,10
1125976,Arshdeep Singh,18 Oct 2020,v MI,Dubai (DICS),2,-,DNB,-,-,-,-,-,-,1,3.0,0,35,2,11.66
1125976,Arshdeep Singh,20 Oct 2020,v DC,Dubai (DICS),2,-,DNB,-,-,-,-,-,-,1,3.0,0,30,0,10
1125976,Arshdeep Singh,24 Oct 2020,v SRH,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,3.5,0,23,3,6
1125976,Arshdeep Singh,26 Oct 2020,v KKR,Sharjah,2,-,DNB,-,-,-,-,-,-,1,2.0,0,18,0,9
1125976,Arshdeep Singh,30 Oct 2020,v RR,Abu Dhabi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,34,0,11.33
1125976,Arshdeep Singh,10 Jan 2021,v UP,Alur (2),1,-,DNB,-,-,-,-,-,-,2,4.0,0,34,1,8.5
1125976,Arshdeep Singh,12 Jan 2021,v Karnataka,Alur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,2,4.5
1125976,Arshdeep Singh,14 Jan 2021,v Railways,Alur (2),1,-,DNB,-,-,-,-,-,-,2,4.0,0,16,3,4
1125976,Arshdeep Singh,16 Jan 2021,v J & K,Alur (3),2,-,DNB,-,-,-,-,-,-,1,4.0,0,26,1,6.5
1125976,Arshdeep Singh,18 Jan 2021,v Tripura,Alur (2),1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,1,8.25
1125976,Arshdeep Singh,26 Jan 2021,v Karnataka,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,3.0,0,16,2,5.33
