player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1159732,Auqib Nabi,11 Nov 2019,v Jharkhand,Surat,2,8,3,-,10,0,0,30,caught,1,4.0,0,19,0,4.75
1159732,Auqib Nabi,12 Nov 2019,v Odisha,Surat,1,-,DNB,-,-,-,-,-,-,2,4.0,0,40,2,10
1159732,Auqib Nabi,14 Nov 2019,v Delhi,Surat,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,1,7.5
1159732,Auqib Nabi,15 Nov 2019,v Nagaland,Surat,2,-,DNB,-,-,-,-,-,-,1,4.0,0,36,0,9
1159732,Auqib Nabi,17 Nov 2019,v Saurashtra,Surat,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,4,10.75
1159732,Auqib Nabi,18 Nov 2019,v Gujarat,Surat,1,9,6,-,8,0,0,75,bowled,2,1.3,0,14,0,9.33
1159732,Auqib Nabi,10 Jan 2021,v Karnataka,Alur,2,8,6,-,5,0,0,120,caught,1,4.0,0,30,2,7.5
1159732,Auqib Nabi,12 Jan 2021,v Tripura,Alur (2),2,-,DNB,-,-,-,-,-,-,1,2.1,0,10,3,4.61
1159732,Auqib Nabi,14 Jan 2021,v UP,Alur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,0,8.25
1159732,Auqib Nabi,16 Jan 2021,v Punjab,Alur (3),1,7,12,-,18,0,0,66.66,caught,2,2.3,0,25,0,10
1159732,Auqib Nabi,5 Nov 2021,v Rajasthan,Vadodara,1,-,DNB,-,-,-,-,-,-,2,3.5,0,26,0,6.78
1159732,Auqib Nabi,6 Nov 2021,v Haryana,Vadodara,2,-,DNB,-,-,-,-,-,-,1,3.0,0,16,1,5.33
1159732,Auqib Nabi,8 Nov 2021,v Himachal,Vadodara,2,8,29,15,8,1,4,362.5,caught,1,4.0,0,35,3,8.75
1159732,Auqib Nabi,9 Nov 2021,v Jharkhand,Vadodara,1,7,6,-,4,0,1,150,caught,2,4.0,0,35,1,8.75
1159732,Auqib Nabi,14 Oct 2022,v Maharashtra,Mohali,1,-,sub,-,-,-,-,-,-,2,4.0,0,46,0,11.5
1159732,Auqib Nabi,20 Oct 2022,v Kerala,Mohali,2,9,5,-,5,0,0,100,bowled,1,4.0,0,29,0,7.25
1159732,Auqib Nabi,22 Oct 2022,v Services,Mohali,1,-,DNB,-,-,-,-,-,-,2,3.2,0,21,3,6.3
1159732,Auqib Nabi,16 Oct 2023,v Baroda,Jaipur,2,9,3,-,6,0,0,50,caught,1,2.0,0,15,0,7.5
1159732,Auqib Nabi,17 Oct 2023,v Hyderabad,Jaipur,1,-,sub,-,-,-,-,-,-,2,2.0,0,18,0,9
1159732,Auqib Nabi,19 Oct 2023,v Haryana,Jaipur,2,7,5,-,8,0,0,62.5,caught,1,3.0,0,36,0,12
1159732,Auqib Nabi,23 Nov 2024,v Jharkhand,Mumbai,1,-,DNB,-,-,-,-,-,-,2,4.0,0,39,0,9.75
1159732,Auqib Nabi,25 Nov 2024,v Delhi,Wankhede,2,9,9,-,12,0,1,75,caught,1,4.0,0,24,0,6
1159732,Auqib Nabi,27 Nov 2024,v Arunachal,Mumbai,2,-,DNB,-,-,-,-,-,-,1,3.0,0,9,3,3
1159732,Auqib Nabi,29 Nov 2024,v Himachal,Mumbai,1,9,14*,-,9,1,1,155.55,not out,2,4.0,0,28,3,7
1159732,Auqib Nabi,1 Dec 2024,v Manipur,Wankhede,2,10,1*,-,3,0,0,33.33,not out,1,4.0,0,16,2,4
1159732,Auqib Nabi,3 Dec 2024,v UP,Mumbai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,37,0,9.25
1159732,Auqib Nabi,5 Dec 2024,v Haryana,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,0,7.25
1159732,Auqib Nabi,26 Nov 2025,v Maharashtra,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,3.5,0,28,3,7.3
1159732,Auqib Nabi,28 Nov 2025,v UP,Jadavpur Uni,2,8,4*,-,3,0,0,133.33,not out,1,4.0,0,54,1,13.5
1159732,Auqib Nabi,30 Nov 2025,v Bihar,Eden Gardens,1,9,5*,-,8,0,0,62.5,not out,2,4.0,2,16,4,4
1159732,Auqib Nabi,2 Dec 2025,v Chandigarh,Jadavpur Uni,1,9,0,-,1,0,0,0,caught,2,4.0,0,26,1,6.5
1159732,Auqib Nabi,4 Dec 2025,v Hyderabad,Jadavpur Uni,1,8,1,-,3,0,0,33.33,run out,2,3.0,1,25,2,8.33
1159732,Auqib Nabi,6 Dec 2025,v Goa,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,4.0,0,31,1,7.75
1159732,Auqib Nabi,8 Dec 2025,v M. Pradesh,Eden Gardens,1,7,32,-,21,2,3,152.38,caught,2,4.0,0,19,3,4.75
1159732,Auqib Nabi,11 Apr 2026,v CSK,Chennai,2,8,4,-,2,1,0,200,caught,1,2.0,0,17,0,8.5
