player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
326637,Chris Lynn,13 Jan 2010,v NSW,Sydney,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
326637,Chris Lynn,16 Jan 2010,v West Aust,Brisbane,1,7,5,5,6,1,0,83.33,run out,2,1.0,0,6,0,6
326637,Chris Lynn,2 Jan 2011,v Victoria,Melbourne,2,5,31,29,23,2,1,134.78,caught,1,DNB,-,-,-,-
326637,Chris Lynn,7 Jan 2011,v Tasmania,Brisbane,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
326637,Chris Lynn,24 Jan 2011,v NSW,Brisbane,2,5,4,-,5,1,0,80,bowled,1,DNB,-,-,-,-
326637,Chris Lynn,16 Dec 2011,v Sixers,Sydney,1,4,2,1,3,0,0,66.66,caught,2,3.0,0,14,0,4.66
326637,Chris Lynn,20 Dec 2011,v Stars,Brisbane,2,3,13,8,9,2,0,144.44,caught,1,DNB,-,-,-,-
326637,Chris Lynn,29 Dec 2011,v Scorchers,W.A.C.A,2,1,4,-,7,1,0,57.14,caught,1,DNB,-,-,-,-
326637,Chris Lynn,3 Jan 2012,v Strikers,Brisbane,2,5,19,-,18,1,1,105.55,caught,1,1.0,0,12,0,12
326637,Chris Lynn,12 Jan 2012,v Renegades,Melbourne (Docklands),1,3,34,36,27,3,2,125.92,caught,2,DNB,-,-,-,-
326637,Chris Lynn,17 Jan 2012,v Thunder,Brisbane,1,6,37*,18,17,0,4,217.64,not out,2,DNB,-,-,-,-
326637,Chris Lynn,18 May 2012,v RR,Hyderabad,2,5,6,12,9,1,0,66.66,caught,1,DNB,-,-,-,-
326637,Chris Lynn,24 Aug 2012,v Wayamba U,Colombo (RPS),1,5,80,-,51,3,5,156.86,caught,2,DNB,-,-,-,-
326637,Chris Lynn,13 Dec 2012,v Strikers,Adelaide,2,6,19,-,18,1,1,105.55,run out,1,DNB,-,-,-,-
326637,Chris Lynn,18 Dec 2012,v Scorchers,Brisbane,1,5,51,-,29,5,3,175.86,caught,2,DNB,-,-,-,-
326637,Chris Lynn,22 Dec 2012,v Renegades,Melbourne (Docklands),1,6,0,-,1,0,0,0,lbw,2,DNB,-,-,-,-
326637,Chris Lynn,28 Dec 2012,v Thunder,Sydney,2,5,51*,-,37,2,4,137.83,not out,1,DNB,-,-,-,-
326637,Chris Lynn,3 Jan 2013,v Stars,Brisbane,1,6,26*,-,17,2,1,152.94,not out,2,DNB,-,-,-,-
326637,Chris Lynn,7 Jan 2013,v Sixers,Brisbane,1,5,3,-,5,0,0,60,bowled,2,DNB,-,-,-,-
326637,Chris Lynn,12 Jan 2013,v Hurricanes,Hobart,2,-,DNB,-,-,-,-,-,-,1,2.0,0,11,0,5.5
326637,Chris Lynn,15 Jan 2013,v Renegades,Melbourne (Docklands),1,5,20*,14,9,2,1,222.22,not out,2,2.0,0,15,2,7.5
326637,Chris Lynn,19 Jan 2013,v Scorchers,W.A.C.A,1,5,5,4,5,0,0,100,caught,2,3.0,0,23,1,7.66
326637,Chris Lynn,22 Sep 2013,v Trinidad & T,Ranchi,2,5,4,3,4,0,0,100,caught,1,DNB,-,-,-,-
326637,Chris Lynn,24 Sep 2013,v Titans,Mohali,2,6,14,20,17,1,0,82.35,caught,1,1.0,0,12,0,12
326637,Chris Lynn,28 Sep 2013,v CSK,Ranchi,1,3,29,35,25,4,1,116,caught,2,DNB,-,-,-,-
326637,Chris Lynn,22 Dec 2013,v Scorchers,Brisbane,2,5,81,-,53,4,6,152.83,caught,1,DNB,-,-,-,-
