player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
55395,Colin de Grandhomme,4 Feb 2007,v Otago,Auckland,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
55395,Colin de Grandhomme,4 Feb 2009,v Northern Dis,Auckland,2,2,36,29,20,4,2,180,stumped,1,4.0,0,34,2,8.5
55395,Colin de Grandhomme,6 Feb 2009,v Central D,New Plymouth,2,2,17,5,7,1,2,242.85,bowled,1,3.0,0,36,2,12
55395,Colin de Grandhomme,8 Feb 2009,v Canterbury,Auckland,1,2,18,16,11,0,2,163.63,caught,2,4.0,0,40,0,10
55395,Colin de Grandhomme,13 Feb 2009,v Otago,Dunedin,1,2,24,19,17,1,2,141.17,caught,2,2.0,0,16,0,8
55395,Colin de Grandhomme,15 Feb 2009,v Wellington,Auckland,2,2,26,13,13,6,0,200,caught,1,0.5,0,18,0,21.6
55395,Colin de Grandhomme,18 Feb 2009,v Wellington,Wellington,2,2,0,8,3,0,0,0,caught,1,DNB,-,-,-,-
55395,Colin de Grandhomme,22 Feb 2009,v Otago,Auckland,2,2,0,1,2,0,0,0,bowled,1,1.0,0,7,1,7
55395,Colin de Grandhomme,2 Jan 2010,v Northern Dis,Mt Maunganui,2,7,0,1,1,0,0,0,lbw,1,2.0,0,29,0,14.5
55395,Colin de Grandhomme,4 Jan 2010,v Canterbury,Auckland,1,8,0*,2,0,0,0,-,not out,2,DNB,-,-,-,-
55395,Colin de Grandhomme,8 Jan 2010,v Wellington,Wellington,1,7,3*,5,2,0,0,150,not out,2,3.0,0,16,1,5.33
55395,Colin de Grandhomme,10 Jan 2010,v Central D,Auckland,2,-,DNB,-,-,-,-,-,-,1,3.0,0,22,3,7.33
55395,Colin de Grandhomme,13 Jan 2010,v Wellington,Auckland,1,3,6,3,2,0,1,300,caught,2,2.0,0,17,0,8.5
