player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
497121,Deepak Hooda,19 Mar 2013,v Gujarat,Ahmedabad,2,8,1,5,2,0,0,50,bowled,1,4.0,0,30,0,7.5
497121,Deepak Hooda,29 Mar 2013,v UP,Indore,1,8,0,4,3,0,0,0,run out,2,DNB,-,-,-,-
497121,Deepak Hooda,30 Mar 2014,v Mumbai,Wankhede,1,7,0*,1,0,0,0,-,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,2 Apr 2014,v Gujarat,Wankhede,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
497121,Deepak Hooda,3 Apr 2014,v Saurashtra,Mumbai,1,8,9*,8,4,0,1,225,not out,2,2.0,0,9,0,4.5
497121,Deepak Hooda,4 Apr 2014,v Maharashtra,Mumbai,2,5,0,1,2,0,0,0,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,8 Apr 2014,v Bengal,Mumbai,2,5,24*,19,17,4,0,141.17,not out,1,DNB,-,-,-,-
497121,Deepak Hooda,9 Apr 2014,v Delhi,Mumbai,1,5,11*,-,10,0,1,110,not out,2,4.0,0,26,0,6.5
497121,Deepak Hooda,11 Apr 2014,v Rajasthan,Wankhede,2,-,DNB,-,-,-,-,-,-,1,1.0,0,12,0,12
497121,Deepak Hooda,12 Apr 2014,v Kerala,Wankhede,2,5,3,-,4,0,0,75,caught,1,1.0,0,9,0,9
497121,Deepak Hooda,24 Mar 2015,v Mumbai,Pune,1,6,0,2,0,0,0,-,run out,2,2.0,0,18,0,9
497121,Deepak Hooda,26 Mar 2015,v Gujarat,Pune,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,10 Apr 2015,v Kings XI,Pune,1,6,30,30,15,1,3,200,bowled,2,DNB,-,-,-,-
497121,Deepak Hooda,12 Apr 2015,v Daredevils,Delhi,2,6,54,40,25,3,4,216,caught,1,4.0,0,20,0,5
497121,Deepak Hooda,14 Apr 2015,v MI,Ahmedabad,2,4,13,-,4,0,2,325,bowled,1,1.0,0,3,0,3
497121,Deepak Hooda,16 Apr 2015,v SRH,Visakhapatnam,2,-,DNB,-,-,-,-,-,-,1,2.0,0,11,0,5.5
497121,Deepak Hooda,19 Apr 2015,v CSK,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,2.0,0,22,0,11
497121,Deepak Hooda,21 Apr 2015,v Kings XI,Ahmedabad,1,3,19,16,9,1,2,211.11,bowled,2,3.0,0,35,1,11.66
497121,Deepak Hooda,24 Apr 2015,v RCB,Ahmedabad,1,5,1,6,3,0,0,33.33,bowled,2,0.1,0,4,0,24
497121,Deepak Hooda,29 Apr 2015,v RCB,Bengaluru,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
497121,Deepak Hooda,1 May 2015,v MI,Wankhede,2,7,1,2,2,0,0,50,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,3 May 2015,v Daredevils,Brabourne,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,7 May 2015,v SRH,Brabourne,2,5,7,16,9,0,0,77.77,caught,1,3.0,0,34,0,11.33
497121,Deepak Hooda,10 May 2015,v CSK,Chennai,2,5,15,20,14,1,0,107.14,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,16 May 2015,v KKR,Brabourne,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,20 May 2015,v RCB,Pune,2,6,11,27,14,0,0,78.57,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,2 Jan 2016,v Assam,Vadodara,1,4,48*,56,33,5,0,145.45,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,3 Jan 2016,v Railways,Vadodara,1,4,7,9,9,1,0,77.77,bowled,2,4.0,0,23,3,5.75
497121,Deepak Hooda,6 Jan 2016,v Goa,Vadodara,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,7 Jan 2016,v M. Pradesh,Vadodara,1,4,11,14,9,0,1,122.22,run out,2,DNB,-,-,-,-
497121,Deepak Hooda,9 Jan 2016,v Andhra,Vadodara,2,7,1,3,2,0,0,50,lbw,1,DNB,-,-,-,-
497121,Deepak Hooda,10 Jan 2016,v Delhi,Vadodara,1,5,11,12,15,2,0,73.33,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,15 Jan 2016,v Vidarbha,Wankhede,2,4,4,6,6,0,0,66.66,lbw,1,DNB,-,-,-,-
497121,Deepak Hooda,16 Jan 2016,v Kerala,Wankhede,1,5,32,20,16,1,3,200,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,18 Jan 2016,v Mumbai,Wankhede,2,4,53,55,35,5,1,151.42,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,20 Jan 2016,v UP,Wankhede,2,4,15,20,15,0,0,100,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,12 Apr 2016,v RCB,Bengaluru,2,5,6,10,6,1,0,100,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,16 Apr 2016,v KKR,Hyderabad,1,5,6,15,11,0,0,54.54,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,18 Apr 2016,v MI,Hyderabad,2,5,17*,18,9,2,0,188.88,not out,1,DNB,-,-,-,-
497121,Deepak Hooda,21 Apr 2016,v Guj Lions,Rajkot,2,-,DNB,-,-,-,-,-,-,1,3.0,0,22,1,7.33
497121,Deepak Hooda,23 Apr 2016,v Kings XI,Hyderabad,2,5,5,18,5,0,0,100,run out,1,4.0,0,30,0,7.5
497121,Deepak Hooda,26 Apr 2016,v Supergiants,Hyderabad,1,5,1,8,9,0,0,11.11,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,30 Apr 2016,v RCB,Hyderabad,1,6,2,9,2,0,0,100,run out,2,DNB,-,-,-,-
497121,Deepak Hooda,6 May 2016,v Guj Lions,Hyderabad,2,6,18,19,12,2,0,150,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,8 May 2016,v MI,Visakhapatnam,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,10 May 2016,v Supergiants,Visakhapatnam,1,6,14,9,5,0,2,280,stumped,2,DNB,-,-,-,-
497121,Deepak Hooda,12 May 2016,v Daredevils,Hyderabad,1,6,10,13,9,1,0,111.11,hit wicket,2,1.0,0,5,0,5
497121,Deepak Hooda,15 May 2016,v Kings XI,Mohali,2,3,34,41,22,3,1,154.54,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,20 May 2016,v Daredevils,Raipur,1,3,1,3,1,0,0,100,run out,2,2.0,0,16,0,8
497121,Deepak Hooda,22 May 2016,v KKR,Eden Gardens,2,6,2,5,2,0,0,100,run out,1,2.0,0,16,2,8
497121,Deepak Hooda,25 May 2016,v KKR,Delhi,1,5,21,24,13,0,2,161.53,run out,2,1.0,0,8,0,8
497121,Deepak Hooda,27 May 2016,v Guj Lions,Delhi,2,5,4,14,9,0,0,44.44,lbw,1,DNB,-,-,-,-
497121,Deepak Hooda,29 May 2016,v RCB,Bengaluru,1,5,3,9,6,0,0,50,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,29 Jan 2017,v Mumbai,Vadodara,2,3,7,10,5,1,0,140,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,1 Feb 2017,v Gujarat,Vadodara,1,3,108,73,51,3,9,211.76,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,2 Feb 2017,v Saurashtra,Vadodara,2,3,5,8,6,0,0,83.33,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,4 Feb 2017,v Maharashtra,Vadodara,1,3,53,40,41,6,2,129.26,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,12 Feb 2017,v Central Zone,Wankhede,1,7,49*,45,26,2,4,188.46,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,13 Feb 2017,v North Zone,Wankhede,2,-,DNB,-,-,-,-,-,-,1,1.0,0,3,0,3
497121,Deepak Hooda,16 Feb 2017,v South Zone,Wankhede,1,5,32,31,21,1,2,152.38,stumped,2,DNB,-,-,-,-
497121,Deepak Hooda,18 Feb 2017,v East Zone,Wankhede,1,4,19,27,18,0,1,105.55,bowled,2,DNB,-,-,-,-
497121,Deepak Hooda,5 Apr 2017,v RCB,Hyderabad,1,5,16*,29,12,0,1,133.33,not out,2,1.0,0,7,1,7
497121,Deepak Hooda,9 Apr 2017,v Guj Lions,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
497121,Deepak Hooda,12 Apr 2017,v MI,Wankhede,1,3,9,14,9,1,0,100,caught,2,2.0,0,18,1,9
497121,Deepak Hooda,15 Apr 2017,v KKR,Eden Gardens,2,5,13,12,7,1,1,185.71,stumped,1,DNB,-,-,-,-
497121,Deepak Hooda,17 Apr 2017,v Kings XI,Hyderabad,1,6,12,17,10,1,0,120,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,19 Apr 2017,v Daredevils,Hyderabad,1,6,9*,6,4,0,1,225,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,22 Apr 2017,v Supergiant,Pune,1,5,19*,15,10,2,1,190,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,28 Apr 2017,v Kings XI,Mohali,1,-,DNB,-,-,-,-,-,-,2,1.0,0,17,0,17
497121,Deepak Hooda,2 May 2017,v Daredevils,Delhi,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,13 May 2017,v Guj Lions,Kanpur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
497121,Deepak Hooda,7 Jan 2018,v Mumbai,Rajkot,1,3,66,51,39,8,1,169.23,bowled,2,DNB,-,-,-,-
497121,Deepak Hooda,10 Jan 2018,v Gujarat,Rajkot,1,4,2,8,6,0,0,33.33,caught,2,1.0,0,9,0,9
497121,Deepak Hooda,11 Jan 2018,v Saurashtra,Rajkot,2,4,32*,26,20,2,2,160,not out,1,2.0,0,10,1,5
497121,Deepak Hooda,13 Jan 2018,v Maharashtra,Rajkot,2,4,57,71,34,4,2,167.64,caught,1,1.0,0,15,0,15
497121,Deepak Hooda,21 Jan 2018,v Bengal,Eden Gardens,1,4,22,37,21,3,0,104.76,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,22 Jan 2018,v Delhi,Eden Gardens,1,5,1,7,3,0,0,33.33,run out,2,DNB,-,-,-,-
497121,Deepak Hooda,24 Jan 2018,v UP,Kolkata,1,3,45,47,25,3,3,180,bowled,2,2.0,0,25,0,12.5
497121,Deepak Hooda,25 Jan 2018,v Tamil Nadu,Kolkata,2,5,1,2,2,0,0,50,run out,1,3.0,0,15,0,5
497121,Deepak Hooda,9 Apr 2018,v RR,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
497121,Deepak Hooda,12 Apr 2018,v MI,Hyderabad,2,6,32*,-,25,1,1,128,not out,1,DNB,-,-,-,-
497121,Deepak Hooda,14 Apr 2018,v KKR,Eden Gardens,2,6,5*,-,9,0,0,55.55,not out,1,DNB,-,-,-,-
497121,Deepak Hooda,19 Apr 2018,v Kings XI,Mohali,2,6,5,-,5,0,0,100,caught,1,2.0,0,16,0,8
497121,Deepak Hooda,22 Apr 2018,v CSK,Hyderabad,2,4,1,-,7,0,0,14.28,caught,1,1.0,0,8,0,8
497121,Deepak Hooda,13 May 2018,v CSK,Pune,1,5,21*,-,11,1,1,190.9,not out,2,DNB,-,-,-,-
497121,Deepak Hooda,17 May 2018,v RCB,Bengaluru,2,5,1*,-,1,0,0,100,not out,1,DNB,-,-,-,-
497121,Deepak Hooda,25 May 2018,v KKR,Eden Gardens,1,5,19,-,19,0,1,100,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,27 May 2018,v CSK,Wankhede,1,6,3,-,4,0,0,75,caught,2,DNB,-,-,-,-
497121,Deepak Hooda,21 Feb 2019,v Tripura,Delhi,2,3,18*,32,22,1,0,81.81,not out,1,3.0,0,22,1,7.33
497121,Deepak Hooda,22 Feb 2019,v Uttarakhand,Delhi,1,3,26,29,22,2,1,118.18,caught,2,4.0,0,34,0,8.5
497121,Deepak Hooda,24 Feb 2019,v Hyderabad,Delhi,2,4,35,29,30,5,0,116.66,run out,1,DNB,-,-,-,-
497121,Deepak Hooda,25 Feb 2019,v Services,Delhi,1,4,7,22,15,0,0,46.66,lbw,2,3.0,0,12,0,4
497121,Deepak Hooda,27 Feb 2019,v Puducherry,Delhi,2,4,13,11,9,0,1,144.44,caught,1,DNB,-,-,-,-
497121,Deepak Hooda,28 Feb 2019,v Maharashtra,Delhi,1,3,28,26,20,2,1,140,caught,2,2.0,0,9,1,4.5
497121,Deepak Hooda,2 Mar 2019,v UP,Delhi,1,3,9*,19,13,0,0,69.23,not out,-,TDNB,-,-,-,-
497121,Deepak Hooda,24 Mar 2019,v KKR,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
497121,Deepak Hooda,31 Mar 2019,v RCB,Hyderabad,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
