player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1175423,Hrithik Shokeen,21 Apr 2022,v CSK,DY Patil,1,6,25,25,25,3,0,100,caught,2,4.0,0,23,0,5.75
1175423,Hrithik Shokeen,24 Apr 2022,v LSG,Wankhede,2,9,0*,2,0,0,0,-,not out,1,2.0,0,11,0,5.5
1175423,Hrithik Shokeen,30 Apr 2022,v RR,DY Patil,2,-,DNB,-,-,-,-,-,-,1,3.0,0,47,2,15.66
1175423,Hrithik Shokeen,12 May 2022,v CSK,Wankhede,2,6,18,39,23,2,0,78.26,bowled,1,2.0,0,12,0,6
1175423,Hrithik Shokeen,21 May 2022,v DC,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,0,8.5
1175423,Hrithik Shokeen,11 Oct 2022,v Manipur,Jaipur,1,-,sub,-,-,-,-,-,-,2,3.0,0,13,2,4.33
1175423,Hrithik Shokeen,12 Oct 2022,v Punjab,Jaipur,1,-,sub,-,-,-,-,-,-,2,2.0,0,17,1,8.5
1175423,Hrithik Shokeen,18 Oct 2022,v Hyderabad,Jaipur,1,8,4*,-,1,1,0,400,not out,2,3.0,0,24,1,8
1175423,Hrithik Shokeen,2 Apr 2023,v RCB,Bengaluru,1,8,5,12,3,1,0,166.66,caught,2,1.0,0,17,0,17
1175423,Hrithik Shokeen,8 Apr 2023,v CSK,Wankhede,1,9,18*,20,13,3,0,138.46,not out,2,2.0,0,19,0,9.5
1175423,Hrithik Shokeen,11 Apr 2023,v DC,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,1,10.75
1175423,Hrithik Shokeen,16 Apr 2023,v KKR,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,2,8.5
1175423,Hrithik Shokeen,18 Apr 2023,v SRH,Hyderabad,1,-,DNB,-,-,-,-,-,-,2,1.0,0,12,0,12
1175423,Hrithik Shokeen,22 Apr 2023,v Punjab Kings,Wankhede,2,-,DNB,-,-,-,-,-,-,1,3.0,0,24,0,8
1175423,Hrithik Shokeen,16 May 2023,v LSG,Lucknow,2,-,DNB,-,-,-,-,-,-,1,3.0,0,20,0,6.66
1175423,Hrithik Shokeen,24 May 2023,v LSG,Chennai,1,9,0*,6,1,0,0,0,not out,2,1.0,0,18,0,18
1175423,Hrithik Shokeen,23 Oct 2023,v Tamil Nadu,Dehradun,1,-,sub,-,-,-,-,-,-,2,1.0,0,5,2,5
1175423,Hrithik Shokeen,25 Oct 2023,v Tripura,Dehradun,1,-,sub,-,-,-,-,-,-,2,2.1,0,13,1,6
