player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1194959,Jacob Bethell,20 Jun 2021,v Durham,Chester-le-Street,2,9,3*,9,4,0,0,75,not out,1,2.0,0,17,0,8.5
1194959,Jacob Bethell,26 Jun 2021,v Durham,Birmingham,2,9,2,6,3,0,0,66.66,caught,1,2.0,0,26,0,13
1194959,Jacob Bethell,9 Jul 2021,v Worcs,Worcester,2,8,7,6,7,0,1,100,caught,1,2.0,0,18,0,9
1194959,Jacob Bethell,26 May 2022,v Northants,Birmingham,1,2,5,11,8,1,0,62.5,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,27 May 2022,v Derbyshire,Derby,1,2,14,30,13,2,0,107.69,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,29 May 2022,v Durham,Birmingham,2,2,8,11,8,1,0,100,bowled,1,2.0,0,14,0,7
1194959,Jacob Bethell,2 Jun 2022,v Leics,Birmingham,2,1,7,7,6,1,0,116.66,caught,1,3.0,0,21,1,7
1194959,Jacob Bethell,3 Jun 2022,v Worcs,Worcester,2,2,2,5,4,0,0,50,caught,1,DNB,-,-,-,-
1194959,Jacob Bethell,5 Jun 2022,v Notts,Birmingham,1,2,17,13,9,2,1,188.88,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,8 Jun 2022,v Durham,Chester-le-Street,2,2,21,37,19,2,0,110.52,bowled,1,DNB,-,-,-,-
1194959,Jacob Bethell,10 Jun 2022,v Yorkshire,Birmingham,1,2,7,23,9,1,0,77.77,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,22 Aug 2022,v Brave,Cardiff,1,2,0,3,1,0,0,0,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,24 Aug 2022,v Spirit,Lord's,2,1,10,-,10,1,0,100,bowled,1,DNB,-,-,-,-
1194959,Jacob Bethell,16 Jun 2023,v Worcs,Worcester,1,7,32*,16,13,2,2,246.15,not out,2,DNB,-,-,-,-
1194959,Jacob Bethell,20 Jun 2023,v Durham,Chester-le-Street,2,6,27*,25,18,1,2,150,not out,1,DNB,-,-,-,-
1194959,Jacob Bethell,22 Jun 2023,v Yorkshire,Leeds,1,7,3,6,4,0,0,75,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,23 Jun 2023,v Worcs,Birmingham,1,6,9*,8,4,0,1,225,not out,2,DNB,-,-,-,-
1194959,Jacob Bethell,30 Jun 2023,v Notts,Nottingham,2,7,27,26,21,3,0,128.57,run out,1,DNB,-,-,-,-
1194959,Jacob Bethell,2 Jul 2023,v Durham,Birmingham,1,7,4,11,6,0,0,66.66,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,6 Jul 2023,v Essex,Birmingham,1,6,4,9,6,0,0,66.66,bowled,2,DNB,-,-,-,-
1194959,Jacob Bethell,3 Aug 2023,v N S-Chargers,Leeds,1,2,0,-,2,0,0,0,bowled,-,TDNB,-,-,-,-
1194959,Jacob Bethell,31 May 2024,v Durham,Chester-le-Street,2,5,18,32,21,2,0,85.71,caught,1,DNB,-,-,-,-
1194959,Jacob Bethell,1 Jun 2024,v Notts,Birmingham,1,6,12,17,11,1,0,109.09,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,7 Jun 2024,v Lancashire,Manchester,2,6,33,27,22,1,2,150,caught,1,1.0,0,4,0,4
1194959,Jacob Bethell,8 Jun 2024,v Durham,Birmingham,2,5,50,33,32,2,3,156.25,caught,1,1.0,0,10,0,10
1194959,Jacob Bethell,14 Jun 2024,v Yorkshire,Birmingham,2,5,32,19,15,3,2,213.33,caught,1,DNB,-,-,-,-
1194959,Jacob Bethell,16 Jun 2024,v Derbyshire,Derby,2,-,DNB,-,-,-,-,-,-,1,1.0,0,4,0,4
1194959,Jacob Bethell,20 Jun 2024,v Northants,Birmingham,1,6,56*,15,16,3,7,350,not out,2,3.0,0,18,2,6
1194959,Jacob Bethell,21 Jun 2024,v Worcs,Worcester,2,5,71*,66,45,5,4,157.77,not out,1,2.0,0,19,1,9.5
1194959,Jacob Bethell,5 Jul 2024,v Yorkshire,Leeds,1,5,8,16,10,0,0,80,caught,2,DNB,-,-,-,-
1194959,Jacob Bethell,7 Jul 2024,v Notts,Nottingham,2,-,DNB,-,-,-,-,-,-,1,2.0,0,10,1,5
1194959,Jacob Bethell,12 Jul 2024,v Worcs,Birmingham,2,7,7,13,8,1,0,87.5,caught,1,DNB,-,-,-,-
1194959,Jacob Bethell,14 Jul 2024,v Derbyshire,Birmingham,1,-,DNB,-,-,-,-,-,-,2,1.0,0,16,0,16
1194959,Jacob Bethell,18 Jul 2024,v Northants,Northampton,2,5,50,40,31,2,4,161.29,caught,1,DNB,-,-,-,-
1194959,Jacob Bethell,19 Jul 2024,v Leics,Birmingham,1,5,19,26,18,1,1,105.55,caught,2,1.4,0,5,2,3
1194959,Jacob Bethell,23 Jul 2024,v Invincibles,The Oval,1,6,22,18,20,1,2,110,caught,2,DNB,-,-,-,-
