player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
27280,Manvinder  Bisla,3 Apr 2007,v Delhi,Delhi,2,4,8,15,10,1,0,80,stumped,1,DNB,-,-,-,-
27280,Manvinder  Bisla,4 Apr 2007,v Punjab,Delhi,1,1,0,1,2,0,0,0,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,6 Apr 2007,v Services,Delhi,2,1,17,29,18,2,0,94.44,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,7 Apr 2007,v J & K,Delhi,2,1,42*,69,50,3,0,84,not out,1,DNB,-,-,-,-
27280,Manvinder  Bisla,8 Apr 2007,v Haryana,Delhi,1,1,11,13,11,1,0,100,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,20 Oct 2009,v Delhi,Delhi,2,2,1,9,5,0,0,20,bowled,1,DNB,-,-,-,-
27280,Manvinder  Bisla,21 Oct 2009,v Services,Delhi,2,2,75*,71,60,6,1,125,not out,1,DNB,-,-,-,-
27280,Manvinder  Bisla,22 Oct 2009,v Punjab,Delhi,2,2,18,50,27,0,1,66.66,bowled,1,DNB,-,-,-,-
27280,Manvinder  Bisla,24 Oct 2009,v Himachal,Delhi,1,2,3,13,5,0,0,60,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,25 Oct 2009,v Haryana,Delhi,2,6,37,34,30,3,1,123.33,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,13 Mar 2010,v Daredevils,Mohali,1,2,2,-,6,0,0,33.33,run out,2,DNB,-,-,-,-
27280,Manvinder  Bisla,16 Mar 2010,v RCB,Bengaluru,1,2,75,-,51,7,4,147.05,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,19 Mar 2010,v Chargers,Cuttack,2,2,0,-,7,0,0,0,run out,1,DNB,-,-,-,-
27280,Manvinder  Bisla,21 Mar 2010,v CSK,Chennai,1,7,7,-,9,1,0,77.77,run out,2,DNB,-,-,-,-
27280,Manvinder  Bisla,24 Mar 2010,v RR,Mohali,2,3,35,-,18,4,2,194.44,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,27 Mar 2010,v KKR,Mohali,2,3,22,-,24,3,0,91.66,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,30 Mar 2010,v MI,Brabourne,1,3,11,-,10,1,0,110,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,2 Apr 2010,v RCB,Mohali,1,2,28,-,26,4,0,107.69,bowled,2,DNB,-,-,-,-
27280,Manvinder  Bisla,4 Apr 2010,v KKR,Eden Gardens,2,1,18,-,13,3,0,138.46,bowled,1,DNB,-,-,-,-
27280,Manvinder  Bisla,7 Apr 2010,v RR,Jaipur,1,1,20,-,14,4,0,142.85,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,20 Oct 2010,v Delhi,Delhi,2,4,7,11,9,0,0,77.77,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,21 Oct 2010,v Punjab,Delhi,1,4,13,15,11,2,0,118.18,bowled,2,DNB,-,-,-,-
27280,Manvinder  Bisla,22 Oct 2010,v Services,Delhi,1,5,25,29,31,3,0,80.64,bowled,2,DNB,-,-,-,-
27280,Manvinder  Bisla,24 Oct 2010,v J & K,Delhi,1,2,57,80,53,3,1,107.54,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,25 Oct 2010,v Haryana,Delhi,2,2,36,57,38,3,1,94.73,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,8 Apr 2011,v CSK,Chennai,2,1,27,-,29,3,0,93.1,stumped,1,DNB,-,-,-,-
27280,Manvinder  Bisla,11 Apr 2011,v Chargers,Eden Gardens,1,2,19,-,21,3,0,90.47,lbw,2,DNB,-,-,-,-
27280,Manvinder  Bisla,15 Apr 2011,v RR,Jaipur,2,1,1,-,3,0,0,33.33,run out,1,DNB,-,-,-,-
27280,Manvinder  Bisla,17 Apr 2011,v RR,Eden Gardens,2,2,9,-,22,0,0,40.9,caught,1,DNB,-,-,-,-
27280,Manvinder  Bisla,20 Apr 2011,v Kochi,Eden Gardens,2,1,16,-,14,2,0,114.28,bowled,1,DNB,-,-,-,-
27280,Manvinder  Bisla,19 Sep 2011,v Auckland,Hyderabad,1,1,45,40,32,7,1,140.62,caught,2,DNB,-,-,-,-
27280,Manvinder  Bisla,21 Sep 2011,v Somerset,Hyderabad,2,1,8,4,6,0,1,133.33,run out,1,DNB,-,-,-,-
