player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1028655,Pathum Nissanka,24 Feb 2018,v SL Navy,Katunayake,1,1,10,-,7,2,0,142.85,bowled,2,DNB,-,-,-,-
1028655,Pathum Nissanka,25 Feb 2018,v Sinhalese,Colombo (Burgher),1,1,17,-,18,3,0,94.44,lbw,2,DNB,-,-,-,-
1028655,Pathum Nissanka,27 Feb 2018,v Kurunegala,Colombo (Burgher),2,2,29,-,27,3,0,107.4,caught,1,DNB,-,-,-,-
1028655,Pathum Nissanka,2 Mar 2018,v Moors,Colombo (Bloomfield),2,2,1,-,3,0,0,33.33,caught,1,DNB,-,-,-,-
1028655,Pathum Nissanka,4 Mar 2018,v Colombo CC,Katunayake,1,1,1,-,5,0,0,20,caught,2,DNB,-,-,-,-
1028655,Pathum Nissanka,15 Feb 2019,v Panadura,Colombo (CCC),1,4,18,-,13,3,0,138.46,bowled,2,DNB,-,-,-,-
1028655,Pathum Nissanka,16 Feb 2019,v Bloomfield,Colombo (Burgher),1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1028655,Pathum Nissanka,18 Feb 2019,v Sinhalese,Katunayake,1,4,6,-,8,1,0,75,caught,2,DNB,-,-,-,-
1028655,Pathum Nissanka,19 Feb 2019,v Saracens,Colombo (NCC),1,3,35,-,22,2,2,159.09,caught,2,DNB,-,-,-,-
1028655,Pathum Nissanka,21 Feb 2019,v Moors,Colombo (PSS),1,3,18,-,12,1,1,150,bowled,2,DNB,-,-,-,-
1028655,Pathum Nissanka,23 Feb 2019,v Tamil Union,Colombo (Colts),1,3,0,-,4,0,0,0,lbw,2,DNB,-,-,-,-
1028655,Pathum Nissanka,25 Feb 2019,v Colombo CC,Colombo (PSS),1,6,19,-,19,1,0,100,bowled,2,DNB,-,-,-,-
1028655,Pathum Nissanka,27 Feb 2019,v Moors,Colombo (PSS),1,5,52,-,38,6,0,136.84,caught,2,DNB,-,-,-,-
1028655,Pathum Nissanka,4 Jan 2020,v Police SC,Colombo (NCC),1,1,77,-,49,6,3,157.14,caught,2,DNB,-,-,-,-
1028655,Pathum Nissanka,10 Jan 2020,v Saracens,Katunayake,1,1,93,-,61,9,3,152.45,caught,2,DNB,-,-,-,-
