player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
431213,Pawan Suyal,24 Mar 2012,v Railways,Brabourne,1,-,DNB,-,-,-,-,-,-,2,4.0,0,46,1,11.5
431213,Pawan Suyal,26 Mar 2012,v Baroda,Mumbai,1,-,DNB,-,-,-,-,-,-,2,3.0,0,19,0,6.33
431213,Pawan Suyal,27 Mar 2013,v Gujarat,Indore,1,-,DNB,-,-,-,-,-,-,2,2.0,0,17,1,8.5
431213,Pawan Suyal,28 Mar 2013,v Odisha,Indore,1,11,0*,-,2,0,0,0,not out,2,3.0,0,18,0,6
431213,Pawan Suyal,30 Mar 2013,v Vidarbha,Indore,1,-,DNB,-,-,-,-,-,-,2,4.0,0,24,1,6
431213,Pawan Suyal,5 May 2013,v CSK,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,1,7
431213,Pawan Suyal,4 Apr 2014,v Haryana,Chandigarh,2,-,DNB,-,-,-,-,-,-,1,3.0,0,27,1,9
431213,Pawan Suyal,5 Apr 2014,v Services,Chandigarh,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,2,8.25
431213,Pawan Suyal,6 May 2014,v RCB,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,35,1,11.66
431213,Pawan Suyal,24 Mar 2015,v J & K,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,27,0,6.75
431213,Pawan Suyal,25 Mar 2015,v Punjab,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,44,0,11
431213,Pawan Suyal,26 Mar 2015,v Himachal,Delhi,2,10,0,4,3,0,0,0,bowled,1,3.5,0,22,1,5.73
431213,Pawan Suyal,27 Mar 2015,v Haryana,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,1,15,2,3.75
431213,Pawan Suyal,28 Mar 2015,v Services,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,24,1,6
431213,Pawan Suyal,12 Apr 2015,v Kings XI,Wankhede,2,-,DNB,-,-,-,-,-,-,1,3.0,0,22,0,7.33
431213,Pawan Suyal,14 Apr 2015,v RR,Ahmedabad,1,-,DNB,-,-,-,-,-,-,2,4.0,0,45,0,11.25
431213,Pawan Suyal,17 Apr 2015,v CSK,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,0,9.33
431213,Pawan Suyal,21 Feb 2019,v J & K,Mulapadu,1,-,DNB,-,-,-,-,-,-,2,3.0,0,22,0,7.33
431213,Pawan Suyal,22 Feb 2019,v Andhra,Mulapadu,2,11,0*,1,0,0,0,-,not out,1,4.0,0,35,1,8.75
431213,Pawan Suyal,27 Feb 2019,v Jharkhand,Mulapadu,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,1,8
431213,Pawan Suyal,28 Feb 2019,v Kerala,Mulapadu,1,-,DNB,-,-,-,-,-,-,2,4.0,0,29,0,7.25
431213,Pawan Suyal,2 Mar 2019,v Delhi,Mulapadu,1,10,0,1,1,0,0,0,caught,2,4.0,0,11,1,2.75
431213,Pawan Suyal,17 Jan 2021,v Haryana,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,42,0,10.5
431213,Pawan Suyal,19 Jan 2021,v Puducherry,Mumbai,1,-,DNB,-,-,-,-,-,-,2,2.0,1,12,2,6
