player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1070180,Priyam Garg,21 Feb 2019,v Maharashtra,Delhi,2,6,4,15,9,0,0,44.44,lbw,1,DNB,-,-,-,-
1070180,Priyam Garg,22 Feb 2019,v Hyderabad,Delhi,2,6,19*,23,13,1,1,146.15,not out,1,DNB,-,-,-,-
1070180,Priyam Garg,24 Feb 2019,v Tripura,Delhi,1,4,59*,60,48,6,0,122.91,not out,2,DNB,-,-,-,-
1070180,Priyam Garg,25 Feb 2019,v Puducherry,Delhi,1,4,54,38,30,6,2,180,bowled,2,DNB,-,-,-,-
1070180,Priyam Garg,27 Feb 2019,v Services,Delhi,1,4,1,5,5,0,0,20,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,28 Feb 2019,v Uttarakhand,Delhi,1,4,15,7,6,2,1,250,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,2 Mar 2019,v Baroda,Delhi,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070180,Priyam Garg,9 Mar 2019,v Karnataka,Indore,2,5,16,-,11,2,0,145.45,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,10 Mar 2019,v Vidarbha,Indore,2,3,6,5,4,1,0,150,run out,1,DNB,-,-,-,-
1070180,Priyam Garg,11 Mar 2019,v Delhi,Indore,1,3,30,31,19,3,1,157.89,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,12 Mar 2019,v Mumbai,Indore,2,4,23,42,26,2,0,88.46,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,21 Sep 2020,v RCB,Dubai (DICS),2,4,12,-,13,1,0,92.3,bowled,1,DNB,-,-,-,-
1070180,Priyam Garg,26 Sep 2020,v KKR,Abu Dhabi,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1070180,Priyam Garg,29 Sep 2020,v DC,Abu Dhabi,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1070180,Priyam Garg,2 Oct 2020,v CSK,Dubai (DICS),1,5,51*,-,26,6,1,196.15,not out,2,DNB,-,-,-,-
1070180,Priyam Garg,4 Oct 2020,v MI,Sharjah,2,5,8,-,7,0,0,114.28,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,8 Oct 2020,v Kings XI,Dubai (DICS),1,6,0,-,1,0,0,0,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,11 Oct 2020,v RR,Dubai (DICS),1,5,15,-,8,1,1,187.5,run out,2,DNB,-,-,-,-
1070180,Priyam Garg,13 Oct 2020,v CSK,Dubai (DICS),2,5,16,-,18,1,0,88.88,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,18 Oct 2020,v KKR,Abu Dhabi,2,3,4,-,7,0,0,57.14,bowled,1,DNB,-,-,-,-
1070180,Priyam Garg,22 Oct 2020,v RR,Dubai (DICS),2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070180,Priyam Garg,24 Oct 2020,v Kings XI,Dubai (DICS),2,7,3,-,5,0,0,60,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,3 Nov 2020,v MI,Sharjah,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070180,Priyam Garg,6 Nov 2020,v RCB,Abu Dhabi,2,5,7,-,14,0,0,50,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,8 Nov 2020,v DC,Abu Dhabi,2,1,17,-,12,0,2,141.66,bowled,1,DNB,-,-,-,-
1070180,Priyam Garg,10 Jan 2021,v Punjab,Alur (2),2,4,4,-,8,0,0,50,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,12 Jan 2021,v Railways,Alur (3),1,2,12,-,16,1,0,75,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,14 Jan 2021,v J & K,Alur,1,4,35,-,36,2,0,97.22,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,16 Jan 2021,v Tripura,Alur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070180,Priyam Garg,18 Jan 2021,v Karnataka,Alur (3),1,4,6,-,8,0,0,75,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,27 Sep 2021,v RR,Dubai (DICS),2,4,0,5,1,0,0,0,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,30 Sep 2021,v CSK,Sharjah,1,4,7,20,10,0,0,70,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,3 Oct 2021,v KKR,Dubai (DICS),1,4,21,45,31,0,1,67.74,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,6 Oct 2021,v RCB,Abu Dhabi,1,4,15,16,11,0,1,136.36,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,8 Oct 2021,v MI,Abu Dhabi,2,6,29,30,21,2,1,138.09,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,4 Nov 2021,v Chandigarh,Sultanpur,1,5,9,17,7,0,1,128.57,run out,2,DNB,-,-,-,-
1070180,Priyam Garg,5 Nov 2021,v Saurashtra,Sultanpur,2,4,10,14,13,0,1,76.92,stumped,1,DNB,-,-,-,-
1070180,Priyam Garg,6 Nov 2021,v Delhi,Rohtak,1,5,10,12,7,0,1,142.85,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,17 May 2022,v MI,Wankhede,1,2,42,48,26,4,2,161.53,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,22 May 2022,v Punjab Kings,Wankhede,1,1,4,13,7,0,0,57.14,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,11 Oct 2022,v Puducherry,Jaipur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070180,Priyam Garg,12 Oct 2022,v Tripura,Jaipur,1,3,31,-,29,3,1,106.89,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,14 Oct 2022,v Delhi,Jaipur,2,3,6,-,6,1,0,100,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,22 Oct 2022,v Punjab,Jaipur,1,3,0,-,2,0,0,0,lbw,2,DNB,-,-,-,-
1070180,Priyam Garg,29 Apr 2023,v SRH,Delhi,2,5,12,15,9,1,0,133.33,bowled,1,DNB,-,-,-,-
1070180,Priyam Garg,2 May 2023,v GT,Ahmedabad,1,3,10,26,14,0,0,71.42,caught,2,sub,-,-,-,-
1070180,Priyam Garg,1 Dec 2024,v Arunachal,Wankhede,1,3,81,-,43,9,4,188.37,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,3 Dec 2024,v J & K,Mumbai,1,3,22,-,22,3,0,100,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,5 Dec 2024,v Jharkhand,Wankhede,1,3,31,-,25,2,2,124,caught,2,DNB,-,-,-,-
1070180,Priyam Garg,9 Dec 2024,v Andhra,Bengaluru,2,3,10,-,13,1,0,76.92,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,11 Dec 2024,v Delhi,Bengaluru,2,3,54,-,34,6,3,158.82,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,26 Nov 2025,v Goa,Jadavpur Uni,2,3,28,-,14,2,2,200,caught,1,DNB,-,-,-,-
1070180,Priyam Garg,28 Nov 2025,v J & K,Jadavpur Uni,1,3,6,-,9,0,0,66.66,caught,2,DNB,-,-,-,-
