player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
605661,Ryan Rickelton,1 Sep 2017,v E. Province,Potchefstroom,1,2,15,12,8,3,0,187.5,bowled,2,DNB,-,-,-,-
605661,Ryan Rickelton,2 Sep 2017,v Northerns,Potchefstroom,2,2,60*,67,46,5,2,130.43,not out,1,DNB,-,-,-,-
605661,Ryan Rickelton,3 Sep 2017,v North West,Potchefstroom,2,2,3,7,5,0,0,60,lbw,1,4.0,0,14,1,3.5
605661,Ryan Rickelton,24 Sep 2017,v KZN-Inland,Kimberley,1,1,3,4,4,0,0,75,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,26 Nov 2017,v Warriors,Cape Town,1,3,41,34,23,2,3,178.26,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,1 Dec 2017,v Knights,Bloemfontein,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
605661,Ryan Rickelton,8 Dec 2017,v Warriors,Potchefstroom,2,3,18,11,7,3,1,257.14,lbw,1,DNB,-,-,-,-
605661,Ryan Rickelton,10 Dec 2017,v Knights,Johannesburg,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
605661,Ryan Rickelton,17 Nov 2018,v Giants,Johannesburg,1,2,2,13,4,0,0,50,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,20 Nov 2018,v Paarl Rocks,Paarl,1,1,91,71,59,7,3,154.23,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,24 Nov 2018,v Blitz,Johannesburg,2,1,14,18,12,1,1,116.66,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,28 Nov 2018,v Spartans,Centurion,1,1,14,25,19,2,0,73.68,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,30 Nov 2018,v Durban Heat,Johannesburg,1,1,45,40,33,3,2,136.36,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,2 Dec 2018,v Giants,Gqeberha,1,1,21,29,23,2,1,91.3,bowled,2,DNB,-,-,-,-
605661,Ryan Rickelton,7 Dec 2018,v Durban Heat,Durban,2,3,13,16,10,3,0,130,lbw,1,DNB,-,-,-,-
605661,Ryan Rickelton,11 Dec 2018,v Spartans,Johannesburg,1,1,45,45,30,1,3,150,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,14 Dec 2018,v Paarl Rocks,Johannesburg,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
605661,Ryan Rickelton,16 Dec 2018,v Blitz,Cape Town,2,1,6,10,8,1,0,75,bowled,1,DNB,-,-,-,-
605661,Ryan Rickelton,7 Apr 2019,v Cape Cobras,Johannesburg,2,1,69,64,43,3,4,160.46,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,10 Apr 2019,v Dolphins,Durban,1,1,13,11,10,2,0,130,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,12 Apr 2019,v Knights,Potchefstroom,1,1,51,60,41,7,0,124.39,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,14 Apr 2019,v Warriors,East London,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
605661,Ryan Rickelton,18 Apr 2019,v Titans,Johannesburg,1,1,9,16,11,1,0,81.81,lbw,2,DNB,-,-,-,-
605661,Ryan Rickelton,24 Apr 2019,v Warriors,Johannesburg,1,1,1,7,7,0,0,14.28,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,26 Apr 2019,v Cape Cobras,Cape Town,2,1,26,23,20,2,1,130,bowled,1,DNB,-,-,-,-
605661,Ryan Rickelton,28 Apr 2019,v Titans,Centurion,2,1,74,55,47,6,3,157.44,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,1 May 2019,v Dolphins,Johannesburg,2,1,35,24,19,7,0,184.21,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,5 May 2019,v Warriors,Johannesburg,1,1,19,21,15,2,1,126.66,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,13 Sep 2019,v KZ-Natal,Benoni (A),2,1,7,28,13,1,0,53.84,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,13 Sep 2019,v Northerns,Benoni,1,1,12,7,7,2,0,171.42,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,14 Sep 2019,v Easterns,Benoni,1,1,37,26,28,6,0,132.14,caught,2,DNB,-,-,-,-
605661,Ryan Rickelton,14 Sep 2019,v Free State,Benoni (A),1,1,13,16,14,2,0,92.85,run out,2,DNB,-,-,-,-
605661,Ryan Rickelton,8 Nov 2019,v Blitz,Johannesburg,2,6,1,5,2,0,0,50,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,10 Nov 2019,v Giants,Gqeberha,2,6,2*,10,3,0,0,66.66,not out,1,DNB,-,-,-,-
605661,Ryan Rickelton,14 Nov 2019,v Blitz,Cape Town,2,5,10,16,11,0,0,90.9,caught,1,DNB,-,-,-,-
605661,Ryan Rickelton,22 Nov 2019,v Paarl Rocks,Paarl,1,1,30,42,34,2,0,88.23,bowled,2,DNB,-,-,-,-
605661,Ryan Rickelton,1 Dec 2019,v Paarl Rocks,Johannesburg,1,1,6,9,9,1,0,66.66,caught,2,DNB,-,-,-,-
