player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
33335,Suresh Raina,1 Dec 2006,v South Africa,Johannesburg,2,6,3*,15,4,0,0,75,not out,1,DNB,-,-,-,-
33335,Suresh Raina,19 Apr 2008,v Kings XI,Mohali,1,5,32,-,13,2,3,246.15,caught,2,DNB,-,-,-,-
33335,Suresh Raina,23 Apr 2008,v MI,Chennai,1,4,53,54,37,3,3,143.24,caught,2,DNB,-,-,-,-
33335,Suresh Raina,26 Apr 2008,v KKR,Chennai,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
33335,Suresh Raina,28 Apr 2008,v RCB,Bengaluru,1,4,28,-,17,1,2,164.7,run out,2,DNB,-,-,-,-
33335,Suresh Raina,2 May 2008,v Daredevils,Chennai,1,6,3,-,4,0,0,75,run out,2,DNB,-,-,-,-
33335,Suresh Raina,4 May 2008,v RR,Jaipur,1,4,27,-,27,2,0,100,caught,2,1.2,0,10,0,7.5
33335,Suresh Raina,6 May 2008,v Chargers,Chennai,1,4,32,-,21,5,0,152.38,caught,2,DNB,-,-,-,-
33335,Suresh Raina,8 May 2008,v Daredevils,Delhi,2,4,1,-,2,0,0,50,caught,1,DNB,-,-,-,-
33335,Suresh Raina,10 May 2008,v Kings XI,Chennai,1,3,26,-,17,4,0,152.94,caught,2,DNB,-,-,-,-
33335,Suresh Raina,14 May 2008,v MI,Wankhede,1,3,1,-,6,0,0,16.66,caught,2,DNB,-,-,-,-
33335,Suresh Raina,18 May 2008,v KKR,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
33335,Suresh Raina,21 May 2008,v RCB,Chennai,2,4,21*,-,20,2,0,105,not out,1,DNB,-,-,-,-
33335,Suresh Raina,24 May 2008,v RR,Chennai,2,3,45,-,24,6,2,187.5,caught,1,2.0,0,20,1,10
33335,Suresh Raina,27 May 2008,v Chargers,Hyderabad,2,3,54*,-,43,5,2,125.58,not out,1,DNB,-,-,-,-
33335,Suresh Raina,31 May 2008,v Kings XI,Wankhede,2,3,55*,-,34,4,4,161.76,not out,1,DNB,-,-,-,-
33335,Suresh Raina,1 Jun 2008,v RR,DY Patil,1,3,43,-,30,1,2,143.33,caught,2,DNB,-,-,-,-
33335,Suresh Raina,10 Feb 2009,v Sri Lanka,Colombo (RPS),2,3,35,48,27,5,1,129.62,caught,1,DNB,-,-,-,-
33335,Suresh Raina,25 Feb 2009,v New Zealand,Christchurch,1,3,61*,74,43,2,5,141.86,not out,2,DNB,-,-,-,-
33335,Suresh Raina,27 Feb 2009,v New Zealand,Wellington,1,3,0,4,4,0,0,0,caught,2,DNB,-,-,-,-
33335,Suresh Raina,18 Apr 2009,v MI,Cape Town,2,3,8,-,9,1,0,88.88,caught,1,DNB,-,-,-,-
33335,Suresh Raina,20 Apr 2009,v RCB,Gqeberha,1,3,28,31,29,1,1,96.55,caught,2,DNB,-,-,-,-
33335,Suresh Raina,23 Apr 2009,v Daredevils,Durban,2,3,41,-,27,5,1,151.85,caught,1,DNB,-,-,-,-
33335,Suresh Raina,27 Apr 2009,v Chargers,Durban,1,3,25,-,19,1,2,131.57,caught,2,4.0,0,18,2,4.5
33335,Suresh Raina,30 Apr 2009,v RR,Centurion,1,3,98,-,55,10,5,178.18,caught,2,2.0,0,11,1,5.5
33335,Suresh Raina,2 May 2009,v Daredevils,Johannesburg,1,3,32,-,21,2,2,152.38,caught,2,1.0,0,7,0,7
33335,Suresh Raina,4 May 2009,v Chargers,East London,1,4,32,-,19,1,2,168.42,caught,2,1.4,0,12,1,7.2
33335,Suresh Raina,7 May 2009,v Kings XI,Centurion,1,3,32,-,20,4,1,160,caught,2,2.0,0,8,0,4
33335,Suresh Raina,9 May 2009,v RR,Kimberley,2,3,13,-,11,1,1,118.18,caught,1,3.0,0,21,0,7
33335,Suresh Raina,14 May 2009,v RCB,Durban,1,3,13,-,10,3,0,130,caught,2,DNB,-,-,-,-
33335,Suresh Raina,16 May 2009,v MI,Gqeberha,2,3,20,-,12,2,2,166.66,caught,1,4.0,0,22,1,5.5
33335,Suresh Raina,18 May 2009,v KKR,Centurion,1,3,52,-,36,3,3,144.44,caught,2,3.0,0,25,0,8.33
33335,Suresh Raina,20 May 2009,v Kings XI,Durban,1,3,20,-,21,2,0,95.23,caught,2,4.0,0,17,2,4.25
