player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
446507,Suryakumar Yadav,13 Mar 2010,v Hyderabad,Indore,1,5,5,4,4,1,0,125,lbw,2,DNB,-,-,-,-
446507,Suryakumar Yadav,22 Oct 2010,v Saurashtra,Vadodara,1,5,3,9,5,0,0,60,stumped,2,4.0,0,17,1,4.25
446507,Suryakumar Yadav,12 Mar 2011,v Haryana,Hyderabad,1,5,17,14,18,0,0,94.44,caught,2,2.0,0,10,1,5
446507,Suryakumar Yadav,8 Oct 2011,v Somerset,Chennai,1,6,23*,-,19,3,0,121.05,not out,2,DNB,-,-,-,-
446507,Suryakumar Yadav,9 Oct 2011,v RCB,Chennai,1,5,24,17,17,2,1,141.17,run out,2,DNB,-,-,-,-
446507,Suryakumar Yadav,20 Oct 2011,v Baroda,Rajkot,2,5,31,22,22,4,1,140.9,caught,1,1.0,0,17,0,17
446507,Suryakumar Yadav,21 Oct 2011,v Gujarat,Rajkot,1,3,37,23,18,4,2,205.55,caught,2,DNB,-,-,-,-
446507,Suryakumar Yadav,22 Oct 2011,v Saurashtra,Rajkot,2,4,2,4,4,0,0,50,caught,1,3.0,0,18,1,6
446507,Suryakumar Yadav,24 Oct 2011,v Maharashtra,Rajkot,1,4,20,9,10,4,0,200,caught,2,DNB,-,-,-,-
446507,Suryakumar Yadav,24 Mar 2012,v Tamil Nadu,Brabourne,1,5,14,-,12,1,0,116.66,run out,2,DNB,-,-,-,-
446507,Suryakumar Yadav,26 Mar 2012,v Punjab,Mumbai,1,5,20,-,18,2,0,111.11,run out,2,DNB,-,-,-,-
446507,Suryakumar Yadav,6 Apr 2012,v Warriors,Wankhede,2,6,0,6,4,0,0,0,bowled,1,DNB,-,-,-,-
446507,Suryakumar Yadav,17 Mar 2013,v Baroda,Ahmedabad,2,5,11,17,13,1,0,84.61,caught,1,DNB,-,-,-,-
446507,Suryakumar Yadav,18 Mar 2013,v Gujarat,Ahmedabad,2,6,2,4,5,0,0,40,caught,1,2.0,0,18,0,9
446507,Suryakumar Yadav,30 Mar 2014,v Baroda,Wankhede,2,6,18,25,20,1,0,90,caught,1,2.0,0,13,1,6.5
446507,Suryakumar Yadav,31 Mar 2014,v Gujarat,Mumbai,2,5,4,7,6,0,0,66.66,run out,1,3.0,0,11,2,3.66
