player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1211825,Will O’Rourke,7 Jan 2022,v Auckland,Auckland,2,-,DNB,-,-,-,-,-,-,1,3.0,0,21,0,7
1211825,Will O’Rourke,18 Jan 2022,v Auckland,Christchurch,1,10,10,13,8,1,0,125,caught,2,3.0,0,23,0,7.66
1211825,Will O’Rourke,21 Jan 2022,v Northern Dis,Christchurch,1,-,DNB,-,-,-,-,-,-,2,1.0,0,8,0,8
1211825,Will O’Rourke,26 Dec 2022,v Auckland,Christchurch,1,10,5*,-,5,0,0,100,not out,2,3.0,0,20,1,6.66
1211825,Will O’Rourke,30 Dec 2022,v Central D,New Plymouth,1,-,DNB,-,-,-,-,-,-,2,3.1,0,18,1,5.68
1211825,Will O’Rourke,1 Jan 2023,v Wellington,Christchurch,1,10,6*,-,5,0,0,120,not out,2,3.0,0,43,1,14.33
1211825,Will O’Rourke,8 Jan 2023,v Auckland,Auckland,2,-,DNB,-,-,-,-,-,-,1,4.0,0,31,2,7.75
1211825,Will O’Rourke,13 Jan 2023,v Northern Dis,Christchurch,1,11,1*,2,1,0,0,100,not out,2,3.0,0,22,0,7.33
1211825,Will O’Rourke,23 Jan 2023,v Wellington,Wellington,2,-,DNB,-,-,-,-,-,-,1,3.2,0,29,3,8.7
1211825,Will O’Rourke,27 Jan 2023,v Central D,Christchurch,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,2,6.25
1211825,Will O’Rourke,4 Feb 2023,v Otago,Christchurch,1,-,DNB,-,-,-,-,-,-,2,3.0,0,34,0,11.33
1211825,Will O’Rourke,6 Feb 2023,v Otago,Dunedin,2,-,DNB,-,-,-,-,-,-,1,4.0,0,17,2,4.25
1211825,Will O’Rourke,11 Feb 2023,v Northern Dis,Christchurch,1,-,DNB,-,-,-,-,-,-,2,4.0,0,39,0,9.75
1211825,Will O’Rourke,26 Dec 2023,v Otago,Christchurch,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
1211825,Will O’Rourke,30 Dec 2023,v Central D,New Plymouth,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,2,8.25
1211825,Will O’Rourke,3 Jan 2024,v Otago,Alexandra,2,-,DNB,-,-,-,-,-,-,1,3.0,0,27,0,9
1211825,Will O’Rourke,5 Jan 2024,v Central D,Christchurch,-,-,TDNB,-,-,-,-,-,-,1,1.0,0,3,1,3
1211825,Will O’Rourke,7 Jan 2024,v Auckland,Christchurch,1,-,DNB,-,-,-,-,-,-,2,3.0,0,38,0,12.66
1211825,Will O’Rourke,9 Jan 2024,v Northern Dis,Christchurch,1,-,DNB,-,-,-,-,-,-,2,4.0,0,16,2,4
1211825,Will O’Rourke,11 Jan 2024,v Wellington,Christchurch,2,-,DNB,-,-,-,-,-,-,1,4.0,0,41,1,10.25
1211825,Will O’Rourke,18 Jan 2024,v Northern Dis,Hamilton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,4,5.75
1211825,Will O’Rourke,22 Jan 2024,v Wellington,Wellington,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,2,8.25
1211825,Will O’Rourke,26 Jan 2024,v Wellington,Hamilton,2,-,DNB,-,-,-,-,-,-,1,3.0,0,19,0,6.33
1211825,Will O’Rourke,28 Jan 2024,v Auckland,Auckland,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
1211825,Will O’Rourke,21 Apr 2024,v Pakistan,Rawalpindi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,0,8.25
1211825,Will O’Rourke,25 Apr 2024,v Pakistan,Lahore,1,-,DNB,-,-,-,-,-,-,2,4.0,0,27,3,6.75
1211825,Will O’Rourke,27 Apr 2024,v Pakistan,Lahore,2,11,0,2,0,0,0,-,run out,1,4.0,0,25,1,6.25
1211825,Will O’Rourke,3 Jan 2025,v Auckland,Auckland,2,11,0*,3,1,0,0,0,not out,1,4.0,0,44,0,11
