match_id,innings,over,ball,batsman_id,batsman,bowler_id,bowler,runs,play_type,is_wicket,wicket_type,total_runs,total_wickets,short_text
1216543,1,0.1,1,1070168,Prithvi Shaw,669855,Jofra Archer,0,out,True,bowled,0,1,"Archer to Shaw, OUT"
1216543,1,0.2,2,277916,Ajinkya Rahane,669855,Jofra Archer,0,no run,False,,0,1,"Archer to Rahane, no run"
1216543,1,0.2,3,277916,Ajinkya Rahane,669855,Jofra Archer,1,wide,False,,1,1,"Archer to Rahane, 1 wide"
1216543,1,0.3,4,277916,Ajinkya Rahane,669855,Jofra Archer,0,no run,False,,1,1,"Archer to Rahane, no run"
1216543,1,0.3,5,277916,Ajinkya Rahane,669855,Jofra Archer,1,wide,False,,2,1,"Archer to Rahane, 1 wide"
1216543,1,0.4,6,277916,Ajinkya Rahane,669855,Jofra Archer,0,no run,False,,2,1,"Archer to Rahane, no run"
1216543,1,0.5,7,277916,Ajinkya Rahane,669855,Jofra Archer,1,run,False,,3,1,"Archer to Rahane, 1 run"
1216543,1,0.6,8,28235,Shikhar Dhawan,669855,Jofra Archer,0,no run,False,,3,1,"Archer to Dhawan, no run"
1216543,1,1.1,1,277916,Ajinkya Rahane,390484,Jaydev Unadkat,0,no run,False,,3,1,"Unadkat to Rahane, no run"
1216543,1,1.2,2,277916,Ajinkya Rahane,390484,Jaydev Unadkat,1,run,False,,4,1,"Unadkat to Rahane, 1 run"
1216543,1,1.3,3,28235,Shikhar Dhawan,390484,Jaydev Unadkat,0,no run,False,,4,1,"Unadkat to Dhawan, no run"
1216543,1,1.4,4,28235,Shikhar Dhawan,390484,Jaydev Unadkat,0,no run,False,,4,1,"Unadkat to Dhawan, no run"
1216543,1,1.5,5,28235,Shikhar Dhawan,390484,Jaydev Unadkat,2,run,False,,6,1,"Unadkat to Dhawan, 2 runs"
1216543,1,1.6,6,28235,Shikhar Dhawan,390484,Jaydev Unadkat,4,four,False,,10,1,"Unadkat to Dhawan, FOUR"
1216543,1,2.1,1,277916,Ajinkya Rahane,669855,Jofra Archer,0,no run,False,,10,1,"Archer to Rahane, no run"
1216543,1,2.2,2,277916,Ajinkya Rahane,669855,Jofra Archer,0,no run,False,,10,1,"Archer to Rahane, no run"
1216543,1,2.3,3,277916,Ajinkya Rahane,669855,Jofra Archer,0,out,True,caught,10,2,"Archer to Rahane, OUT"
1216543,1,2.4,4,642519,Shreyas Iyer,669855,Jofra Archer,0,no run,False,,10,2,"Archer to Iyer, no run"
1216543,1,2.4,5,642519,Shreyas Iyer,669855,Jofra Archer,1,wide,False,,11,2,"Archer to Iyer, 1 wide"
1216543,1,2.5,6,642519,Shreyas Iyer,669855,Jofra Archer,0,no run,False,,11,2,"Archer to Iyer, no run"
1216543,1,2.6,7,642519,Shreyas Iyer,669855,Jofra Archer,1,run,False,,12,2,"Archer to Iyer, 1 run"
1216543,1,3.1,1,642519,Shreyas Iyer,1122918,Kartik Tyagi,0,no run,False,,12,2,"Kartik Tyagi to Iyer, no run"
1216543,1,3.2,2,642519,Shreyas Iyer,1122918,Kartik Tyagi,1,run,False,,13,2,"Kartik Tyagi to Iyer, 1 run"
1216543,1,3.3,3,28235,Shikhar Dhawan,1122918,Kartik Tyagi,6,six,False,,19,2,"Kartik Tyagi to Dhawan, SIX"
1216543,1,3.4,4,28235,Shikhar Dhawan,1122918,Kartik Tyagi,1,run,False,,20,2,"Kartik Tyagi to Dhawan, 1 run"
1216543,1,3.5,5,642519,Shreyas Iyer,1122918,Kartik Tyagi,0,no run,False,,20,2,"Kartik Tyagi to Iyer, no run"
1216543,1,3.6,6,642519,Shreyas Iyer,1122918,Kartik Tyagi,0,no run,False,,20,2,"Kartik Tyagi to Iyer, no run"
1216543,1,4.1,1,28235,Shikhar Dhawan,311158,Ben Stokes,0,no run,False,,20,2,"Stokes to Dhawan, no run"
1216543,1,4.2,2,28235,Shikhar Dhawan,311158,Ben Stokes,4,four,False,,24,2,"Stokes to Dhawan, FOUR"
1216543,1,4.3,3,28235,Shikhar Dhawan,311158,Ben Stokes,1,run,False,,25,2,"Stokes to Dhawan, 1 run"
1216543,1,4.3,4,642519,Shreyas Iyer,311158,Ben Stokes,2,run,False,,27,2,"Stokes to Iyer, (no ball) 1 run"
1216543,1,4.4,5,28235,Shikhar Dhawan,311158,Ben Stokes,1,run,False,,28,2,"Stokes to Dhawan, 1 run"
1216543,1,4.5,6,642519,Shreyas Iyer,311158,Ben Stokes,4,four,False,,32,2,"Stokes to Iyer, FOUR"
1216543,1,4.6,7,642519,Shreyas Iyer,311158,Ben Stokes,1,run,False,,33,2,"Stokes to Iyer, 1 run"
1216543,1,5.0,1,642519,Shreyas Iyer,1122918,Kartik Tyagi,1,wide,False,,34,2,"Kartik Tyagi to Iyer, 1 wide"
1216543,1,5.1,2,642519,Shreyas Iyer,1122918,Kartik Tyagi,1,run,False,,35,2,"Kartik Tyagi to Iyer, 1 run"
1216543,1,5.2,3,28235,Shikhar Dhawan,1122918,Kartik Tyagi,4,four,False,,39,2,"Kartik Tyagi to Dhawan, FOUR"
1216543,1,5.3,4,28235,Shikhar Dhawan,1122918,Kartik Tyagi,3,run,False,,42,2,"Kartik Tyagi to Dhawan, 3 runs"
1216543,1,5.4,5,642519,Shreyas Iyer,1122918,Kartik Tyagi,1,run,False,,43,2,"Kartik Tyagi to Iyer, 1 run"
1216543,1,5.5,6,28235,Shikhar Dhawan,1122918,Kartik Tyagi,4,four,False,,47,2,"Kartik Tyagi to Dhawan, FOUR"
1216543,1,5.6,7,28235,Shikhar Dhawan,1122918,Kartik Tyagi,0,no run,False,,47,2,"Kartik Tyagi to Dhawan, no run"
1216543,1,6.1,1,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,48,2,"Gopal to Iyer, 1 run"
1216543,1,6.2,2,28235,Shikhar Dhawan,344580,Shreyas Gopal,1,run,False,,49,2,"Gopal to Dhawan, 1 run"
1216543,1,6.3,3,642519,Shreyas Iyer,344580,Shreyas Gopal,0,no run,False,,49,2,"Gopal to Iyer, no run"
1216543,1,6.4,4,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,50,2,"Gopal to Iyer, 1 run"
1216543,1,6.5,5,28235,Shikhar Dhawan,344580,Shreyas Gopal,1,run,False,,51,2,"Gopal to Dhawan, 1 run"
1216543,1,6.6,6,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,52,2,"Gopal to Iyer, 1 run"
1216543,1,7.1,1,642519,Shreyas Iyer,423838,Rahul Tewatia,1,run,False,,53,2,"Tewatia to Iyer, 1 run"
1216543,1,7.2,2,28235,Shikhar Dhawan,423838,Rahul Tewatia,1,run,False,,54,2,"Tewatia to Dhawan, 1 run"
1216543,1,7.3,3,642519,Shreyas Iyer,423838,Rahul Tewatia,1,run,False,,55,2,"Tewatia to Iyer, 1 run"
1216543,1,7.4,4,28235,Shikhar Dhawan,423838,Rahul Tewatia,1,run,False,,56,2,"Tewatia to Dhawan, 1 run"
1216543,1,7.5,5,642519,Shreyas Iyer,423838,Rahul Tewatia,1,run,False,,57,2,"Tewatia to Iyer, 1 run"
1216543,1,7.6,6,28235,Shikhar Dhawan,423838,Rahul Tewatia,4,four,False,,61,2,"Tewatia to Dhawan, FOUR"
1216543,1,8.1,1,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,62,2,"Gopal to Iyer, 1 run"
1216543,1,8.2,2,28235,Shikhar Dhawan,344580,Shreyas Gopal,1,run,False,,63,2,"Gopal to Dhawan, 1 run"
1216543,1,8.3,3,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,64,2,"Gopal to Iyer, 1 run"
1216543,1,8.4,4,28235,Shikhar Dhawan,344580,Shreyas Gopal,2,run,False,,66,2,"Gopal to Dhawan, 2 runs"
1216543,1,8.5,5,28235,Shikhar Dhawan,344580,Shreyas Gopal,1,run,False,,67,2,"Gopal to Dhawan, 1 run"
1216543,1,8.6,6,642519,Shreyas Iyer,344580,Shreyas Gopal,1,run,False,,68,2,"Gopal to Iyer, 1 run"
1216543,1,9.1,1,642519,Shreyas Iyer,311158,Ben Stokes,1,run,False,,69,2,"Stokes to Iyer, 1 run"
1216543,1,9.1,2,28235,Shikhar Dhawan,311158,Ben Stokes,2,run,False,,71,2,"Stokes to Dhawan, (no ball) 1 run"
1216543,1,9.2,3,642519,Shreyas Iyer,311158,Ben Stokes,4,four,False,,75,2,"Stokes to Iyer, FOUR"
1216543,1,9.3,4,642519,Shreyas Iyer,311158,Ben Stokes,1,run,False,,76,2,"Stokes to Iyer, 1 run"
1216543,1,9.4,5,28235,Shikhar Dhawan,311158,Ben Stokes,1,run,False,,77,2,"Stokes to Dhawan, 1 run"
1216543,1,9.5,6,642519,Shreyas Iyer,311158,Ben Stokes,2,run,False,,79,2,"Stokes to Iyer, 2 runs"
1216543,1,9.6,7,642519,Shreyas Iyer,311158,Ben Stokes,0,no run,False,,79,2,"Stokes to Iyer, no run"
1216543,1,10.1,1,28235,Shikhar Dhawan,423838,Rahul Tewatia,0,no run,False,,79,2,"Tewatia to Dhawan, no run"
1216543,1,10.2,2,28235,Shikhar Dhawan,423838,Rahul Tewatia,0,no run,False,,79,2,"Tewatia to Dhawan, no run"
1216543,1,10.3,3,28235,Shikhar Dhawan,423838,Rahul Tewatia,4,four,False,,83,2,"Tewatia to Dhawan, FOUR"
1216543,1,10.4,4,28235,Shikhar Dhawan,423838,Rahul Tewatia,1,run,False,,84,2,"Tewatia to Dhawan, 1 run"
1216543,1,10.5,5,642519,Shreyas Iyer,423838,Rahul Tewatia,1,run,False,,85,2,"Tewatia to Iyer, 1 run"
1216543,1,10.6,6,28235,Shikhar Dhawan,423838,Rahul Tewatia,1,run,False,,86,2,"Tewatia to Dhawan, 1 run"
1216543,1,11.1,1,28235,Shikhar Dhawan,344580,Shreyas Gopal,6,six,False,,92,2,"Gopal to Dhawan, SIX"
1216543,1,11.2,2,28235,Shikhar Dhawan,344580,Shreyas Gopal,1,run,False,,93,2,"Gopal to Dhawan, 1 run"
