player_id,name,bat_style,bowl_style,bowl_type,role,age,bat_hand
44936,Abraham Benjamin de Villiers,Right-hand bat,Right-arm medium,pace,Wicketkeeper batter,42,right
5334,Aaron James Finch,Right-hand bat,Slow left-arm orthodox,spin,Top-order batter,39,right
1287067,Pappanayil Abdul Basith,Right-hand bat,Right-arm offbreak,spin,Allrounder,27,right
1175485,Abdul Samad Farooq,Right-hand bat,Legbreak,spin,Batter,24,right
1081183,Abhijeet Tomar,Right-hand bat,Right-arm offbreak,spin,Opening batter,31,right
778963,Abhinav Manohar,Right-hand bat,Legbreak googly,spin,Batting allrounder,31,right
1070183,Abhishek Sharma,Left-hand bat,Slow left-arm orthodox,spin,Batting allrounder,25,left
1277545,Abishek Porel,Left-hand bat,,,Wicketkeeper batter,23,left
228430,Abu Nechim Ahmed,Right-hand bat,Right-arm medium-fast,pace,Bowler,37,right
450860,Adam Fraser Milne,Right-hand bat,Right-arm fast,pace,Bowler,33,right
379504,Adam Zampa,Right-hand bat,Legbreak googly,spin,Bowler,33,right
244497,Adil Usman Rashid,Right-hand bat,Legbreak,spin,Bowler,38,right
333904,Aditya Prakash Tare,Right-hand bat,,,Wicketkeeper,38,right
600498,Aiden Kyle Markram,Right-hand bat,Right-arm offbreak,spin,Middle-order batter,31,right
277916,Ajinkya Madhukar Rahane,Right-hand bat,Right-arm medium,pace,Top-order batter,37,right
1176959,Akash Deep,Right-hand bat,Right-arm fast-medium,pace,Bowler,29,right
1206039,Akash Madhwal,Right-hand bat,Right-arm medium-fast,pace,Bowler,32,right
1175458,Akash Maharaj Singh,Right-hand bat,Left-arm medium-fast,pace,Bowler,23,right
530812,Akeal Jerome Hosein,Left-hand bat,Slow left-arm orthodox,spin,Bowler,32,left
574178,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Left-hand bat,Right-arm offbreak,spin,Bowling allrounder,32,left
500360,Akshdeep Deependra Nath,Right-hand bat,Right-arm medium-fast,pace,Middle-order batter,32,right
46248,Johannes Albertus Morkel,Left-hand bat,Right-arm medium-fast,pace,Bowling allrounder,44,left
