player_id,start_date,opposition,ground,innings,dismissals,catches,stumpings,ct_wk,ct_fi
1151278,22 Sep 2020,v CSK,Sharjah,2,0,0,0,0,0
1151278,6 Oct 2020,v MI,Abu Dhabi,1,0,0,0,0,0
1151278,9 Oct 2020,v DC,Sharjah,1,1,1,0,0,1
1151278,11 Jan 2021,v Delhi,Wankhede,1,0,0,0,0,0
1151278,13 Jan 2021,v Kerala,Wankhede,2,0,0,0,0,0
1151278,15 Jan 2021,v Haryana,Mumbai,2,0,0,0,0,0
1151278,17 Jan 2021,v Puducherry,Wankhede,2,0,0,0,0,0
1151278,19 Jan 2021,v Andhra,Wankhede,1,0,0,0,0,0
1151278,24 Apr 2021,v KKR,Wankhede,1,1,1,0,0,1
1151278,29 Apr 2021,v MI,Delhi,2,0,0,0,0,0
1151278,2 May 2021,v SRH,Delhi,2,0,0,0,0,0
1151278,21 Sep 2021,v Punjab Kings,Dubai (DICS),2,0,0,0,0,0
1151278,25 Sep 2021,v DC,Abu Dhabi,1,0,0,0,0,0
1151278,27 Sep 2021,v SRH,Dubai (DICS),2,0,0,0,0,0
1151278,29 Sep 2021,v RCB,Dubai (DICS),2,0,0,0,0,0
1151278,2 Oct 2021,v CSK,Abu Dhabi,1,0,0,0,0,0
1151278,5 Oct 2021,v MI,Sharjah,2,1,1,0,0,1
1151278,7 Oct 2021,v KKR,Sharjah,1,1,1,0,0,1
1151278,4 Nov 2021,v Karnataka,Guwahati,1,0,0,0,0,0
1151278,5 Nov 2021,v Services,Guwahati,2,0,0,0,0,0
1151278,6 Nov 2021,v Bengal,Guwahati,2,0,0,0,0,0
1151278,8 Nov 2021,v Chhattisgarh,Guwahati,1,0,0,0,0,0
1151278,9 Nov 2021,v Baroda,Guwahati,2,0,0,0,0,0
1151278,29 Mar 2022,v SRH,Pune,2,0,0,0,0,0
1151278,2 Apr 2022,v MI,DY Patil,2,0,0,0,0,0
1151278,5 Apr 2022,v RCB,Wankhede,2,0,0,0,0,0
1151278,7 May 2022,v Punjab Kings,Wankhede,1,0,0,0,0,0
1151278,11 May 2022,v DC,DY Patil,2,0,0,0,0,0
1151278,15 May 2022,v LSG,Brabourne,2,1,1,0,0,1
1151278,20 May 2022,v CSK,Brabourne,1,0,0,0,0,0
1151278,24 May 2022,v GT,Eden Gardens,2,0,0,0,0,0
1151278,27 May 2022,v RCB,Ahmedabad,1,0,0,0,0,0
1151278,29 May 2022,v GT,Ahmedabad,2,1,1,0,0,1
1151278,11 Oct 2022,v Mizoram,Saurashtra,1,1,1,0,0,1
1151278,12 Oct 2022,v M. Pradesh,Rajkot,1,1,1,0,0,1
1151278,14 Oct 2022,v Assam,Rajkot,2,1,1,0,0,1
1151278,16 Oct 2022,v Vidarbha,Saurashtra,2,0,0,0,0,0
1151278,18 Oct 2022,v Rajasthan,Saurashtra,2,0,0,0,0,0
1151278,20 Oct 2022,v Railways,Rajkot,2,0,0,0,0,0
1151278,22 Oct 2022,v Uttarakhand,Saurashtra,2,0,0,0,0,0
1151278,1 Nov 2022,v Saurashtra,Eden Gardens,1,1,1,0,0,1
1151278,3 Nov 2022,v Vidarbha,Eden Gardens,1,1,1,0,0,1
1151278,5 Nov 2022,v Himachal,Eden Gardens,1,1,1,0,0,1
1151278,2 Apr 2023,v SRH,Hyderabad,2,0,0,0,0,0
1151278,5 Apr 2023,v Punjab Kings,Guwahati,1,0,0,0,0,0
1151278,8 Apr 2023,v DC,Guwahati,2,1,1,0,0,1
1151278,12 Apr 2023,v CSK,Chennai,2,2,2,0,0,2
1151278,16 Apr 2023,v GT,Ahmedabad,1,1,1,0,0,1
1151278,19 Apr 2023,v LSG,Jaipur,1,0,0,0,0,0
1151278,23 Apr 2023,v RCB,Bengaluru,1,1,1,0,0,1
1151278,27 Apr 2023,v CSK,Jaipur,2,0,0,0,0,0
1151278,30 Apr 2023,v MI,Wankhede,2,0,0,0,0,0
1151278,5 May 2023,v GT,Jaipur,2,0,0,0,0,0
1151278,7 May 2023,v SRH,Jaipur,2,1,1,0,0,1
1151278,11 May 2023,v KKR,Eden Gardens,1,0,0,0,0,0
1151278,14 May 2023,v RCB,Jaipur,1,2,2,0,0,2
1151278,19 May 2023,v Punjab Kings,Dharamsala,1,0,0,0,0,0
1151278,8 Aug 2023,v West Indies,Providence,1,0,0,0,0,0
1151278,12 Aug 2023,v West Indies,Lauderhill,1,0,0,0,0,0
1151278,13 Aug 2023,v West Indies,Lauderhill,2,1,1,0,0,1
1151278,18 Aug 2023,v Ireland,Dublin (Malahide),1,0,0,0,0,0
1151278,20 Aug 2023,v Ireland,Dublin (Malahide),2,0,0,0,0,0
1151278,3 Oct 2023,v Nepal,Hangzhou,2,2,2,0,0,2
1151278,6 Oct 2023,v Bangladesh,Hangzhou,1,2,2,0,0,2
1151278,7 Oct 2023,v Afghanistan,Hangzhou,1,0,0,0,0,0
1151278,16 Oct 2023,v Haryana,Jaipur,1,2,2,0,0,2
1151278,17 Oct 2023,v Meghalaya,Jaipur,1,0,0,0,0,0
1151278,19 Oct 2023,v Baroda,Jaipur,2,0,0,0,0,0
1151278,21 Oct 2023,v J & K,Jaipur,2,0,0,0,0,0
1151278,23 Oct 2023,v Chhattisgarh,Jaipur,1,0,0,0,0,0
1151278,25 Oct 2023,v Hyderabad,Jaipur,1,0,0,0,0,0
1151278,27 Oct 2023,v Mizoram,Jaipur,1,0,0,0,0,0
1151278,2 Nov 2023,v Baroda,New Chandigarh,2,0,0,0,0,0
1151278,23 Nov 2023,v Australia,Visakhapatnam,1,1,1,0,0,1
1151278,26 Nov 2023,v Australia,Thiruvananthapuram,2,2,2,0,0,2
1151278,28 Nov 2023,v Australia,Guwahati,2,0,0,0,0,0
1151278,1 Dec 2023,v Australia,Raipur,2,2,2,0,0,2
1151278,3 Dec 2023,v Australia,Bengaluru,2,0,0,0,0,0
1151278,12 Dec 2023,v South Africa,Gqeberha,2,1,1,0,0,1
1151278,14 Dec 2023,v South Africa,Johannesburg,2,1,1,0,0,1
1151278,14 Jan 2024,v Afghanistan,Indore,1,0,0,0,0,0
1151278,17 Jan 2024,v Afghanistan,Bengaluru,2,0,0,0,0,0
1151278,24 Mar 2024,v LSG,Jaipur,2,0,0,0,0,0
1151278,28 Mar 2024,v DC,Jaipur,2,0,0,0,0,0
1151278,1 Apr 2024,v MI,Wankhede,1,0,0,0,0,0
1151278,6 Apr 2024,v RCB,Jaipur,1,1,1,0,0,1
1151278,10 Apr 2024,v GT,Jaipur,2,0,0,0,0,0
1151278,13 Apr 2024,v Punjab Kings,New Chandigarh,1,0,0,0,0,0
1151278,16 Apr 2024,v KKR,Eden Gardens,1,0,0,0,0,0
1151278,22 Apr 2024,v MI,Jaipur,1,0,0,0,0,0
1151278,27 Apr 2024,v LSG,Lucknow,1,0,0,0,0,0
1151278,2 May 2024,v SRH,Hyderabad,1,1,1,0,0,1
1151278,7 May 2024,v DC,Delhi,1,0,0,0,0,0
1151278,12 May 2024,v CSK,Chennai,2,0,0,0,0,0
1151278,15 May 2024,v Punjab Kings,Guwahati,2,1,1,0,0,1
1151278,19 May 2024,v KKR,Guwahati,-,TDNF,-,-,-,-
1151278,22 May 2024,v RCB,Ahmedabad,1,1,1,0,0,1
1151278,24 May 2024,v SRH,Chennai,1,0,0,0,0,0
1151278,10 Jul 2024,v Zimbabwe,Harare,2,0,0,0,0,0
1151278,13 Jul 2024,v Zimbabwe,Harare,1,1,1,0,0,1
1151278,14 Jul 2024,v Zimbabwe,Harare,2,0,0,0,0,0
1151278,27 Jul 2024,v Sri Lanka,Pallekele,2,2,2,0,0,2
1151278,28 Jul 2024,v Sri Lanka,Pallekele,1,0,0,0,0,0
1151278,30 Jul 2024,v Sri Lanka,Pallekele,2,0,0,0,0,0
1151278,23 Mar 2025,v SRH,Hyderabad,1,2,2,0,0,2
1151278,26 Mar 2025,v KKR,Guwahati,2,0,0,0,0,0
1151278,30 Mar 2025,v CSK,Guwahati,2,1,1,0,0,1
1151278,5 Apr 2025,v Punjab Kings,New Chandigarh,2,1,1,0,0,1
1151278,9 Apr 2025,v GT,Ahmedabad,1,1,1,0,0,1
1151278,13 Apr 2025,v RCB,Jaipur,2,1,1,0,0,1
1151278,16 Apr 2025,v DC,Delhi,1,1,1,0,0,1
1151278,19 Apr 2025,v LSG,Jaipur,1,0,0,0,0,0
1151278,24 Apr 2025,v RCB,Bengaluru,1,0,0,0,0,0
1151278,28 Apr 2025,v GT,Jaipur,1,0,0,0,0,0
1151278,1 May 2025,v MI,Jaipur,1,1,1,0,0,1
1151278,4 May 2025,v KKR,Eden Gardens,1,0,0,0,0,0
1151278,18 May 2025,v Punjab Kings,Jaipur,1,1,1,0,0,1
1151278,20 May 2025,v CSK,Delhi,1,1,1,0,0,1
1151278,12 Dec 2025,v Hyderabad,Pune,2,0,0,0,0,0
1151278,14 Dec 2025,v Haryana,Ambi,1,1,1,0,0,1
1151278,16 Dec 2025,v Rajasthan,Pune,1,0,0,0,0,0
