player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
778963,Abhinav Manohar,16 Nov 2021,v Saurashtra,Delhi,2,5,70*,-,49,2,6,142.85,not out,1,DNB,-,-,-,-
778963,Abhinav Manohar,18 Nov 2021,v Bengal,Delhi,1,5,19,-,9,3,1,211.11,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,20 Nov 2021,v Vidarbha,Delhi,1,3,27,-,13,2,2,207.69,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,22 Nov 2021,v Tamil Nadu,Delhi,1,5,46,-,37,4,2,124.32,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,28 Mar 2022,v LSG,Wankhede,2,7,15*,14,7,3,0,214.28,not out,1,DNB,-,-,-,-
778963,Abhinav Manohar,2 Apr 2022,v DC,Pune,1,7,1,4,2,0,0,50,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,8 Apr 2022,v Punjab Kings,Brabourne,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,11 Apr 2022,v SRH,DY Patil,1,6,35,29,21,5,1,166.66,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,14 Apr 2022,v RR,DY Patil,1,5,43,44,28,4,2,153.57,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,17 Apr 2022,v CSK,Pune,2,4,12,10,12,2,0,100,caught,1,DNB,-,-,-,-
778963,Abhinav Manohar,23 Apr 2022,v KKR,DY Patil,1,7,2,10,4,0,0,50,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,27 Apr 2022,v SRH,Wankhede,2,6,0,4,1,0,0,0,bowled,1,DNB,-,-,-,-
778963,Abhinav Manohar,11 Oct 2022,v Maharashtra,Mohali,1,4,7*,-,4,1,0,175,not out,2,DNB,-,-,-,-
778963,Abhinav Manohar,12 Oct 2022,v Kerala,Mohali,2,6,46*,-,27,1,4,170.37,not out,1,DNB,-,-,-,-
778963,Abhinav Manohar,14 Oct 2022,v Meghalaya,New Chandigarh,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,16 Oct 2022,v J & K,New Chandigarh,1,5,2,-,6,0,0,33.33,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,18 Oct 2022,v Arunachal,Mohali,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,20 Oct 2022,v Services,New Chandigarh,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,22 Oct 2022,v Haryana,Mohali,2,6,15,-,8,3,0,187.5,caught,1,DNB,-,-,-,-
778963,Abhinav Manohar,1 Nov 2022,v Punjab,Eden Gardens,2,6,62*,45,29,5,5,213.79,not out,1,DNB,-,-,-,-
778963,Abhinav Manohar,9 Apr 2023,v KKR,Ahmedabad,1,4,14,13,8,3,0,175,bowled,2,DNB,-,-,-,-
778963,Abhinav Manohar,16 Apr 2023,v RR,Ahmedabad,1,6,27,17,13,0,3,207.69,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,22 Apr 2023,v LSG,Lucknow,1,4,3,7,5,0,0,60,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,25 Apr 2023,v MI,Ahmedabad,1,6,42,30,21,3,3,200,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,29 Apr 2023,v KKR,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,2 May 2023,v DC,Ahmedabad,2,6,26,44,33,0,1,78.78,caught,1,DNB,-,-,-,-
778963,Abhinav Manohar,5 May 2023,v RR,Jaipur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
778963,Abhinav Manohar,7 May 2023,v LSG,Ahmedabad,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
778963,Abhinav Manohar,12 May 2023,v MI,Wankhede,2,6,2,5,3,0,0,66.66,bowled,1,DNB,-,-,-,-
778963,Abhinav Manohar,19 Oct 2023,v M. Pradesh,Dehradun,2,5,1*,-,1,0,0,100,not out,1,sub,-,-,-,-
778963,Abhinav Manohar,21 Oct 2023,v Delhi,Dehradun,1,6,44*,-,35,2,2,125.71,not out,2,DNB,-,-,-,-
778963,Abhinav Manohar,23 Oct 2023,v Nagaland,Dehradun,2,-,DNB,-,-,-,-,-,-,1,sub,-,-,-,-
778963,Abhinav Manohar,25 Oct 2023,v UP,Dehradun,2,7,13,-,12,1,0,108.33,bowled,1,sub,-,-,-,-
778963,Abhinav Manohar,27 Oct 2023,v Tripura,Dehradun,1,5,40,-,13,1,5,307.69,caught,2,DNB,-,-,-,-
778963,Abhinav Manohar,10 Apr 2024,v RR,Jaipur,2,4,1,2,2,0,0,50,bowled,1,DNB,-,-,-,-
778963,Abhinav Manohar,17 Apr 2024,v DC,Ahmedabad,1,5,8,24,14,1,0,57.14,stumped,2,DNB,-,-,-,-
