player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
600498,Aiden Markram,2 Nov 2014,v Free State,Bloemfontein,1,2,62*,62,38,8,1,163.15,not out,2,DNB,-,-,-,-
600498,Aiden Markram,11 Jan 2015,v Easterns,Benoni,1,2,38,40,24,3,2,158.33,caught,2,DNB,-,-,-,-
600498,Aiden Markram,15 Feb 2015,v Namibia,Pretoria,1,2,2,7,7,0,0,28.57,caught,2,DNB,-,-,-,-
600498,Aiden Markram,22 Feb 2015,v E. Province,Centurion,2,1,63,47,44,4,4,143.18,caught,1,DNB,-,-,-,-
600498,Aiden Markram,5 Sep 2015,v Zim Pres XI,Benoni,2,1,10,12,11,2,0,90.9,bowled,1,DNB,-,-,-,-
600498,Aiden Markram,6 Sep 2015,v Easterns,Benoni,2,1,6,14,8,1,0,75,lbw,1,DNB,-,-,-,-
600498,Aiden Markram,3 Oct 2015,v KZ-Natal,Bloemfontein,1,1,50,52,42,3,1,119.04,caught,2,4.0,0,29,1,7.25
600498,Aiden Markram,4 Oct 2015,v KZN-Inland,Bloemfontein,2,1,2,5,6,0,0,33.33,lbw,1,1.0,0,9,0,9
600498,Aiden Markram,1 Nov 2015,v Easterns,Centurion,2,1,44,60,39,4,0,112.82,caught,1,2.0,0,9,0,4.5
600498,Aiden Markram,8 Nov 2015,v Gauteng,Johannesburg,2,1,4,2,3,1,0,133.33,bowled,1,4.0,0,23,1,5.75
600498,Aiden Markram,15 Nov 2015,v KZN-Inland,Pretoria,1,1,7,23,18,0,0,38.88,caught,2,3.3,0,17,0,4.85
600498,Aiden Markram,29 Nov 2015,v Boland,Paarl,1,1,82,50,46,8,4,178.26,caught,2,1.0,0,14,0,14
600498,Aiden Markram,16 Sep 2016,v Kenya,Oudtshoorn,1,1,44,-,44,4,1,100,bowled,2,1.0,0,7,0,7
600498,Aiden Markram,17 Sep 2016,v Northern Cpe,Oudtshoorn,1,1,1,7,5,0,0,20,caught,2,2.0,0,13,0,6.5
600498,Aiden Markram,18 Sep 2016,v S West D,Oudtshoorn,1,1,24,31,25,3,0,96,caught,2,DNB,-,-,-,-
600498,Aiden Markram,25 Nov 2016,v Cape Cobras,Centurion,2,1,6*,4,3,1,0,200,not out,1,DNB,-,-,-,-
