player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1176959,Akash Deep,9 Mar 2019,v Maharashtra,Indore,1,8,13,18,11,0,1,118.18,caught,2,4.0,0,21,2,5.25
1176959,Akash Deep,10 Mar 2019,v Jharkhand,Indore,2,-,DNB,-,-,-,-,-,-,1,4.0,0,24,2,6
1176959,Akash Deep,12 Mar 2019,v Gujarat,Indore,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,2,7.25
1176959,Akash Deep,9 Nov 2019,v Mizoram,Mumbai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,9,2,2.25
1176959,Akash Deep,11 Nov 2019,v Meghalaya,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,20,0,6.66
1176959,Akash Deep,12 Nov 2019,v Haryana,Mumbai,1,9,1*,-,3,0,0,33.33,not out,2,2.0,0,21,2,10.5
1176959,Akash Deep,14 Nov 2019,v Mumbai,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,0,8
1176959,Akash Deep,15 Nov 2019,v M. Pradesh,Mumbai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,13,3,3.25
1176959,Akash Deep,17 Nov 2019,v Puducherry,Mumbai,1,-,DNB,-,-,-,-,-,-,2,2.0,0,13,0,6.5
1176959,Akash Deep,18 Nov 2019,v Assam,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,37,1,9.25
1176959,Akash Deep,10 Jan 2021,v Odisha,Jadavpur Uni,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,2,5
1176959,Akash Deep,12 Jan 2021,v Jharkhand,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,3.0,0,15,1,5
1176959,Akash Deep,14 Jan 2021,v Hyderabad,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,4.0,0,35,4,8.75
1176959,Akash Deep,16 Jan 2021,v Assam,Eden Gardens,2,8,0,-,1,0,0,0,caught,1,4.0,0,37,0,9.25
1176959,Akash Deep,18 Jan 2021,v Tamil Nadu,Eden Gardens,1,9,5,-,3,1,0,166.66,run out,2,3.0,0,28,0,9.33
