player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
46248,Albie Morkel,8 Apr 2004,v Lions,Centurion,2,5,7,11,6,1,0,116.66,run out,1,4.0,0,32,1,8
46248,Albie Morkel,13 Apr 2004,v Eagles,Bloemfontein,1,7,8*,6,5,1,0,160,not out,2,2.5,0,10,1,3.52
46248,Albie Morkel,23 Apr 2004,v Dolphins,Durban,1,8,6*,12,7,0,0,85.71,not out,2,4.0,0,39,1,9.75
46248,Albie Morkel,25 Apr 2004,v Eastern Cape,Centurion,2,-,DNB,-,-,-,-,-,-,1,2.0,0,16,0,8
46248,Albie Morkel,1 Apr 2005,v Warriors,Gqeberha,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
46248,Albie Morkel,1 Apr 2005,v Warriors,Gqeberha,-,-,TDNB,-,-,-,-,-,-,1,4.0,0,29,2,7.25
46248,Albie Morkel,5 Apr 2005,v Eagles,Centurion,2,1,36,36,27,7,0,133.33,caught,1,4.0,0,41,1,10.25
46248,Albie Morkel,10 Apr 2005,v Dolphins,Benoni,2,1,28,17,13,3,2,215.38,caught,1,1.0,0,20,0,20
46248,Albie Morkel,15 Apr 2005,v Lions,Johannesburg,2,1,8,2,4,2,0,200,caught,1,DNB,-,-,-,-
46248,Albie Morkel,17 Apr 2005,v WP Boland,Cape Town,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,0,7.5
46248,Albie Morkel,16 Sep 2005,v Chilaw MCC,Leicester,2,1,0,-,2,0,0,0,caught,2,2.0,0,13,0,6.5
46248,Albie Morkel,21 Oct 2005,v New Zealand,Johannesburg,1,8,11,16,12,0,1,91.66,caught,2,4.0,0,28,1,7
46248,Albie Morkel,18 Jan 2006,v Dolphins,Durban,1,5,1,5,4,0,0,25,caught,1,4.0,0,14,1,3.5
46248,Albie Morkel,22 Jan 2006,v Warriors,Benoni,2,7,46*,37,30,8,1,153.33,not out,2,4.0,0,37,0,9.25
