player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
249866,Alex Hales,25 May 2009,v Durham,Nottingham,1,2,0,4,2,0,0,0,lbw,2,DNB,-,-,-,-
249866,Alex Hales,28 May 2009,v Lancashire,Manchester,2,2,5,10,6,1,0,83.33,caught,1,DNB,-,-,-,-
249866,Alex Hales,29 May 2009,v Derbyshire,Derby,2,2,15,19,12,3,0,125,caught,1,DNB,-,-,-,-
249866,Alex Hales,31 May 2009,v Durham,Chester-le-Street,2,2,12,9,9,1,1,133.33,caught,1,DNB,-,-,-,-
249866,Alex Hales,3 Jun 2009,v Leics,Leicester,2,3,5,5,6,0,0,83.33,caught,1,DNB,-,-,-,-
249866,Alex Hales,4 Jun 2009,v Yorkshire,Leeds,1,6,12,13,8,2,0,150,caught,2,DNB,-,-,-,-
249866,Alex Hales,10 Jun 2010,v Worcs,Worcester,2,1,66*,57,49,9,2,134.69,not out,1,DNB,-,-,-,-
249866,Alex Hales,11 Jun 2010,v Derbyshire,Nottingham,2,1,69,28,25,11,3,276,bowled,1,DNB,-,-,-,-
249866,Alex Hales,13 Jun 2010,v Worcs,Nottingham,2,1,15,9,10,3,0,150,caught,1,DNB,-,-,-,-
249866,Alex Hales,15 Jun 2010,v Lancashire,Nottingham,1,1,35,26,23,5,1,152.17,run out,2,DNB,-,-,-,-
249866,Alex Hales,16 Jun 2010,v Warwickshire,Birmingham,1,1,1,4,4,0,0,25,caught,2,DNB,-,-,-,-
249866,Alex Hales,17 Jun 2010,v Derbyshire,Derby,2,1,27,27,21,4,1,128.57,bowled,1,DNB,-,-,-,-
249866,Alex Hales,20 Jun 2010,v Durham,Chester-le-Street,1,1,15,14,13,3,0,115.38,caught,2,DNB,-,-,-,-
249866,Alex Hales,22 Jun 2010,v Northants,Nottingham,2,1,0,1,3,0,0,0,bowled,1,DNB,-,-,-,-
249866,Alex Hales,24 Jun 2010,v Yorkshire,Leeds,1,1,62,57,43,4,3,144.18,caught,2,0.2,0,5,0,15
249866,Alex Hales,25 Jun 2010,v Durham,Nottingham,2,1,1,1,2,0,0,50,run out,1,DNB,-,-,-,-
249866,Alex Hales,27 Jun 2010,v Warwickshire,Nottingham,1,1,0,2,2,0,0,0,caught,2,DNB,-,-,-,-
249866,Alex Hales,4 Jul 2010,v Leics,Leicester,2,1,29,18,20,3,1,145,caught,1,DNB,-,-,-,-
249866,Alex Hales,11 Jul 2010,v Northants,Northampton,1,1,3,11,8,0,0,37.5,caught,2,DNB,-,-,-,-
249866,Alex Hales,14 Jul 2010,v Lancashire,Manchester,1,1,83,72,61,8,1,136.06,bowled,2,DNB,-,-,-,-
249866,Alex Hales,15 Jul 2010,v Leics,Nottingham,2,1,13,20,12,2,0,108.33,run out,1,DNB,-,-,-,-
249866,Alex Hales,17 Jul 2010,v Yorkshire,Nottingham,2,1,27*,57,32,2,0,84.37,not out,1,DNB,-,-,-,-
249866,Alex Hales,26 Jul 2010,v Sussex,Nottingham,1,1,9,7,7,2,0,128.57,bowled,2,DNB,-,-,-,-
249866,Alex Hales,14 Aug 2010,v Somerset,Southampton,2,3,11,6,8,2,0,137.5,bowled,1,DNB,-,-,-,-
249866,Alex Hales,3 Jun 2011,v Derbyshire,Nottingham,1,1,18,13,14,3,0,128.57,caught,2,DNB,-,-,-,-
249866,Alex Hales,5 Jun 2011,v Yorkshire,Nottingham,1,1,10,13,11,1,0,90.9,caught,2,DNB,-,-,-,-
