player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
276298,Andre Russell,10 Apr 2010,v Ireland,Florence Hall,2,7,8,-,9,0,0,88.88,caught,1,1.0,0,16,0,16
276298,Andre Russell,11 Apr 2010,v Canada,Florence Hall,1,6,14*,-,8,0,0,175,not out,2,2.0,0,17,0,8.5
276298,Andre Russell,22 Jul 2010,v Leeward Is,Bridgetown,2,-,DNB,-,-,-,-,-,-,1,3.0,0,24,1,8
276298,Andre Russell,24 Jul 2010,v Canada,Bridgetown,2,-,DNB,-,-,-,-,-,-,1,2.0,0,8,0,4
276298,Andre Russell,28 Jul 2010,v Trinidad & T,Port of Spain,2,9,13,-,10,1,1,130,stumped,1,3.0,0,34,0,11.33
276298,Andre Russell,30 Jul 2010,v Barbados,Port of Spain,1,6,16,-,8,1,1,200,bowled,2,3.0,0,43,0,14.33
276298,Andre Russell,31 Jul 2010,v Trinidad & T,Port of Spain,1,6,4,-,8,0,0,50,bowled,2,2.0,0,17,0,8.5
276298,Andre Russell,10 Jan 2011,v Guyana,North Sound,1,5,0,-,1,0,0,0,stumped,2,3.0,0,8,3,2.66
276298,Andre Russell,12 Jan 2011,v Comb C&C,North Sound,1,5,8,-,6,0,1,133.33,bowled,2,4.0,0,30,0,7.5
276298,Andre Russell,18 Jan 2011,v Somerset,Bridgetown,1,-,DNB,-,-,-,-,-,-,2,1.0,0,2,1,2
276298,Andre Russell,20 Jan 2011,v Windward Is,Bridgetown,2,7,8*,-,3,0,1,266.66,not out,1,4.0,0,44,0,11
276298,Andre Russell,22 Jan 2011,v Trinidad & T,Bridgetown,1,6,36,-,17,2,3,211.76,caught,2,3.0,0,22,0,7.33
276298,Andre Russell,23 Jan 2011,v Windward Is,Bridgetown,1,5,1,-,2,0,0,50,caught,2,4.0,0,49,1,12.25
276298,Andre Russell,21 Apr 2011,v Pakistan,Gros Islet,1,8,0,1,3,0,0,0,caught,2,4.0,0,28,0,7
276298,Andre Russell,4 Jun 2011,v India,Port of Spain,2,-,DNB,-,-,-,-,-,-,1,2.0,0,26,0,13
276298,Andre Russell,23 Sep 2011,v England,The Oval,1,7,6,7,6,1,0,100,run out,2,2.0,0,21,0,10.5
276298,Andre Russell,25 Sep 2011,v England,The Oval,1,7,12*,9,8,1,0,150,not out,2,2.0,0,14,1,7
276298,Andre Russell,9 Oct 2011,v BCB XI,Fatullah,1,4,58,36,35,3,3,165.71,caught,2,4.0,0,22,0,5.5
276298,Andre Russell,11 Oct 2011,v Bangladesh,Mirpur,1,4,5,17,12,0,0,41.66,caught,2,2.0,0,17,0,8.5
276298,Andre Russell,10 Jan 2012,v Comb C&C,North Sound,2,5,7,-,4,0,1,175,caught,1,4.0,0,13,1,3.25
276298,Andre Russell,12 Jan 2012,v Sussex,North Sound,1,6,24,-,11,2,2,218.18,caught,2,4.0,0,18,0,4.5
276298,Andre Russell,14 Jan 2012,v Barbados,North Sound,2,6,10,-,17,0,1,58.82,stumped,1,4.0,0,28,0,7
276298,Andre Russell,20 Jan 2012,v Netherlands,Bridgetown,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,0,5.75
276298,Andre Russell,21 Jan 2012,v Windward Is,Bridgetown,2,7,13*,-,10,2,0,130,not out,1,4.0,0,25,0,6.25
276298,Andre Russell,22 Jan 2012,v Trinidad & T,Bridgetown,2,6,3,-,7,0,0,42.85,caught,1,3.0,0,26,1,8.66
276298,Andre Russell,11 Feb 2012,v Dhaka,Mirpur,1,6,37*,19,15,2,3,246.66,not out,2,4.0,0,35,4,8.75
276298,Andre Russell,12 Feb 2012,v Chittagong,Mirpur,1,4,24,23,16,3,1,150,caught,2,4.0,0,38,1,9.5
276298,Andre Russell,13 Feb 2012,v Barisal,Mirpur,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,1,8.66
276298,Andre Russell,15 Feb 2012,v Rajshahi,Mirpur,1,7,4,-,4,1,0,100,bowled,2,3.0,0,25,0,8.33
