player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
591650,Ankit Rajpoot,19 Mar 2013,v M. Pradesh,Nagpur,1,-,DNB,-,-,-,-,-,-,2,3.0,0,24,2,8
591650,Ankit Rajpoot,30 Mar 2013,v Punjab,Indore,2,11,0*,2,0,0,0,-,not out,1,4.0,0,22,2,5.5
591650,Ankit Rajpoot,6 Apr 2013,v MI,Chennai,2,10,2*,15,6,0,0,33.33,not out,1,3.0,0,25,1,8.33
591650,Ankit Rajpoot,10 Apr 2013,v Kings XI,Mohali,2,-,DNB,-,-,-,-,-,-,1,1.0,0,10,0,10
591650,Ankit Rajpoot,1 Apr 2014,v Rajasthan,Nagpur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,0,5.25
591650,Ankit Rajpoot,2 Apr 2014,v M. Pradesh,Nagpur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,2,9.5
591650,Ankit Rajpoot,9 Apr 2014,v Jharkhand,Rajkot,2,-,DNB,-,-,-,-,-,-,1,2.0,0,15,0,7.5
591650,Ankit Rajpoot,10 Apr 2014,v Goa,Rajkot,1,-,DNB,-,-,-,-,-,-,2,3.0,0,27,1,9
591650,Ankit Rajpoot,11 Apr 2014,v Gujarat,Rajkot,2,11,0*,5,1,0,0,0,not out,1,3.0,0,32,0,10.66
591650,Ankit Rajpoot,29 Mar 2015,v Railways,Indore,1,-,DNB,-,-,-,-,-,-,2,2.1,0,22,0,10.15
591650,Ankit Rajpoot,2 Jan 2016,v Maharashtra,Cuttack,2,-,DNB,-,-,-,-,-,-,1,3.0,0,15,3,5
591650,Ankit Rajpoot,3 Jan 2016,v Odisha,Cuttack,1,-,DNB,-,-,-,-,-,-,2,4.0,0,9,1,2.25
591650,Ankit Rajpoot,4 Jan 2016,v Karnataka,Cuttack,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,1,5
591650,Ankit Rajpoot,7 Jan 2016,v Mumbai,Cuttack,2,-,DNB,-,-,-,-,-,-,1,4.0,0,27,2,6.75
591650,Ankit Rajpoot,8 Jan 2016,v Services,Cuttack,1,-,DNB,-,-,-,-,-,-,2,3.0,1,11,2,3.66
591650,Ankit Rajpoot,15 Jan 2016,v Jharkhand,Mumbai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,1,5.25
591650,Ankit Rajpoot,16 Jan 2016,v Gujarat,Mumbai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,1,8.25
591650,Ankit Rajpoot,18 Jan 2016,v Delhi,Mumbai,2,-,DNB,-,-,-,-,-,-,1,3.0,0,33,0,11
591650,Ankit Rajpoot,20 Jan 2016,v Baroda,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,30,3,7.5
591650,Ankit Rajpoot,14 May 2016,v Supergiants,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,2.0,0,14,1,7
591650,Ankit Rajpoot,16 May 2016,v RCB,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,0,9.33
591650,Ankit Rajpoot,19 May 2016,v Guj Lions,Kanpur,1,-,DNB,-,-,-,-,-,-,2,3.0,0,35,1,11.66
591650,Ankit Rajpoot,22 May 2016,v SRH,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,1,7
591650,Ankit Rajpoot,29 Jan 2017,v Chhattisgarh,Jaipur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,1,7
591650,Ankit Rajpoot,31 Jan 2017,v Rajasthan,Jaipur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,5,5
591650,Ankit Rajpoot,2 Feb 2017,v Railways,Jaipur,2,11,0,1,1,0,0,0,bowled,1,4.0,0,39,2,9.75
