player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1123073,Anuj Rawat,21 Feb 2019,v Jharkhand,Mulapadu,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1123073,Anuj Rawat,22 Feb 2019,v Manipur,Mulapadu,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1123073,Anuj Rawat,24 Feb 2019,v J & K,Mulapadu,2,4,45,66,36,2,3,125,caught,1,DNB,-,-,-,-
1123073,Anuj Rawat,25 Feb 2019,v Kerala,Mulapadu,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1123073,Anuj Rawat,27 Feb 2019,v Andhra,Mulapadu,1,7,2,18,7,0,0,28.57,caught,2,DNB,-,-,-,-
1123073,Anuj Rawat,2 Mar 2019,v Nagaland,Mulapadu,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1123073,Anuj Rawat,11 Nov 2019,v Nagaland,Surat,2,1,12,-,15,0,1,80,caught,1,DNB,-,-,-,-
1123073,Anuj Rawat,12 Nov 2019,v Saurashtra,Surat,2,1,88*,-,58,3,7,151.72,not out,1,DNB,-,-,-,-
1123073,Anuj Rawat,14 Nov 2019,v J & K,Surat,1,3,34,-,38,3,0,89.47,caught,2,DNB,-,-,-,-
1123073,Anuj Rawat,15 Nov 2019,v Jharkhand,Surat,1,3,5,-,5,1,0,100,lbw,2,DNB,-,-,-,-
1123073,Anuj Rawat,17 Nov 2019,v Sikkim,Surat,2,3,14*,-,12,1,1,116.66,not out,1,DNB,-,-,-,-
1123073,Anuj Rawat,18 Nov 2019,v Odisha,Surat,1,4,18,-,15,0,1,120,stumped,2,DNB,-,-,-,-
1123073,Anuj Rawat,21 Nov 2019,v Maharashtra,Surat,1,3,10,-,9,1,1,111.11,caught,2,DNB,-,-,-,-
1123073,Anuj Rawat,22 Nov 2019,v Baroda,Surat,2,3,2,-,5,0,0,40,caught,1,DNB,-,-,-,-
1123073,Anuj Rawat,27 Nov 2019,v Rajasthan,Surat,2,3,5,-,8,0,0,62.5,stumped,1,DNB,-,-,-,-
1123073,Anuj Rawat,11 Jan 2021,v Mumbai,Wankhede,1,5,5*,-,7,0,0,71.42,not out,2,DNB,-,-,-,-
1123073,Anuj Rawat,13 Jan 2021,v Andhra,Wankhede,2,4,33,-,31,7,0,106.45,caught,1,DNB,-,-,-,-
1123073,Anuj Rawat,15 Jan 2021,v Kerala,Wankhede,1,6,27*,-,10,1,3,270,not out,2,DNB,-,-,-,-
1123073,Anuj Rawat,17 Jan 2021,v Haryana,Wankhede,1,4,34*,-,26,2,2,130.76,not out,2,DNB,-,-,-,-
1123073,Anuj Rawat,19 Jan 2021,v Puducherry,Mumbai,1,1,0,-,1,0,0,0,caught,2,DNB,-,-,-,-
1123073,Anuj Rawat,2 May 2021,v SRH,Delhi,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1123073,Anuj Rawat,7 Oct 2021,v KKR,Sharjah,2,5,0,4,1,0,0,0,lbw,1,DNB,-,-,-,-
1123073,Anuj Rawat,4 Nov 2021,v Uttarakhand,Rohtak,1,2,1,16,2,0,0,50,caught,2,DNB,-,-,-,-
1123073,Anuj Rawat,5 Nov 2021,v Chandigarh,Rohtak,2,2,44,62,35,3,3,125.71,caught,1,DNB,-,-,-,-
1123073,Anuj Rawat,6 Nov 2021,v UP,Rohtak,2,2,50,54,32,1,6,156.25,bowled,1,DNB,-,-,-,-
1123073,Anuj Rawat,8 Nov 2021,v Hyderabad,Sultanpur,1,2,41,50,33,6,0,124.24,caught,2,DNB,-,-,-,-
