player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1151270,Ayush Badoni,11 Jan 2021,v Mumbai,Wankhede,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1151270,Ayush Badoni,13 Jan 2021,v Andhra,Wankhede,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1151270,Ayush Badoni,15 Jan 2021,v Kerala,Wankhede,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1151270,Ayush Badoni,17 Jan 2021,v Haryana,Wankhede,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1151270,Ayush Badoni,19 Jan 2021,v Puducherry,Mumbai,1,2,8,-,11,1,0,72.72,lbw,2,DNB,-,-,-,-
1151270,Ayush Badoni,28 Mar 2022,v GT,Wankhede,1,6,54,78,41,4,3,131.7,caught,2,DNB,-,-,-,-
1151270,Ayush Badoni,31 Mar 2022,v CSK,Brabourne,2,6,19*,18,9,0,2,211.11,not out,1,DNB,-,-,-,-
1151270,Ayush Badoni,4 Apr 2022,v SRH,DY Patil,1,6,19,30,12,3,0,158.33,run out,2,DNB,-,-,-,-
1151270,Ayush Badoni,7 Apr 2022,v DC,DY Patil,2,6,10*,4,3,1,1,333.33,not out,1,DNB,-,-,-,-
1151270,Ayush Badoni,10 Apr 2022,v RR,Wankhede,2,6,5,16,7,0,0,71.42,caught,1,DNB,-,-,-,-
1151270,Ayush Badoni,16 Apr 2022,v MI,Brabourne,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1151270,Ayush Badoni,19 Apr 2022,v RCB,DY Patil,2,6,13,23,13,2,0,100,caught,1,DNB,-,-,-,-
1151270,Ayush Badoni,24 Apr 2022,v MI,Wankhede,1,7,14,23,11,0,1,127.27,caught,2,1.0,0,6,1,6
1151270,Ayush Badoni,29 Apr 2022,v Punjab Kings,Pune,1,6,4,4,4,0,0,100,caught,2,DNB,-,-,-,-
1151270,Ayush Badoni,1 May 2022,v DC,Wankhede,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1151270,Ayush Badoni,7 May 2022,v KKR,Pune,1,5,15*,40,18,0,0,83.33,not out,2,DNB,-,-,-,-
1151270,Ayush Badoni,10 May 2022,v GT,Pune,2,6,8,15,11,1,0,72.72,stumped,1,DNB,-,-,-,-
1151270,Ayush Badoni,15 May 2022,v RR,Brabourne,2,3,0,3,1,0,0,0,lbw,1,1.0,0,5,1,5
1151270,Ayush Badoni,11 Oct 2022,v Manipur,Jaipur,1,6,20,-,15,2,0,133.33,caught,2,DNB,-,-,-,-
1151270,Ayush Badoni,12 Oct 2022,v Punjab,Jaipur,1,-,DNB,-,-,-,-,-,-,2,1.0,0,17,0,17
1151270,Ayush Badoni,14 Oct 2022,v UP,Jaipur,1,5,5,-,13,0,0,38.46,caught,2,DNB,-,-,-,-
1151270,Ayush Badoni,16 Oct 2022,v Puducherry,Jaipur,2,5,32*,-,15,3,1,213.33,not out,1,DNB,-,-,-,-
1151270,Ayush Badoni,18 Oct 2022,v Hyderabad,Jaipur,1,5,23,-,10,2,1,230,run out,2,DNB,-,-,-,-
1151270,Ayush Badoni,20 Oct 2022,v Goa,Jaipur,2,6,20*,-,8,1,2,250,not out,1,DNB,-,-,-,-
1151270,Ayush Badoni,22 Oct 2022,v Tripura,Jaipur,2,6,14*,-,9,0,1,155.55,not out,1,DNB,-,-,-,-
1151270,Ayush Badoni,1 Nov 2022,v Vidarbha,Kolkata,2,5,11,-,15,0,0,73.33,caught,1,DNB,-,-,-,-
1151270,Ayush Badoni,1 Apr 2023,v DC,Lucknow,1,7,18,10,7,1,2,257.14,caught,2,sub,-,-,-,-
1151270,Ayush Badoni,3 Apr 2023,v CSK,Chennai,2,7,23,38,18,0,0,127.77,caught,1,DNB,-,-,-,-
1151270,Ayush Badoni,7 Apr 2023,v SRH,Lucknow,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1151270,Ayush Badoni,10 Apr 2023,v RCB,Bengaluru,2,7,30,45,24,4,0,125,hit wicket,1,DNB,-,-,-,-
1151270,Ayush Badoni,15 Apr 2023,v Punjab Kings,Lucknow,1,7,5*,17,6,0,0,83.33,not out,2,DNB,-,-,-,-
1151270,Ayush Badoni,19 Apr 2023,v RR,Jaipur,1,3,1,6,4,0,0,25,bowled,2,DNB,-,-,-,-
1151270,Ayush Badoni,22 Apr 2023,v GT,Lucknow,2,5,8,22,6,0,0,133.33,run out,1,DNB,-,-,-,-
1151270,Ayush Badoni,28 Apr 2023,v Punjab Kings,Mohali,1,3,43,49,24,3,3,179.16,caught,2,0.1,0,0,0,0
1151270,Ayush Badoni,1 May 2023,v RCB,Lucknow,2,2,4,23,11,0,0,36.36,caught,1,DNB,-,-,-,-
