player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
35928,Bipul Sharma,3 Apr 2007,v Haryana,Delhi,1,7,0,2,2,0,0,0,caught,2,2.0,0,11,0,5.5
35928,Bipul Sharma,4 Apr 2007,v Himachal,Delhi,2,7,10,11,8,0,0,125,caught,1,3.0,0,18,0,6
35928,Bipul Sharma,6 Apr 2007,v Delhi,Delhi,1,7,12,8,6,2,0,200,run out,2,2.0,0,21,0,10.5
35928,Bipul Sharma,15 Apr 2007,v Railways,Brabourne,2,7,19*,42,22,2,0,86.36,not out,1,DNB,-,-,-,-
35928,Bipul Sharma,16 Apr 2007,v Karnataka,Wankhede,2,5,5*,14,8,0,0,62.5,not out,1,DNB,-,-,-,-
35928,Bipul Sharma,18 Apr 2007,v Gujarat,Wankhede,2,6,11*,5,6,1,0,183.33,not out,1,DNB,-,-,-,-
35928,Bipul Sharma,19 Apr 2007,v Orissa,Brabourne,1,6,26*,13,11,2,1,236.36,not out,2,DNB,-,-,-,-
35928,Bipul Sharma,21 Apr 2007,v Tamil Nadu,Brabourne,1,7,19,23,16,2,0,118.75,caught,2,DNB,-,-,-,-
35928,Bipul Sharma,20 Oct 2009,v Haryana,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,0,5
35928,Bipul Sharma,21 Oct 2009,v Delhi,Delhi,1,5,0,3,2,0,0,0,lbw,2,4.0,0,29,0,7.25
35928,Bipul Sharma,22 Oct 2009,v J & K,Delhi,1,5,7,8,8,1,0,87.5,run out,2,4.0,0,21,1,5.25
35928,Bipul Sharma,24 Oct 2009,v Services,Delhi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,19,0,6.33
35928,Bipul Sharma,25 Oct 2009,v Himachal,Delhi,2,6,23,22,22,1,0,104.54,caught,1,3.0,0,10,1,3.33
35928,Bipul Sharma,16 Mar 2010,v RCB,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,3.0,0,37,1,12.33
35928,Bipul Sharma,19 Mar 2010,v Chargers,Cuttack,2,9,8*,-,6,1,0,133.33,not out,1,2.0,0,19,1,9.5
35928,Bipul Sharma,2 Apr 2010,v RCB,Mohali,1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,1,6.5
35928,Bipul Sharma,4 Apr 2010,v KKR,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
35928,Bipul Sharma,7 Apr 2010,v RR,Jaipur,1,8,1*,-,1,0,0,100,not out,2,1.0,0,12,0,12
