player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
439952,Chris Morris,20 Feb 2011,v Dolphins,Durban,1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,1,6.5
439952,Chris Morris,16 Oct 2011,v Free State,Bloemfontein,2,-,DNB,-,-,-,-,-,-,1,2.4,0,14,1,5.25
439952,Chris Morris,30 Oct 2011,v Gauteng,Johannesburg,1,4,3,4,3,0,0,100,caught,2,4.0,0,26,1,6.5
439952,Chris Morris,17 Feb 2012,v Impi,Potchefstroom,1,9,31*,16,13,3,2,238.46,not out,2,4.0,0,15,1,3.75
439952,Chris Morris,22 Feb 2012,v Warriors,Gqeberha,2,-,DNB,-,-,-,-,-,-,1,4.0,0,19,2,4.75
439952,Chris Morris,24 Feb 2012,v Cape Cobras,Johannesburg,2,9,2*,7,2,0,0,100,not out,1,4.0,0,43,2,10.75
439952,Chris Morris,26 Feb 2012,v Knights,Bloemfontein,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,0,7
439952,Chris Morris,2 Mar 2012,v Titans,Centurion,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,3,4.5
439952,Chris Morris,7 Mar 2012,v Knights,Potchefstroom,2,5,21*,10,7,1,2,300,not out,1,4.0,0,22,4,5.5
439952,Chris Morris,9 Mar 2012,v Cape Cobras,Cape Town,2,8,32*,18,15,5,0,213.33,not out,1,4.0,0,39,1,9.75
439952,Chris Morris,11 Mar 2012,v Titans,Johannesburg,1,7,8,7,5,0,1,160,bowled,2,4.0,0,24,4,6
439952,Chris Morris,14 Mar 2012,v Warriors,Johannesburg,1,6,0,5,2,0,0,0,caught,2,2.0,0,7,2,3.5
439952,Chris Morris,16 Mar 2012,v Dolphins,Johannesburg,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
439952,Chris Morris,21 Mar 2012,v Impi,Benoni,-,-,TDNB,-,-,-,-,-,-,1,2.0,0,19,1,9.5
439952,Chris Morris,1 Apr 2012,v Titans,Johannesburg,2,8,18,10,12,1,1,150,caught,1,4.0,0,39,1,9.75
439952,Chris Morris,22 Jun 2012,v Bdesh XI,Harare,1,8,0,3,1,0,0,0,run out,2,2.5,0,23,1,8.11
439952,Chris Morris,23 Jun 2012,v Zimbabwe XI,Harare,2,-,DNB,-,-,-,-,-,-,1,4.0,0,26,1,6.5
439952,Chris Morris,24 Jun 2012,v Zimbabwe XI,Harare,1,-,DNB,-,-,-,-,-,-,2,4.0,0,24,1,6
439952,Chris Morris,14 Oct 2012,v MI,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,44,1,11
439952,Chris Morris,16 Oct 2012,v CSK,Cape Town,2,6,12*,17,7,0,1,171.42,not out,1,4.0,1,24,1,6
439952,Chris Morris,18 Oct 2012,v Sixers,Cape Town,1,7,14*,14,9,2,0,155.55,not out,2,3.0,0,35,1,11.66
439952,Chris Morris,20 Oct 2012,v Yorkshire,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,25,1,6.25
439952,Chris Morris,25 Oct 2012,v Daredevils,Durban,1,7,3*,6,4,0,0,75,not out,2,4.0,0,7,2,1.75
439952,Chris Morris,28 Oct 2012,v Sixers,Johannesburg,1,9,5,10,5,0,0,100,run out,2,2.0,0,25,0,12.5
439952,Chris Morris,21 Dec 2012,v New Zealand,Durban,2,-,DNB,-,-,-,-,-,-,1,3.4,0,19,2,5.18
439952,Chris Morris,17 Feb 2013,v Cape Cobras,Potchefstroom,2,-,DNB,-,-,-,-,-,-,1,4.0,0,44,0,11
439952,Chris Morris,20 Feb 2013,v Titans,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,44,1,11
439952,Chris Morris,22 Feb 2013,v Dolphins,Durban,1,7,0,2,1,0,0,0,caught,2,4.0,1,14,2,3.5
439952,Chris Morris,24 Feb 2013,v Warriors,Potchefstroom,1,8,0,1,1,0,0,0,run out,2,4.0,0,30,2,7.5
439952,Chris Morris,3 Mar 2013,v Pakistan,Centurion,2,4,0,1,1,0,0,0,caught,1,4.0,0,35,2,8.75
439952,Chris Morris,8 Mar 2013,v Cape Cobras,Cape Town,2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,2,5.25
439952,Chris Morris,12 Mar 2013,v Knights,Kimberley,2,3,6,11,7,1,0,85.71,caught,1,4.0,0,21,2,5.25
439952,Chris Morris,19 Mar 2013,v Titans,Centurion,2,6,18,24,16,0,1,112.5,bowled,1,4.0,0,37,0,9.25
439952,Chris Morris,22 Mar 2013,v Warriors,East London,2,8,18*,27,15,2,0,120,not out,1,4.0,0,36,1,9
439952,Chris Morris,28 Mar 2013,v Dolphins,Johannesburg,1,6,0*,1,0,0,0,-,not out,2,4.0,0,25,2,6.25
439952,Chris Morris,7 Apr 2013,v Titans,Johannesburg,1,7,4*,2,2,1,0,200,not out,2,3.1,0,18,2,5.68
439952,Chris Morris,10 Apr 2013,v Kings XI,Mohali,2,-,DNB,-,-,-,-,-,-,1,4.0,0,27,2,6.75
439952,Chris Morris,13 Apr 2013,v RCB,Chennai,2,8,7*,7,4,0,0,175,not out,1,4.0,0,40,3,10
439952,Chris Morris,15 Apr 2013,v Warriors,Chennai,2,9,5*,11,5,0,0,100,not out,1,4.0,0,25,2,6.25
439952,Chris Morris,18 Apr 2013,v Daredevils,Delhi,1,-,DNB,-,-,-,-,-,-,2,2.0,0,13,1,6.5
439952,Chris Morris,20 Apr 2013,v KKR,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,3.0,0,12,1,4
439952,Chris Morris,22 Apr 2013,v RR,Chennai,2,7,1*,6,1,0,0,100,not out,1,3.0,0,32,0,10.66
439952,Chris Morris,25 Apr 2013,v SRH,Chennai,2,7,0*,6,1,0,0,0,not out,1,3.0,0,24,0,8
439952,Chris Morris,28 Apr 2013,v KKR,Chennai,1,-,DNB,-,-,-,-,-,-,2,3.0,0,29,1,9.66
439952,Chris Morris,30 Apr 2013,v Warriors,Pune,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,1,7
