player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
381743,Daryl Mitchell,30 Nov 2012,v Canterbury,Hamilton,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
381743,Daryl Mitchell,26 Dec 2012,v Auckland,Auckland,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
381743,Daryl Mitchell,29 Dec 2012,v Central D,New Plymouth,2,3,2,6,5,0,0,40,caught,1,DNB,-,-,-,-
381743,Daryl Mitchell,6 Jan 2013,v Auckland,Mount Maunganui,2,7,10*,8,6,0,0,166.66,not out,1,DNB,-,-,-,-
381743,Daryl Mitchell,11 Jan 2013,v Canterbury,Hamilton,2,8,7,6,5,1,0,140,caught,1,DNB,-,-,-,-
381743,Daryl Mitchell,13 Jan 2013,v Wellington,Wellington,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
381743,Daryl Mitchell,16 Nov 2013,v Central D,Hamilton,1,5,88*,75,47,6,6,187.23,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,19 Nov 2013,v Wellington,Wellington,2,5,8*,17,9,1,0,88.88,not out,1,DNB,-,-,-,-
381743,Daryl Mitchell,27 Dec 2013,v Central D,Nelson,1,6,8*,9,3,0,1,266.66,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,2 Jan 2014,v Canterbury,Mount Maunganui,2,6,11,11,8,0,1,137.5,caught,1,DNB,-,-,-,-
381743,Daryl Mitchell,4 Jan 2014,v Wellington,Mount Maunganui,2,6,31,46,31,1,0,100,run out,1,DNB,-,-,-,-
381743,Daryl Mitchell,8 Jan 2014,v Auckland,Auckland,1,5,13,9,13,1,0,100,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,10 Jan 2014,v Auckland,Hamilton,1,6,42*,30,19,2,2,221.05,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,12 Jan 2014,v Canterbury,Christchurch,1,5,15,19,11,2,0,136.36,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,17 Jan 2014,v Canterbury,Hamilton,1,6,8*,8,5,1,0,160,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,18 Jan 2014,v Otago,Hamilton,2,4,46*,71,42,2,1,109.52,not out,1,DNB,-,-,-,-
381743,Daryl Mitchell,13 Sep 2014,v Express,Raipur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
381743,Daryl Mitchell,14 Sep 2014,v Lahore Lions,Raipur,1,7,1*,3,1,0,0,100,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,16 Sep 2014,v MI,Raipur,2,5,16*,14,13,2,1,123.07,not out,1,DNB,-,-,-,-
381743,Daryl Mitchell,19 Sep 2014,v Cape Cobras,Raipur,1,6,0,1,1,0,0,0,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,23 Sep 2014,v Hurricanes,Raipur,2,5,9,35,20,0,0,45,stumped,1,DNB,-,-,-,-
381743,Daryl Mitchell,26 Sep 2014,v Kings XI,Mohali,2,7,8,12,13,0,0,61.53,run out,1,DNB,-,-,-,-
381743,Daryl Mitchell,30 Sep 2014,v Tridents,Bengaluru,1,6,9,13,8,1,0,112.5,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,1 Nov 2014,v Wellington,Hamilton,1,5,13,23,17,0,0,76.47,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,2 Nov 2014,v Otago,Hamilton,1,5,45,41,45,5,1,100,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,7 Nov 2014,v Canterbury,Hamilton,1,5,14,8,8,2,0,175,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,9 Nov 2014,v Central D,Hamilton,1,5,35*,34,25,2,1,140,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,13 Nov 2014,v Canterbury,Christchurch,1,5,22,26,15,0,2,146.66,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,16 Nov 2014,v Auckland,Auckland,1,5,24,25,21,0,1,114.28,caught,2,DNB,-,-,-,-
381743,Daryl Mitchell,23 Nov 2014,v Otago,Wellington,1,5,33*,35,25,2,1,132,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,29 Nov 2014,v Central D,Napier,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
381743,Daryl Mitchell,30 Nov 2014,v Auckland,Napier,2,5,10*,14,8,1,0,125,not out,1,2.0,0,9,1,4.5
381743,Daryl Mitchell,5 Dec 2014,v Wellington,Hamilton,1,6,36*,39,31,3,0,116.12,not out,2,1.0,0,9,0,9
381743,Daryl Mitchell,6 Dec 2014,v Auckland,Hamilton,1,6,9,21,18,0,0,50,bowled,2,DNB,-,-,-,-
381743,Daryl Mitchell,6 Nov 2015,v Canterbury,Hamilton,1,5,0,3,2,0,0,0,stumped,2,DNB,-,-,-,-
381743,Daryl Mitchell,12 Nov 2015,v Wellington,Hamilton,1,6,15*,8,7,1,1,214.28,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,15 Nov 2015,v Canterbury,Whangarei,1,7,24,23,13,1,1,184.61,run out,2,DNB,-,-,-,-
381743,Daryl Mitchell,17 Nov 2015,v Otago,Dunedin,1,7,17*,39,28,1,0,60.71,not out,2,DNB,-,-,-,-
381743,Daryl Mitchell,22 Nov 2015,v Wellington,Wellington,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
