player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
552152,Dushmantha Chameera,17 Aug 2012,v Basnahira CD,Pallekele,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,0,7.25
552152,Dushmantha Chameera,31 Aug 2012,v Uva Next,Colombo (RPS),1,-,DNB,-,-,-,-,-,-,2,0.1,0,6,0,36
552152,Dushmantha Chameera,27 Jun 2014,v Troopers,Colombo (SSC),2,11,0,-,1,0,0,0,bowled,1,4.0,0,42,0,10.5
552152,Dushmantha Chameera,28 Jun 2014,v Express,Colombo (SSC),2,-,DNB,-,-,-,-,-,-,1,1.0,0,4,0,4
552152,Dushmantha Chameera,1 Apr 2015,v Air Force SC,Colombo (Colts),-,-,TDNB,-,-,-,-,-,-,1,4.0,0,17,1,4.25
552152,Dushmantha Chameera,2 Apr 2015,v Chilaw MCC,Colombo (NCC),1,-,DNB,-,-,-,-,-,-,2,2.0,0,5,1,2.5
552152,Dushmantha Chameera,4 Apr 2015,v Moors,Colombo (SSC),2,9,7*,-,10,0,1,70,not out,1,4.0,0,28,0,7
552152,Dushmantha Chameera,5 Apr 2015,v Bloomfield,Colombo (Colts),2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,1,5.5
552152,Dushmantha Chameera,6 Apr 2015,v SLPACC,Colombo (NCC),2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,2,5.5
552152,Dushmantha Chameera,7 Apr 2015,v Colts CC,Colombo (NCC),1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
552152,Dushmantha Chameera,9 Apr 2015,v Badureliya,Colombo (SSC),1,10,0*,-,1,0,0,0,not out,2,4.0,2,20,1,5
552152,Dushmantha Chameera,9 Nov 2015,v West Indies,Pallekele,1,-,DNB,-,-,-,-,-,-,2,3.0,0,30,1,10
552152,Dushmantha Chameera,11 Nov 2015,v West Indies,Colombo (RPS),2,11,3*,6,4,0,0,75,not out,1,3.0,0,36,1,12
552152,Dushmantha Chameera,10 Jan 2016,v New Zealand,Auckland,1,-,DNB,-,-,-,-,-,-,2,3.0,0,46,0,15.33
552152,Dushmantha Chameera,20 Jan 2016,v Sinhalese,Colombo (PSS),1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,2,8
552152,Dushmantha Chameera,21 Jan 2016,v Ragama CC,Colombo (Colts),2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,1,5.25
552152,Dushmantha Chameera,23 Jan 2016,v Tamil Union,Colombo (RPS),1,10,7*,-,2,0,1,350,not out,2,4.0,0,31,1,7.75
552152,Dushmantha Chameera,26 Jan 2016,v Commandos,Colombo (RPS),1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,4,6.5
552152,Dushmantha Chameera,27 Jan 2016,v Kurunegala W,Colombo (RPS),2,-,DNB,-,-,-,-,-,-,1,4.0,0,31,1,7.75
552152,Dushmantha Chameera,30 Jan 2016,v Crusaders,Colombo (RPS),2,-,DNB,-,-,-,-,-,-,1,3.0,0,30,0,10
552152,Dushmantha Chameera,3 Feb 2016,v Kurunegala W,Colombo (RPS),2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,2,5
552152,Dushmantha Chameera,5 Feb 2016,v Commandos,Colombo (RPS),1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,0,9.33
552152,Dushmantha Chameera,9 Feb 2016,v India,Pune,2,-,DNB,-,-,-,-,-,-,1,3.5,0,14,2,3.65
552152,Dushmantha Chameera,12 Feb 2016,v India,Ranchi,2,10,0,-,3,0,0,0,bowled,1,4.0,0,38,2,9.5
552152,Dushmantha Chameera,14 Feb 2016,v India,Visakhapatnam,1,10,9*,-,9,1,0,100,not out,2,2.0,0,14,1,7
552152,Dushmantha Chameera,25 Feb 2016,v U.A.E.,Mirpur,1,9,1*,3,1,0,0,100,not out,2,3.2,0,22,0,6.6
552152,Dushmantha Chameera,28 Feb 2016,v Bangladesh,Mirpur,2,10,1*,2,1,0,0,100,not out,1,4.0,0,30,3,7.5
552152,Dushmantha Chameera,1 Mar 2016,v India,Mirpur,1,10,2*,7,2,0,0,100,not out,2,4.0,0,27,0,6.75
552152,Dushmantha Chameera,4 Mar 2016,v Pakistan,Mirpur,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,0,8
552152,Dushmantha Chameera,17 Mar 2016,v Afghanistan,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,4.0,0,19,0,4.75
