player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
32685,Irfan Pathan,22 Jun 2005,v Hampshire,Southampton,1,6,5,5,5,1,0,100,stumped,2,4.0,0,16,3,4
32685,Irfan Pathan,23 Jun 2005,v Surrey,Lord's,2,7,0,1,1,0,0,0,caught,1,4.0,0,31,1,7.75
32685,Irfan Pathan,25 Jun 2005,v Kent,Beckenham,1,7,11,7,6,1,1,183.33,caught,2,4.0,0,30,1,7.5
32685,Irfan Pathan,28 Jun 2005,v Surrey,The Oval,2,-,DNB,-,-,-,-,-,-,1,4.0,0,26,2,6.5
32685,Irfan Pathan,29 Jun 2005,v Kent,Uxbridge,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,1,5.75
32685,Irfan Pathan,1 Jul 2005,v Essex,Southgate,1,7,21*,7,8,0,2,262.5,not out,2,4.0,0,27,4,6.75
32685,Irfan Pathan,4 Jul 2005,v Sussex,Hove,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
32685,Irfan Pathan,1 Dec 2006,v South Africa,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,0,7.5
32685,Irfan Pathan,3 Apr 2007,v Mumbai,Wankhede,1,4,9,11,6,0,1,150,lbw,2,3.0,0,35,0,11.66
32685,Irfan Pathan,5 Apr 2007,v Gujarat,Wankhede,1,4,14,11,12,1,1,116.66,run out,2,4.0,0,38,2,9.5
32685,Irfan Pathan,6 Apr 2007,v Saurashtra,Brabourne,1,4,1,3,2,0,0,50,run out,2,2.0,1,5,1,2.5
32685,Irfan Pathan,7 Apr 2007,v Maharashtra,Wankhede,1,3,21,21,13,3,1,161.53,caught,2,3.0,0,26,0,8.66
32685,Irfan Pathan,13 Sep 2007,v Scotland,Durban,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
32685,Irfan Pathan,14 Sep 2007,v Pakistan,Durban,1,7,20,11,15,0,2,133.33,bowled,2,4.0,1,20,2,5
32685,Irfan Pathan,16 Sep 2007,v New Zealand,Johannesburg,2,7,11,9,10,2,0,110,bowled,1,2.0,0,16,0,8
32685,Irfan Pathan,19 Sep 2007,v England,Durban,1,6,0*,1,0,0,0,-,not out,2,4.0,0,37,3,9.25
32685,Irfan Pathan,20 Sep 2007,v South Africa,Durban,1,7,0*,1,1,0,0,0,not out,2,4.0,0,16,0,4
32685,Irfan Pathan,22 Sep 2007,v Australia,Durban,1,7,0*,1,1,0,0,0,not out,2,4.0,0,44,2,11
32685,Irfan Pathan,24 Sep 2007,v Pakistan,Johannesburg,1,7,3*,9,3,0,0,100,not out,2,4.0,0,16,3,4
32685,Irfan Pathan,20 Oct 2007,v Australia,Brabourne,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,2,8.5
32685,Irfan Pathan,1 Feb 2008,v Australia,Melbourne,1,7,26,41,30,0,0,86.66,caught,2,3.0,0,18,0,6
32685,Irfan Pathan,19 Apr 2008,v CSK,Mohali,2,6,3*,-,5,0,0,60,not out,1,4.0,0,47,2,11.75
32685,Irfan Pathan,21 Apr 2008,v RR,Jaipur,1,6,12,-,19,0,1,63.15,bowled,2,4.0,0,21,1,5.25
32685,Irfan Pathan,25 Apr 2008,v MI,Mohali,1,2,6,-,3,0,0,200,caught,2,4.0,1,19,2,4.75
32685,Irfan Pathan,27 Apr 2008,v Daredevils,Mohali,2,7,10,-,7,2,0,142.85,caught,1,4.0,0,26,2,6.5
32685,Irfan Pathan,1 May 2008,v Chargers,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,2,7.5
32685,Irfan Pathan,3 May 2008,v KKR,Mohali,1,7,24*,-,26,2,0,92.3,not out,2,4.0,0,18,2,4.5
32685,Irfan Pathan,5 May 2008,v RCB,Bengaluru,2,6,17*,-,17,1,1,100,not out,1,3.2,0,13,1,3.9
32685,Irfan Pathan,10 May 2008,v CSK,Chennai,2,7,40,-,18,3,3,222.22,caught,1,4.0,0,33,0,8.25
32685,Irfan Pathan,12 May 2008,v RCB,Mohali,2,-,DNB,-,-,-,-,-,-,1,4.0,1,23,1,5.75
32685,Irfan Pathan,17 May 2008,v Daredevils,Delhi,2,-,DNB,-,-,-,-,-,-,1,2.0,0,13,0,6.5
32685,Irfan Pathan,21 May 2008,v MI,Wankhede,1,6,9*,-,5,0,1,180,not out,2,4.0,0,37,0,9.25
