player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
510530,Jamie Overton,22 May 2015,v Sussex,Taunton,2,9,1*,6,2,0,0,50,not out,1,3.0,0,33,2,11
510530,Jamie Overton,29 May 2015,v Essex,Chelmsford,2,-,DNB,-,-,-,-,-,-,1,3.0,0,33,0,11
510530,Jamie Overton,31 May 2015,v Kent,Taunton,2,9,1*,3,1,0,0,100,not out,1,3.0,0,37,0,12.33
510530,Jamie Overton,5 Jun 2015,v Hampshire,Taunton,2,-,DNB,-,-,-,-,-,-,1,3.0,0,25,0,8.33
510530,Jamie Overton,13 Jun 2015,v Glamorgan,Cardiff,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
510530,Jamie Overton,26 Jun 2015,v Middlesex,Uxbridge,2,-,DNB,-,-,-,-,-,-,1,4.0,0,44,2,11
510530,Jamie Overton,28 Jun 2015,v Glamorgan,Taunton,2,8,10,3,3,1,1,333.33,caught,1,4.0,0,32,1,8
510530,Jamie Overton,3 Jul 2015,v Gloucs,Taunton,1,8,6*,4,4,1,0,150,not out,2,4.0,0,35,1,8.75
510530,Jamie Overton,10 Jul 2015,v Kent,Canterbury,2,8,31,17,19,2,2,163.15,caught,1,4.0,0,39,1,9.75
510530,Jamie Overton,17 Jul 2015,v Surrey,The Oval,2,9,5*,2,2,1,0,250,not out,1,4.0,0,44,0,11
510530,Jamie Overton,23 Jul 2015,v Hampshire,Southampton,2,8,0,2,1,0,0,0,bowled,1,4.0,0,27,0,6.75
510530,Jamie Overton,10 Dec 2015,v Pakistan A,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,3,6.5
510530,Jamie Overton,11 Dec 2015,v Pakistan A,Dubai (DICS),1,8,2*,-,2,0,0,100,not out,2,4.0,0,29,2,7.25
510530,Jamie Overton,13 Dec 2015,v Pakistan A,Dubai (DICS),2,-,DNB,-,-,-,-,-,-,1,1.0,0,7,0,7
510530,Jamie Overton,16 Dec 2015,v Pakistan A,ICCA Dubai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,0,7.25
510530,Jamie Overton,20 May 2016,v Kent,Canterbury,1,6,1,1,2,0,0,50,caught,2,3.0,0,37,0,12.33
510530,Jamie Overton,1 Jun 2016,v Sussex,Hove,2,9,10,12,9,1,0,111.11,caught,1,4.0,0,45,2,11.25
510530,Jamie Overton,3 Jun 2016,v Essex,Taunton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,45,2,11.25
510530,Jamie Overton,10 Jun 2016,v Surrey,Taunton,2,-,DNB,-,-,-,-,-,-,1,3.0,0,19,0,6.33
510530,Jamie Overton,17 Jun 2016,v Gloucs,Bristol,1,-,DNB,-,-,-,-,-,-,2,3.0,0,23,1,7.66
510530,Jamie Overton,19 Jun 2016,v Hampshire,Taunton,2,-,DNB,-,-,-,-,-,-,1,3.3,0,22,4,6.28
510530,Jamie Overton,23 Jun 2016,v Middlesex,Lord's,2,7,9,12,8,0,0,112.5,caught,1,2.0,0,24,0,12
510530,Jamie Overton,1 Jul 2016,v Gloucs,Taunton,1,8,14,6,4,0,2,350,run out,2,4.0,0,33,3,8.25
510530,Jamie Overton,7 Jul 2016,v Kent,Taunton,2,8,4,2,5,1,0,80,bowled,1,4.0,0,39,1,9.75
510530,Jamie Overton,8 Jul 2016,v Surrey,The Oval,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
510530,Jamie Overton,6 Jul 2018,v Gloucs,Taunton,2,-,DNB,-,-,-,-,-,-,1,3.0,0,36,1,12
510530,Jamie Overton,8 Jul 2018,v Kent,Taunton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,1,8.75
510530,Jamie Overton,13 Jul 2018,v Gloucs,Bristol,1,10,2*,1,1,0,0,200,not out,2,2.0,0,31,1,15.5
510530,Jamie Overton,19 Jul 2018,v Middlesex,Lord's,2,-,DNB,-,-,-,-,-,-,1,2.0,0,11,1,5.5
510530,Jamie Overton,20 Jul 2018,v Glamorgan,Cardiff,1,-,DNB,-,-,-,-,-,-,2,4.0,0,39,1,9.75
510530,Jamie Overton,27 Jul 2018,v Surrey,The Oval,1,-,DNB,-,-,-,-,-,-,2,1.0,0,17,0,17
510530,Jamie Overton,29 Jul 2018,v Middlesex,Taunton,1,-,DNB,-,-,-,-,-,-,2,3.0,0,44,0,14.66
510530,Jamie Overton,1 Aug 2018,v Hampshire,Taunton,1,9,3*,6,3,0,0,100,not out,2,4.0,0,37,3,9.25
510530,Jamie Overton,3 Aug 2018,v Essex,Taunton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,3,5.75
510530,Jamie Overton,5 Aug 2018,v Sussex,Hove,2,9,7*,12,4,1,0,175,not out,1,3.0,0,34,1,11.33
510530,Jamie Overton,8 Aug 2018,v Hampshire,Southampton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,21,2,5.25
510530,Jamie Overton,10 Aug 2018,v Surrey,Taunton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,24,4,6
510530,Jamie Overton,12 Aug 2018,v Glamorgan,Taunton,1,9,0,1,1,0,0,0,caught,2,4.0,0,44,1,11
510530,Jamie Overton,16 Aug 2018,v Kent,Canterbury,2,-,DNB,-,-,-,-,-,-,1,3.4,0,47,0,12.81
510530,Jamie Overton,26 Aug 2018,v Notts,Taunton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,47,5,11.75
510530,Jamie Overton,15 Sep 2018,v Sussex,Birmingham,2,9,5,6,3,1,0,166.66,bowled,1,3.0,0,50,0,16.66
510530,Jamie Overton,7 Dec 2018,v Pakistan A,Tolerance Oval,2,8,24*,-,9,0,3,266.66,not out,1,2.0,0,19,1,9.5
510530,Jamie Overton,8 Dec 2018,v Pakistan A,Tolerance Oval,2,8,0*,-,0,0,0,-,not out,1,4.0,0,24,3,6
510530,Jamie Overton,18 Jul 2019,v Glamorgan,Cardiff,2,-,DNB,-,-,-,-,-,-,1,1.0,0,19,0,19
510530,Jamie Overton,20 Jul 2019,v Kent,Canterbury,2,9,19,18,14,3,0,135.71,caught,1,2.0,0,24,0,12
510530,Jamie Overton,2 Aug 2019,v Surrey,Taunton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,0,10.75
