player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
298438,Jason Roy,27 Jun 2008,v Middlesex,The Oval,1,8,4,1,3,1,0,133.33,caught,2,DNB,-,-,-,-
298438,Jason Roy,22 Jun 2010,v Hampshire,The Oval,1,3,12,25,11,0,1,109.09,caught,2,DNB,-,-,-,-
298438,Jason Roy,23 Jun 2010,v Kent,Beckenham,1,3,101*,63,57,11,5,177.19,not out,2,DNB,-,-,-,-
298438,Jason Roy,25 Jun 2010,v Essex,Chelmsford,1,3,29,23,17,3,1,170.58,stumped,2,DNB,-,-,-,-
298438,Jason Roy,2 Jul 2010,v Somerset,The Oval,1,3,74,65,50,7,3,148,caught,2,DNB,-,-,-,-
298438,Jason Roy,4 Jul 2010,v Glamorgan,The Oval,1,3,9,8,11,0,1,81.81,caught,2,DNB,-,-,-,-
298438,Jason Roy,8 Jul 2010,v Middlesex,The Oval,1,3,0,1,2,0,0,0,caught,2,DNB,-,-,-,-
298438,Jason Roy,9 Jul 2010,v Glamorgan,Cardiff,2,3,17,17,12,0,1,141.66,bowled,1,DNB,-,-,-,-
298438,Jason Roy,11 Jul 2010,v Sussex,Arundel,2,3,0,1,1,0,0,0,lbw,1,DNB,-,-,-,-
298438,Jason Roy,18 Jul 2010,v Gloucs,Bristol,2,3,0,1,2,0,0,0,bowled,1,DNB,-,-,-,-
298438,Jason Roy,2 Jun 2011,v Gloucs,The Oval,2,3,10,12,13,1,0,76.92,caught,1,DNB,-,-,-,-
298438,Jason Roy,3 Jun 2011,v Hampshire,Southampton,1,3,17,27,15,2,0,113.33,run out,2,DNB,-,-,-,-
298438,Jason Roy,10 Jun 2011,v Glamorgan,The Oval,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
298438,Jason Roy,11 Jun 2011,v Gloucs,Gloucester,2,6,6,5,6,0,0,100,bowled,1,DNB,-,-,-,-
298438,Jason Roy,13 Jun 2011,v Essex,The Oval,1,3,31,25,20,5,1,155,caught,2,DNB,-,-,-,-
298438,Jason Roy,23 Jun 2011,v Middlesex,The Oval,1,3,32,22,20,4,1,160,bowled,2,DNB,-,-,-,-
298438,Jason Roy,24 Jun 2011,v Essex,Chelmsford,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
298438,Jason Roy,26 Jun 2011,v Kent,Beckenham,1,3,7,11,8,1,0,87.5,caught,2,DNB,-,-,-,-
298438,Jason Roy,30 Jun 2011,v Somerset,The Oval,2,3,32,27,22,6,0,145.45,stumped,1,DNB,-,-,-,-
298438,Jason Roy,1 Jul 2011,v Glamorgan,Cardiff,1,1,51,46,33,4,1,154.54,caught,2,DNB,-,-,-,-
298438,Jason Roy,4 Jul 2011,v Sussex,Croydon,1,1,18,9,10,1,2,180,caught,2,DNB,-,-,-,-
298438,Jason Roy,7 Jul 2011,v Middlesex,Lord's,1,1,52,36,37,5,2,140.54,caught,2,DNB,-,-,-,-
298438,Jason Roy,8 Jul 2011,v Hampshire,The Oval,1,1,4,8,8,0,0,50,caught,2,DNB,-,-,-,-
298438,Jason Roy,14 Jul 2011,v Kent,The Oval,2,1,53,34,34,8,1,155.88,caught,1,DNB,-,-,-,-
298438,Jason Roy,15 Jul 2011,v Sussex,Hove,2,1,50,42,42,4,2,119.04,caught,1,DNB,-,-,-,-
298438,Jason Roy,22 Jan 2012,v Bangladesh A,Mirpur,1,1,40,36,19,7,0,210.52,bowled,2,DNB,-,-,-,-
298438,Jason Roy,23 Jan 2012,v Bangladesh A,Mirpur,2,1,0,1,1,0,0,0,bowled,1,DNB,-,-,-,-
298438,Jason Roy,10 Feb 2012,v Rajshahi,Mirpur,1,4,43,31,25,3,3,172,bowled,2,DNB,-,-,-,-
298438,Jason Roy,12 Feb 2012,v Khulna,Mirpur,2,3,36,34,29,2,2,124.13,caught,1,DNB,-,-,-,-
298438,Jason Roy,13 Feb 2012,v Dhaka,Mirpur,1,3,18,18,14,1,1,128.57,caught,2,DNB,-,-,-,-
298438,Jason Roy,15 Feb 2012,v Royals,Mirpur,2,3,30,-,22,5,0,136.36,caught,1,DNB,-,-,-,-
298438,Jason Roy,16 Feb 2012,v Barisal,Mirpur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
298438,Jason Roy,18 Feb 2012,v Rajshahi,Chattogram,2,3,5,-,4,1,0,125,bowled,1,DNB,-,-,-,-
298438,Jason Roy,20 Feb 2012,v Khulna,Chattogram,2,3,30,-,24,2,2,125,run out,1,DNB,-,-,-,-
298438,Jason Roy,24 Feb 2012,v Dhaka,Mirpur,1,3,18,32,17,1,1,105.88,caught,2,DNB,-,-,-,-
298438,Jason Roy,25 Feb 2012,v Royals,Mirpur,2,3,3,6,5,0,0,60,run out,1,DNB,-,-,-,-
298438,Jason Roy,26 Feb 2012,v Barisal,Mirpur,1,1,42,38,25,6,1,168,caught,2,DNB,-,-,-,-
298438,Jason Roy,13 Jun 2012,v Essex,The Oval,1,3,22,34,19,3,0,115.78,caught,2,DNB,-,-,-,-
298438,Jason Roy,14 Jun 2012,v Middlesex,Lord's,1,3,8,19,10,1,0,80,caught,2,DNB,-,-,-,-
298438,Jason Roy,17 Jun 2012,v Kent,Beckenham,1,1,0,1,1,0,0,0,caught,2,DNB,-,-,-,-
298438,Jason Roy,22 Jun 2012,v Essex,Chelmsford,1,2,36,28,20,5,2,180,caught,2,DNB,-,-,-,-
298438,Jason Roy,30 Jun 2012,v Hampshire,Southampton,1,2,1,8,3,0,0,33.33,caught,2,DNB,-,-,-,-
298438,Jason Roy,2 Jul 2012,v Hampshire,The Oval,1,3,4,17,7,0,0,57.14,caught,2,DNB,-,-,-,-
298438,Jason Roy,3 Jul 2012,v Sussex,The Oval,1,2,4,9,6,0,0,66.66,caught,2,DNB,-,-,-,-
298438,Jason Roy,5 Jul 2012,v Kent,The Oval,2,3,0,3,1,0,0,0,bowled,1,DNB,-,-,-,-
298438,Jason Roy,6 Jul 2012,v Middlesex,The Oval,1,3,40,29,26,1,3,153.84,bowled,2,DNB,-,-,-,-
298438,Jason Roy,8 Jul 2012,v Sussex,Hove,2,3,5,5,5,1,0,100,caught,1,DNB,-,-,-,-
298438,Jason Roy,19 Jan 2013,v Rajshahi,Mirpur,2,2,5,5,8,1,0,62.5,caught,1,DNB,-,-,-,-
298438,Jason Roy,22 Jan 2013,v Rangpur,Khulna,1,1,5,8,6,1,0,83.33,lbw,2,DNB,-,-,-,-
298438,Jason Roy,13 Feb 2013,v Rajshahi,Mirpur,1,2,92*,92,55,8,4,167.27,not out,2,DNB,-,-,-,-
298438,Jason Roy,14 Feb 2013,v Dhaka,Mirpur,2,1,9,15,15,0,1,60,bowled,1,DNB,-,-,-,-
298438,Jason Roy,16 Feb 2013,v Rajshahi,Mirpur,2,1,30,23,24,3,2,125,lbw,1,DNB,-,-,-,-
298438,Jason Roy,18 Feb 2013,v Royals,Mirpur,2,2,1,3,2,0,0,50,bowled,1,DNB,-,-,-,-
298438,Jason Roy,19 Feb 2013,v Dhaka,Mirpur,2,1,40,38,28,6,0,142.85,bowled,1,DNB,-,-,-,-
298438,Jason Roy,26 Jun 2013,v Hampshire,Southampton,1,1,11,15,11,2,0,100,bowled,2,DNB,-,-,-,-
298438,Jason Roy,28 Jun 2013,v Sussex,Hove,1,1,42,46,33,3,1,127.27,caught,2,DNB,-,-,-,-
298438,Jason Roy,30 Jun 2013,v Kent,Canterbury,1,2,16,28,16,1,0,100,caught,2,DNB,-,-,-,-
298438,Jason Roy,3 Jul 2013,v Sussex,The Oval,1,1,29,31,25,5,0,116,lbw,2,DNB,-,-,-,-
298438,Jason Roy,5 Jul 2013,v Middlesex,The Oval,1,1,52,36,33,5,3,157.57,lbw,2,DNB,-,-,-,-
298438,Jason Roy,15 Jul 2013,v Essex,The Oval,1,1,30,26,26,4,0,115.38,run out,2,DNB,-,-,-,-
298438,Jason Roy,19 Jul 2013,v Hampshire,The Oval,1,1,22,10,8,2,2,275,bowled,2,DNB,-,-,-,-
298438,Jason Roy,25 Jul 2013,v Middlesex,Lord's,1,1,11,12,13,2,0,84.61,lbw,2,DNB,-,-,-,-
298438,Jason Roy,26 Jul 2013,v Kent,The Oval,2,2,30,34,21,4,1,142.85,caught,1,DNB,-,-,-,-
298438,Jason Roy,31 Jul 2013,v Essex,Chelmsford,1,2,1,3,3,0,0,33.33,bowled,2,2.0,0,23,1,11.5
298438,Jason Roy,6 Aug 2013,v Somerset,The Oval,2,1,28,30,26,3,1,107.69,caught,1,DNB,-,-,-,-
298438,Jason Roy,17 Aug 2013,v Hampshire,Birmingham,2,1,5,7,5,1,0,100,caught,1,DNB,-,-,-,-
298438,Jason Roy,17 Aug 2013,v Northants,Birmingham,2,1,13,9,12,2,0,108.33,bowled,1,DNB,-,-,-,-
298438,Jason Roy,16 May 2014,v Sussex,Hove,1,1,57,65,43,3,3,132.55,caught,2,DNB,-,-,-,-
298438,Jason Roy,18 May 2014,v Somerset,Taunton,1,2,64,63,47,5,3,136.17,caught,2,DNB,-,-,-,-
298438,Jason Roy,30 May 2014,v Middlesex,The Oval,2,2,26,27,27,4,0,96.29,caught,1,DNB,-,-,-,-
298438,Jason Roy,6 Jun 2014,v Essex,The Oval,1,1,57,53,44,6,1,129.54,caught,2,DNB,-,-,-,-
298438,Jason Roy,13 Jun 2014,v Sussex,The Oval,2,2,81*,58,43,11,2,188.37,not out,1,DNB,-,-,-,-
298438,Jason Roy,20 Jun 2014,v Glamorgan,Cardiff,1,1,15,21,15,2,0,100,caught,2,DNB,-,-,-,-
298438,Jason Roy,27 Jun 2014,v Hampshire,The Oval,2,1,63,32,25,9,3,252,caught,1,DNB,-,-,-,-
298438,Jason Roy,2 Jul 2014,v Kent,The Oval,2,1,79,39,46,10,3,171.73,caught,1,DNB,-,-,-,-
298438,Jason Roy,4 Jul 2014,v Essex,Chelmsford,1,1,29,39,24,2,2,120.83,bowled,2,DNB,-,-,-,-
298438,Jason Roy,11 Jul 2014,v Glamorgan,The Oval,2,1,60,60,41,3,3,146.34,caught,1,1.0,0,16,0,16
298438,Jason Roy,16 Jul 2014,v Somerset,The Oval,2,1,4,1,4,1,0,100,bowled,1,DNB,-,-,-,-
298438,Jason Roy,18 Jul 2014,v Gloucs,Cheltenham,1,1,11,5,5,1,1,220,caught,2,DNB,-,-,-,-
298438,Jason Roy,24 Jul 2014,v Middlesex,Lord's,2,1,21,31,19,2,1,110.52,stumped,1,DNB,-,-,-,-
298438,Jason Roy,2 Aug 2014,v Worcs,The Oval,2,1,52,23,23,8,3,226.08,caught,1,DNB,-,-,-,-
298438,Jason Roy,23 Aug 2014,v Warwickshire,Birmingham,2,1,58,30,25,10,2,232,caught,1,DNB,-,-,-,-
298438,Jason Roy,7 Sep 2014,v India,Birmingham,1,1,8,12,10,1,0,80,caught,2,DNB,-,-,-,-
298438,Jason Roy,9 Jan 2015,v Hurricanes,Sydney,1,2,4,-,4,1,0,100,caught,2,DNB,-,-,-,-
298438,Jason Roy,12 Jan 2015,v Strikers,Adelaide,2,1,14*,-,6,2,1,233.33,not out,1,DNB,-,-,-,-
298438,Jason Roy,17 Jan 2015,v Stars,Sydney,1,2,0,-,1,0,0,0,bowled,2,DNB,-,-,-,-
298438,Jason Roy,15 May 2015,v Glamorgan,The Oval,2,1,1,2,2,0,0,50,caught,1,DNB,-,-,-,-
298438,Jason Roy,16 May 2015,v Essex,Chelmsford,1,1,4,6,6,0,0,66.66,run out,2,DNB,-,-,-,-
298438,Jason Roy,29 May 2015,v Kent,Beckenham,2,1,8,1,4,2,0,200,lbw,1,DNB,-,-,-,-
298438,Jason Roy,5 Jun 2015,v Essex,The Oval,1,1,9,13,11,1,0,81.81,caught,2,DNB,-,-,-,-
298438,Jason Roy,23 Jun 2015,v New Zealand,Manchester,1,1,23,10,13,1,2,176.92,run out,2,DNB,-,-,-,-
298438,Jason Roy,26 Jun 2015,v Glamorgan,Cardiff,1,1,61,50,47,3,3,129.78,caught,2,DNB,-,-,-,-
298438,Jason Roy,1 Jul 2015,v Gloucs,The Oval,2,1,33,25,17,5,1,194.11,stumped,1,DNB,-,-,-,-
298438,Jason Roy,3 Jul 2015,v Middlesex,The Oval,2,1,21,19,18,3,0,116.66,bowled,1,DNB,-,-,-,-
298438,Jason Roy,10 Jul 2015,v Hampshire,Southampton,2,1,9,10,8,1,0,112.5,bowled,1,DNB,-,-,-,-
298438,Jason Roy,17 Jul 2015,v Somerset,The Oval,1,1,122*,79,65,8,6,187.69,not out,2,DNB,-,-,-,-
298438,Jason Roy,23 Jul 2015,v Middlesex,Lord's,2,1,5,3,4,1,0,125,caught,1,DNB,-,-,-,-
298438,Jason Roy,31 Aug 2015,v Australia,Cardiff,1,1,11,19,16,1,0,68.75,caught,2,DNB,-,-,-,-
298438,Jason Roy,26 Nov 2015,v Pakistan,Dubai (DICS),1,1,9,10,6,1,0,150,caught,2,DNB,-,-,-,-
