player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
774223,Jhye Richardson,16 Jan 2016,v Stars,W.A.C.A,2,9,5,-,9,0,0,55.55,caught,1,2.0,0,22,0,11
774223,Jhye Richardson,23 Dec 2016,v Strikers,W.A.C.A,1,9,0*,-,0,0,0,-,not out,2,3.0,0,32,2,10.66
774223,Jhye Richardson,27 Dec 2016,v Sixers,Sydney,1,10,6*,-,8,1,0,75,not out,2,4.0,0,36,0,9
774223,Jhye Richardson,1 Jan 2017,v Thunder,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,3.0,0,18,1,6
774223,Jhye Richardson,5 Jan 2017,v Heat,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,1.0,0,14,0,14
774223,Jhye Richardson,11 Jan 2017,v Heat,Brisbane,1,-,DNB,-,-,-,-,-,-,2,4.0,0,34,2,8.5
774223,Jhye Richardson,14 Jan 2017,v Stars,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,3.0,0,26,2,8.66
774223,Jhye Richardson,24 Jan 2017,v Stars,W.A.C.A,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,1,8
774223,Jhye Richardson,28 Jan 2017,v Sixers,W.A.C.A,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,3,7.5
774223,Jhye Richardson,19 Feb 2017,v Sri Lanka,Geelong,1,11,0,2,1,0,0,0,bowled,2,3.0,0,24,1,8
774223,Jhye Richardson,22 Feb 2017,v Sri Lanka,Adelaide,1,-,DNB,-,-,-,-,-,-,2,3.0,0,38,1,12.66
774223,Jhye Richardson,23 Dec 2017,v Sixers,Sydney,2,-,DNB,-,-,-,-,-,-,1,3.0,0,28,2,9.33
774223,Jhye Richardson,26 Dec 2017,v Stars,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,1,6.5
774223,Jhye Richardson,29 Dec 2017,v Renegades,Melbourne (Docklands),2,8,2,-,4,0,0,50,run out,1,4.0,0,23,1,5.75
774223,Jhye Richardson,1 Jan 2018,v Sixers,W.A.C.A,2,-,DNB,-,-,-,-,-,-,1,4.0,0,45,0,11.25
774223,Jhye Richardson,5 Jan 2018,v Heat,Brisbane,2,9,8*,-,6,1,0,133.33,not out,1,4.0,0,44,1,11
774223,Jhye Richardson,8 Jan 2018,v Renegades,W.A.C.A,2,-,DNB,-,-,-,-,-,-,1,4.0,0,55,0,13.75
774223,Jhye Richardson,25 Jan 2018,v Strikers,W.A.C.A,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,2,5.75
774223,Jhye Richardson,1 Feb 2018,v Hurricanes,Perth,2,9,16,-,12,0,2,133.33,caught,1,4.0,0,37,0,9.25
774223,Jhye Richardson,2 Jul 2018,v Pakistan,Harare,2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,1,5.5
774223,Jhye Richardson,3 Jul 2018,v Zimbabwe,Harare,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,1,5.75
774223,Jhye Richardson,5 Jul 2018,v Pakistan,Harare,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,2,10.75
774223,Jhye Richardson,6 Jul 2018,v Zimbabwe,Harare,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,2,8
774223,Jhye Richardson,8 Jul 2018,v Pakistan,Harare,1,10,6*,-,2,1,0,300,not out,2,4.0,0,29,1,7.25
774223,Jhye Richardson,22 Dec 2018,v Sixers,Sydney,2,9,15*,-,10,2,0,150,not out,1,4.0,0,25,1,6.25
774223,Jhye Richardson,26 Dec 2018,v Strikers,Perth,2,-,DNB,-,-,-,-,-,-,1,3.0,1,7,3,2.33
774223,Jhye Richardson,30 Dec 2018,v Hurricanes,Launceston,1,9,5*,-,5,0,0,100,not out,2,4.0,0,22,1,5.5
774223,Jhye Richardson,2 Jan 2019,v Thunder,Sydney,2,-,DNB,-,-,-,-,-,-,1,4.0,0,19,1,4.75
774223,Jhye Richardson,5 Jan 2019,v Heat,Perth,1,-,DNB,-,-,-,-,-,-,2,4.0,0,50,1,12.5
774223,Jhye Richardson,24 Feb 2019,v India,Visakhapatnam,2,9,7*,7,3,1,0,233.33,not out,1,4.0,0,31,0,7.75
774223,Jhye Richardson,27 Feb 2019,v India,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,45,0,11.25
774223,Jhye Richardson,18 Dec 2019,v Sixers,Sydney,1,9,2,-,4,0,0,50,caught,2,3.0,0,37,0,12.33
774223,Jhye Richardson,21 Dec 2019,v Renegades,Perth,1,-,DNB,-,-,-,-,-,-,2,4.0,0,41,0,10.25
774223,Jhye Richardson,23 Dec 2019,v Strikers,Adelaide,2,9,0*,-,0,0,0,-,not out,1,4.0,0,29,2,7.25
774223,Jhye Richardson,26 Dec 2019,v Sixers,Perth,2,9,14,-,15,0,1,93.33,caught,1,4.0,0,26,1,6.5
