player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1070188,Kamlesh Nagarkoti,26 Sep 2020,v SRH,Abu Dhabi,2,-,DNB,-,-,-,-,-,-,1,2.0,0,17,0,8.5
1070188,Kamlesh Nagarkoti,30 Sep 2020,v RR,Dubai (DICS),1,8,8*,-,5,1,0,160,not out,2,2.0,0,13,2,6.5
1070188,Kamlesh Nagarkoti,3 Oct 2020,v DC,Sharjah,2,9,3*,-,3,0,0,100,not out,1,3.0,0,35,1,11.66
1070188,Kamlesh Nagarkoti,7 Oct 2020,v CSK,Abu Dhabi,1,9,0,-,2,0,0,0,caught,2,3.0,0,21,1,7
1070188,Kamlesh Nagarkoti,10 Oct 2020,v Kings XI,Abu Dhabi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,40,0,13.33
1070188,Kamlesh Nagarkoti,12 Oct 2020,v RCB,Sharjah,2,9,4,-,7,0,0,57.14,bowled,1,4.0,0,36,0,9
1070188,Kamlesh Nagarkoti,24 Oct 2020,v DC,Abu Dhabi,1,-,DNB,-,-,-,-,-,-,2,2.0,0,11,0,5.5
1070188,Kamlesh Nagarkoti,26 Oct 2020,v Kings XI,Sharjah,1,7,6,-,13,0,0,46.15,bowled,2,DNB,-,-,-,-
1070188,Kamlesh Nagarkoti,29 Oct 2020,v CSK,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,3.0,0,34,0,11.33
1070188,Kamlesh Nagarkoti,1 Nov 2020,v RR,Dubai (DICS),1,9,1*,-,1,0,0,100,not out,2,4.0,0,24,1,6
1070188,Kamlesh Nagarkoti,21 Apr 2021,v CSK,Wankhede,2,9,0,8,2,0,0,0,caught,1,2.0,0,25,0,12.5
1070188,Kamlesh Nagarkoti,4 Nov 2021,v Jharkhand,Vadodara,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,0,5.75
1070188,Kamlesh Nagarkoti,5 Nov 2021,v J & K,Vadodara,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,1,7
1070188,Kamlesh Nagarkoti,6 Nov 2021,v Himachal,Vadodara,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,1,8.25
1070188,Kamlesh Nagarkoti,8 Nov 2021,v Andhra,Vadodara,1,8,5,11,6,0,0,83.33,caught,2,4.0,0,25,2,6.25
1070188,Kamlesh Nagarkoti,9 Nov 2021,v Haryana,Vadodara,1,-,DNB,-,-,-,-,-,-,2,3.1,0,25,3,7.89
1070188,Kamlesh Nagarkoti,18 Nov 2021,v Vidarbha,Delhi,1,5,39*,-,48,4,0,81.25,not out,2,1.0,0,9,0,9
1070188,Kamlesh Nagarkoti,27 Mar 2022,v MI,Brabourne,2,-,DNB,-,-,-,-,-,-,1,2.0,0,29,0,14.5
1070188,Kamlesh Nagarkoti,11 Oct 2022,v M. Pradesh,Rajkot,2,7,1,-,3,0,0,33.33,caught,1,3.0,0,44,0,14.66
1070188,Kamlesh Nagarkoti,12 Oct 2022,v Vidarbha,Rajkot,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,2,4.5
1070188,Kamlesh Nagarkoti,14 Oct 2022,v Railways,Rajkot,1,8,2*,-,1,0,0,200,not out,2,4.0,0,45,1,11.25
1070188,Kamlesh Nagarkoti,16 Oct 2022,v Uttarakhand,Rajkot,1,7,0,-,1,0,0,0,caught,2,3.0,0,19,1,6.33
1070188,Kamlesh Nagarkoti,18 Oct 2022,v Mumbai,Saurashtra,2,9,1*,-,2,0,0,50,not out,1,4.0,0,25,0,6.25
1070188,Kamlesh Nagarkoti,20 Oct 2022,v Assam,Saurashtra,1,8,24,-,22,1,0,109.09,run out,2,3.0,0,15,2,5
1070188,Kamlesh Nagarkoti,22 Oct 2022,v Mizoram,Saurashtra,1,-,DNB,-,-,-,-,-,-,2,3.0,0,10,1,3.33
1070188,Kamlesh Nagarkoti,23 Nov 2024,v Bihar,Saurashtra,1,-,DNB,-,-,-,-,-,-,2,4.0,1,22,1,5.5
1070188,Kamlesh Nagarkoti,25 Nov 2024,v Mizoram,Saurashtra,1,8,2*,-,1,0,0,200,not out,2,4.0,0,23,2,5.75
1070188,Kamlesh Nagarkoti,27 Nov 2024,v Hyderabad,Rajkot,1,8,0,-,1,0,0,0,caught,2,4.0,0,45,1,11.25
1070188,Kamlesh Nagarkoti,29 Nov 2024,v Meghalaya,Rajkot,2,-,DNB,-,-,-,-,-,-,1,3.0,0,14,3,4.66
1070188,Kamlesh Nagarkoti,1 Dec 2024,v M. Pradesh,Saurashtra,2,-,DNB,-,-,-,-,-,-,1,4.0,0,24,1,6
1070188,Kamlesh Nagarkoti,3 Dec 2024,v Punjab,Saurashtra,1,8,13,-,8,2,0,162.5,caught,2,4.0,0,26,1,6.5
1070188,Kamlesh Nagarkoti,5 Dec 2024,v Bengal,Rajkot,1,8,0,-,1,0,0,0,bowled,2,4.0,0,27,1,6.75
1070188,Kamlesh Nagarkoti,26 Nov 2025,v Tamil Nadu,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,1,8.25
1070188,Kamlesh Nagarkoti,28 Nov 2025,v Tripura,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,3,8.5
1070188,Kamlesh Nagarkoti,30 Nov 2025,v Karnataka,Ahmedabad,1,-,DNB,-,-,-,-,-,-,2,4.0,0,52,3,13
1070188,Kamlesh Nagarkoti,2 Dec 2025,v Uttarakhand,Ahmedabad,1,10,1*,-,1,0,0,100,not out,2,4.0,0,32,2,8
1070188,Kamlesh Nagarkoti,4 Dec 2025,v Saurashtra,Ahmedabad,2,8,37*,-,32,1,3,115.62,not out,1,3.3,0,22,2,6.28
1070188,Kamlesh Nagarkoti,6 Dec 2025,v Delhi,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,25,0,6.25
1070188,Kamlesh Nagarkoti,8 Dec 2025,v Jharkhand,Ahmedabad,2,10,3,-,6,0,0,50,caught,1,3.0,0,31,0,10.33
