player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
277906,Kane Williamson,6 Feb 2009,v Canterbury,Christchurch,1,7,30,47,34,0,2,88.23,caught,2,4.0,0,20,0,5
277906,Kane Williamson,11 Feb 2009,v Central D,Hamilton,2,6,10,15,10,0,0,100,run out,1,2.0,0,21,1,10.5
277906,Kane Williamson,15 Feb 2009,v Otago,Dunedin,2,7,3,4,4,0,0,75,caught,1,1.0,0,10,0,10
277906,Kane Williamson,22 Feb 2009,v Wellington,Mt Maunganui,1,3,14,29,20,1,0,70,caught,2,2.0,0,14,0,7
277906,Kane Williamson,2 Jan 2010,v Auckland,Mt Maunganui,1,8,0*,1,0,0,0,-,not out,2,2.0,0,21,0,10.5
277906,Kane Williamson,3 Jan 2010,v Otago,Mt Maunganui,1,8,13,19,16,1,0,81.25,caught,2,4.0,0,20,0,5
277906,Kane Williamson,10 Jan 2010,v Canterbury,Christchurch,2,8,0,1,2,0,0,0,caught,1,DNB,-,-,-,-
277906,Kane Williamson,21 Dec 2010,v Wellington,Hamilton,2,8,3,6,3,0,0,100,run out,1,1.0,0,22,0,22
277906,Kane Williamson,27 Dec 2010,v Auckland,Mount Maunganui,1,5,19,17,19,1,0,100,lbw,2,2.0,0,26,0,13
277906,Kane Williamson,29 Dec 2010,v Canterbury,Christchurch,2,5,8,7,10,1,0,80,caught,1,1.0,0,7,0,7
277906,Kane Williamson,2 Jun 2011,v Surrey,The Oval,1,4,32,33,26,2,1,123.07,run out,2,1.0,0,17,0,17
277906,Kane Williamson,3 Jun 2011,v Essex,Chelmsford,2,4,20,24,15,2,1,133.33,caught,1,1.0,0,2,1,2
277906,Kane Williamson,5 Jun 2011,v Sussex,Bristol,1,4,13,15,15,0,1,86.66,bowled,2,3.3,0,19,1,5.42
277906,Kane Williamson,10 Jun 2011,v Hampshire,Gloucester,2,3,28,40,34,3,0,82.35,caught,1,4.0,0,34,0,8.5
277906,Kane Williamson,11 Jun 2011,v Surrey,Gloucester,1,3,2,5,4,0,0,50,caught,2,4.0,0,18,2,4.5
277906,Kane Williamson,15 Jun 2011,v Kent,Beckenham,1,3,21,25,20,0,0,105,caught,2,2.0,0,19,0,9.5
277906,Kane Williamson,24 Jun 2011,v Hampshire,Southampton,2,3,50,51,42,6,0,119.04,caught,1,4.0,0,18,2,4.5
277906,Kane Williamson,26 Jun 2011,v Middlesex,Uxbridge,1,3,18,9,7,3,1,257.14,caught,2,2.0,0,12,1,6
277906,Kane Williamson,1 Jul 2011,v Somerset,Bristol,2,3,0,9,4,0,0,0,caught,1,3.0,0,22,0,7.33
277906,Kane Williamson,3 Jul 2011,v Sussex,Arundel,1,3,8,10,8,1,0,100,caught,2,3.1,0,31,1,9.78
277906,Kane Williamson,6 Jul 2011,v Kent,Bristol,1,5,20*,28,18,0,1,111.11,not out,2,1.0,0,10,0,10
277906,Kane Williamson,8 Jul 2011,v Somerset,Taunton,2,6,8,6,6,1,0,133.33,caught,1,2.0,0,10,0,5
277906,Kane Williamson,10 Jul 2011,v Glamorgan,Bristol,1,4,20,35,27,2,0,74.07,caught,2,2.0,0,4,0,2
277906,Kane Williamson,13 Jul 2011,v Middlesex,Bristol,1,2,6,7,6,1,0,100,bowled,2,2.0,0,10,1,5
277906,Kane Williamson,15 Jul 2011,v Glamorgan,Cardiff,1,3,2,11,7,0,0,28.57,caught,2,DNB,-,-,-,-
277906,Kane Williamson,15 Oct 2011,v Zimbabwe,Harare,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
277906,Kane Williamson,18 Dec 2011,v Canterbury,Rangiora,1,-,DNB,-,-,-,-,-,-,2,4.0,0,13,0,3.25
277906,Kane Williamson,26 Dec 2011,v Auckland,Auckland,1,-,DNB,-,-,-,-,-,-,2,1.0,0,13,0,13
277906,Kane Williamson,29 Dec 2011,v Otago,Dunedin,2,-,DNB,-,-,-,-,-,-,1,3.0,0,19,1,6.33
277906,Kane Williamson,31 Dec 2011,v Canterbury,Mt Maunganui,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
277906,Kane Williamson,4 Jan 2012,v Wellington,Mt Maunganui,1,4,13,24,18,1,0,72.22,caught,2,DNB,-,-,-,-
277906,Kane Williamson,5 Jan 2012,v Central D,Mt Maunganui,2,-,DNB,-,-,-,-,-,-,1,4.0,0,14,1,3.5
277906,Kane Williamson,8 Jan 2012,v Auckland,Mount Maunganui,1,4,6,10,7,0,0,85.71,bowled,2,4.0,0,17,0,4.25
277906,Kane Williamson,11 Jan 2012,v Wellington,Wellington,1,2,53,50,41,7,0,129.26,bowled,2,4.0,0,33,3,8.25
277906,Kane Williamson,14 Jan 2012,v Central D,Napier,1,2,13,11,11,2,0,118.18,caught,2,4.0,0,19,2,4.75
277906,Kane Williamson,19 Jan 2012,v Otago,Hamilton,1,1,8,12,10,2,0,80,caught,2,3.0,1,27,0,9
277906,Kane Williamson,11 Feb 2012,v Zimbabwe,Auckland,2,4,48,62,38,5,0,126.31,run out,1,1.0,0,6,1,6
277906,Kane Williamson,14 Feb 2012,v Zimbabwe,Hamilton,2,7,20*,7,5,3,1,400,not out,1,2.0,0,16,0,8
277906,Kane Williamson,17 Feb 2012,v South Africa,Wellington,2,4,24,22,21,3,0,114.28,run out,1,2.0,0,27,0,13.5
277906,Kane Williamson,19 Feb 2012,v South Africa,Hamilton,1,4,28*,30,20,1,2,140,not out,2,DNB,-,-,-,-
277906,Kane Williamson,22 Feb 2012,v South Africa,Auckland,2,5,6,13,9,0,0,66.66,caught,1,DNB,-,-,-,-
277906,Kane Williamson,17 Jun 2012,v Worcs,Worcester,2,3,37,43,29,5,0,127.58,caught,1,4.0,0,38,1,9.5
277906,Kane Williamson,22 Jun 2012,v Northants,Bristol,1,2,39,35,35,5,0,111.42,caught,2,3.0,0,25,1,8.33
277906,Kane Williamson,30 Jun 2012,v West Indies,Lauderhill,2,4,10,13,10,0,0,100,caught,1,1.4,0,21,1,12.6
277906,Kane Williamson,1 Jul 2012,v West Indies,Lauderhill,2,4,6,4,5,1,0,120,run out,1,DNB,-,-,-,-
277906,Kane Williamson,11 Sep 2012,v India,Chennai,1,4,28,47,26,3,0,107.69,caught,2,DNB,-,-,-,-
277906,Kane Williamson,21 Sep 2012,v Bangladesh,Pallekele,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
277906,Kane Williamson,23 Sep 2012,v Pakistan,Pallekele,2,2,15,33,13,2,0,115.38,run out,1,DNB,-,-,-,-
277906,Kane Williamson,27 Sep 2012,v Sri Lanka,Pallekele,1,8,4,8,4,0,0,100,run out,2,DNB,-,-,-,-
