player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
297583,Kyle Abbott,2 Feb 2011,v Knights,Bloemfontein,1,8,1*,3,1,0,0,100,not out,2,2.0,0,9,1,4.5
297583,Kyle Abbott,4 Feb 2011,v Warriors,East London,1,-,DNB,-,-,-,-,-,-,2,4.0,0,19,0,4.75
297583,Kyle Abbott,11 Feb 2011,v Cape Cobras,Durban,1,-,DNB,-,-,-,-,-,-,2,4.0,0,21,2,5.25
297583,Kyle Abbott,13 Feb 2011,v Titans,Centurion,1,-,DNB,-,-,-,-,-,-,2,2.0,0,26,0,13
297583,Kyle Abbott,20 Feb 2011,v Lions,Durban,2,9,0*,0,2,0,0,0,not out,1,4.0,0,17,2,4.25
297583,Kyle Abbott,25 Feb 2011,v Warriors,Gqeberha,1,-,DNB,-,-,-,-,-,-,2,3.0,0,24,0,8
297583,Kyle Abbott,4 Mar 2011,v Warriors,Durban,1,-,DNB,-,-,-,-,-,-,2,4.0,0,27,0,6.75
297583,Kyle Abbott,19 Feb 2012,v Impi,Pietermaritzburg,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,1,6.25
297583,Kyle Abbott,22 Feb 2012,v Knights,Bloemfontein,1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,0,9.25
297583,Kyle Abbott,24 Feb 2012,v Titans,Durban,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,1,6.25
297583,Kyle Abbott,26 Feb 2012,v Cape Cobras,Paarl,1,-,DNB,-,-,-,-,-,-,2,4.0,0,48,1,12
297583,Kyle Abbott,2 Mar 2012,v Warriors,Durban,1,9,1,4,3,0,0,33.33,caught,2,2.3,0,19,0,7.6
297583,Kyle Abbott,7 Mar 2012,v Impi,Benoni,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
297583,Kyle Abbott,9 Mar 2012,v Titans,Centurion,-,-,TDNB,-,-,-,-,-,-,1,2.0,0,13,3,6.5
297583,Kyle Abbott,14 Mar 2012,v Knights,Durban,2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,1,5.5
297583,Kyle Abbott,16 Mar 2012,v Lions,Johannesburg,-,-,TDNB,-,-,-,-,-,-,1,1.0,0,3,0,3
297583,Kyle Abbott,21 Mar 2012,v Cape Cobras,Durban,2,-,DNB,-,-,-,-,-,-,1,4.0,0,40,1,10
297583,Kyle Abbott,3 Mar 2013,v Pakistan,Centurion,2,10,2,5,2,0,0,100,caught,1,4.0,0,41,1,10.25
297583,Kyle Abbott,22 Mar 2013,v Titans,Centurion,1,-,DNB,-,-,-,-,-,-,2,3.0,0,23,1,7.66
297583,Kyle Abbott,28 Mar 2013,v Lions,Johannesburg,2,8,2,16,8,0,0,25,run out,1,4.0,0,19,2,4.75
297583,Kyle Abbott,5 Jan 2014,v Titans,Cape Town,1,-,DNB,-,-,-,-,-,-,2,4.0,1,21,2,5.25
297583,Kyle Abbott,10 Jan 2014,v Knights,Kimberley,2,-,DNB,-,-,-,-,-,-,1,4.0,0,26,1,6.5
297583,Kyle Abbott,17 Jan 2014,v Warriors,Gqeberha,2,9,5*,5,3,1,0,166.66,not out,1,4.0,0,34,1,8.5
297583,Kyle Abbott,19 Jan 2014,v Cape Cobras,Durban,2,9,3*,8,5,0,0,60,not out,1,4.0,1,30,1,7.5
