player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
625960,Kyle Jamieson,4 Dec 2016,v Central D,New Plymouth,2,-,DNB,-,-,-,-,-,-,1,3.0,0,30,0,10
625960,Kyle Jamieson,16 Dec 2016,v Wellington,Wellington,1,-,DNB,-,-,-,-,-,-,2,4.0,0,40,1,10
625960,Kyle Jamieson,26 Dec 2016,v Otago,Alexandra,1,10,6*,9,5,0,0,120,not out,2,4.0,0,19,2,4.75
625960,Kyle Jamieson,29 Dec 2016,v Northern Dis,Mount Maunganui,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,0,8.75
625960,Kyle Jamieson,31 Dec 2016,v Central D,New Plymouth,2,10,8,16,9,1,0,88.88,caught,1,4.0,0,46,1,11.5
625960,Kyle Jamieson,2 Jan 2017,v Northern Dis,Christchurch,1,-,DNB,-,-,-,-,-,-,2,3.0,0,20,2,6.66
625960,Kyle Jamieson,5 Jan 2017,v Wellington,Wellington,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,1,8
625960,Kyle Jamieson,7 Jan 2018,v Wellington,Christchurch,1,-,DNB,-,-,-,-,-,-,2,3.5,0,32,3,8.34
625960,Kyle Jamieson,10 Jan 2018,v Auckland,Auckland,1,9,11,-,7,1,0,157.14,caught,2,4.0,0,23,2,5.75
625960,Kyle Jamieson,14 Jan 2018,v Northern Dis,Hamilton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,48,2,12
625960,Kyle Jamieson,12 Oct 2018,v Pakistan A,ICCA Dubai,1,7,2,-,2,0,0,100,caught,2,4.0,0,12,1,3
625960,Kyle Jamieson,15 Oct 2018,v Pakistan A,ICCA Dubai,2,-,DNB,-,-,-,-,-,-,1,3.0,0,22,1,7.33
625960,Kyle Jamieson,17 Oct 2018,v Pakistan A,ICCA Dubai,2,-,DNB,-,-,-,-,-,-,1,3.0,0,18,0,6
625960,Kyle Jamieson,23 Dec 2018,v Otago,Dunedin,1,7,33*,22,17,3,1,194.11,not out,2,4.0,0,40,2,10
625960,Kyle Jamieson,1 Jan 2019,v Auckland,Auckland,2,-,DNB,-,-,-,-,-,-,1,4.0,0,7,6,1.75
625960,Kyle Jamieson,6 Jan 2019,v Wellington,Wellington,2,9,1,3,4,0,0,25,caught,1,4.0,0,37,1,9.25
625960,Kyle Jamieson,9 Jan 2019,v Northern Dis,Christchurch,1,-,DNB,-,-,-,-,-,-,2,4.0,0,42,2,10.5
625960,Kyle Jamieson,13 Jan 2019,v Central D,Christchurch,1,9,21*,24,17,2,0,123.52,not out,2,4.0,1,20,2,5
625960,Kyle Jamieson,16 Jan 2019,v Northern Dis,Hamilton,2,-,DNB,-,-,-,-,-,-,1,3.0,0,32,0,10.66
625960,Kyle Jamieson,19 Jan 2019,v Central D,Napier,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
625960,Kyle Jamieson,26 Jan 2019,v Auckland,Christchurch,1,8,24,32,22,0,1,109.09,caught,2,4.0,0,24,1,6
625960,Kyle Jamieson,2 Feb 2019,v Otago,Christchurch,1,6,18*,12,10,1,1,180,not out,2,3.2,0,23,4,6.9
625960,Kyle Jamieson,9 Feb 2019,v Wellington,Christchurch,2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,3,5.5
625960,Kyle Jamieson,14 Dec 2019,v Otago,Auckland,2,-,DNB,-,-,-,-,-,-,1,4.0,0,41,0,10.25
625960,Kyle Jamieson,17 Dec 2019,v Canterbury,Christchurch,-,-,TDNB,-,-,-,-,-,-,1,2.0,0,15,0,7.5
625960,Kyle Jamieson,10 Jan 2020,v Northern Dis,Auckland,1,-,DNB,-,-,-,-,-,-,2,4.0,0,41,3,10.25
625960,Kyle Jamieson,12 Jan 2020,v Wellington,Wellington,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,3,8.5
625960,Kyle Jamieson,17 Jan 2020,v Otago,Dunedin,2,9,0*,5,0,0,0,-,not out,1,4.0,0,37,1,9.25
625960,Kyle Jamieson,19 Jan 2020,v Wellington,Wellington,2,10,10*,8,6,1,0,166.66,not out,1,4.0,0,39,1,9.75
625960,Kyle Jamieson,27 Nov 2020,v West Indies,Auckland,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,0,8.66
625960,Kyle Jamieson,29 Nov 2020,v West Indies,Mount Maunganui,1,-,DNB,-,-,-,-,-,-,2,4.0,0,15,2,3.75
625960,Kyle Jamieson,20 Dec 2020,v Pakistan,Hamilton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,0,10.75
625960,Kyle Jamieson,22 Dec 2020,v Pakistan,Napier,1,9,0*,2,0,0,0,-,not out,2,2.4,0,22,1,8.25
625960,Kyle Jamieson,17 Jan 2021,v Northern Dis,Auckland,1,7,18,16,14,0,1,128.57,bowled,2,2.0,0,23,1,11.5
625960,Kyle Jamieson,23 Jan 2021,v Central D,Auckland,1,7,0*,1,0,0,0,-,not out,2,4.0,0,25,0,6.25
625960,Kyle Jamieson,29 Jan 2021,v Northern Dis,Hamilton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,1,8
625960,Kyle Jamieson,1 Feb 2021,v Otago,Auckland,1,7,21*,13,12,1,1,175,not out,2,3.3,0,18,3,5.14
625960,Kyle Jamieson,7 Feb 2021,v Wellington,Auckland,2,7,17,21,12,1,0,141.66,bowled,1,4.0,0,43,0,10.75
625960,Kyle Jamieson,22 Feb 2021,v Australia,Christchurch,1,-,DNB,-,-,-,-,-,-,2,3.0,0,32,1,10.66
625960,Kyle Jamieson,25 Feb 2021,v Australia,Dunedin,1,9,0*,1,0,0,0,-,not out,2,4.0,0,56,0,14
625960,Kyle Jamieson,3 Mar 2021,v Australia,Wellington,2,9,11,12,9,2,0,122.22,lbw,1,4.0,0,38,0,9.5
625960,Kyle Jamieson,5 Mar 2021,v Australia,Wellington,2,9,30,25,18,5,0,166.66,caught,1,4.0,0,49,0,12.25
625960,Kyle Jamieson,9 Apr 2021,v MI,Chennai,2,8,4,15,4,0,0,100,run out,1,4.0,0,27,1,6.75
625960,Kyle Jamieson,14 Apr 2021,v SRH,Chennai,1,8,12,14,9,2,0,133.33,caught,2,3.0,0,30,1,10
625960,Kyle Jamieson,18 Apr 2021,v KKR,Chennai,1,6,11*,15,4,1,1,275,not out,2,3.0,0,41,3,13.66
625960,Kyle Jamieson,22 Apr 2021,v RR,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,1,7
625960,Kyle Jamieson,25 Apr 2021,v CSK,Wankhede,2,7,16,28,13,1,1,123.07,run out,1,3.0,0,31,0,10.33
625960,Kyle Jamieson,27 Apr 2021,v DC,Ahmedabad,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,1,8
625960,Kyle Jamieson,30 Apr 2021,v Punjab Kings,Ahmedabad,2,8,16*,24,11,1,1,145.45,not out,1,3.0,0,32,2,10.66
625960,Kyle Jamieson,25 Jun 2021,v Middlesex,The Oval,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,0,8.66
625960,Kyle Jamieson,27 Jun 2021,v Sussex,Hove,1,7,7*,10,5,1,0,140,not out,2,1.5,0,17,0,9.27
625960,Kyle Jamieson,29 Jun 2021,v Glamorgan,Cardiff,2,8,31,19,15,3,2,206.66,run out,1,3.0,0,27,1,9
625960,Kyle Jamieson,30 Jun 2021,v Hampshire,Southampton,1,7,9*,13,11,0,0,81.81,not out,2,4.0,0,33,0,8.25
625960,Kyle Jamieson,2 Jul 2021,v Kent,Canterbury,2,6,0,2,1,0,0,0,caught,1,2.0,0,29,0,14.5
625960,Kyle Jamieson,20 Sep 2021,v KKR,Abu Dhabi,1,8,4,17,12,0,0,33.33,run out,2,2.0,0,26,0,13
625960,Kyle Jamieson,26 Sep 2021,v MI,Dubai (DICS),1,8,2*,4,2,0,0,100,not out,2,2.0,0,22,0,11
625960,Kyle Jamieson,20 Jan 2023,v Wellington,Auckland,2,7,12*,38,11,1,0,109.09,not out,1,4.0,0,18,1,4.5
625960,Kyle Jamieson,22 Jan 2023,v Northern Dis,Mount Maunganui,2,7,45*,62,36,6,1,125,not out,1,4.0,0,26,1,6.5
625960,Kyle Jamieson,5 Feb 2023,v Wellington,Wellington,1,7,3,7,6,0,0,50,caught,2,4.0,1,24,1,6
625960,Kyle Jamieson,17 Aug 2023,v U.A.E.,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,2.4,0,20,1,7.5
625960,Kyle Jamieson,19 Aug 2023,v U.A.E.,Dubai (DICS),1,9,8*,-,6,0,0,133.33,not out,2,3.0,0,30,1,10
625960,Kyle Jamieson,20 Aug 2023,v U.A.E.,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,1,5.75
625960,Kyle Jamieson,3 Sep 2023,v England,Birmingham,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,3,5.75
625960,Kyle Jamieson,5 Sep 2023,v England,Nottingham,2,-,DNB,-,-,-,-,-,-,1,2.0,0,35,0,17.5
625960,Kyle Jamieson,26 Jan 2024,v Wellington,Hamilton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,31,1,7.75
625960,Kyle Jamieson,28 Jan 2024,v Auckland,Auckland,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
625960,Kyle Jamieson,27 Dec 2024,v Otago,Alexandra,2,8,2,4,3,0,0,66.66,bowled,1,4.0,0,26,2,6.5
625960,Kyle Jamieson,3 Jan 2025,v Auckland,Auckland,2,8,2,4,3,0,0,66.66,caught,1,4.0,0,26,0,6.5
625960,Kyle Jamieson,7 Jan 2025,v Otago,Christchurch,1,9,12*,11,7,1,0,171.42,not out,2,4.0,0,26,0,6.5
625960,Kyle Jamieson,10 Jan 2025,v Auckland,Christchurch,1,9,3,12,5,0,0,60,bowled,2,4.0,0,20,1,5
625960,Kyle Jamieson,17 Jan 2025,v Central D,Napier,2,9,10*,13,6,1,0,166.66,not out,1,4.0,0,34,1,8.5
625960,Kyle Jamieson,19 Jan 2025,v Northern Dis,Hamilton,1,9,12*,10,6,1,1,200,not out,2,2.0,0,18,0,9
625960,Kyle Jamieson,22 Jan 2025,v Wellington,Wellington,1,-,DNB,-,-,-,-,-,-,2,3.0,0,16,0,5.33
625960,Kyle Jamieson,24 Jan 2025,v Wellington,Christchurch,2,8,0,1,1,0,0,0,bowled,1,4.0,0,27,1,6.75
625960,Kyle Jamieson,26 Jan 2025,v Central D,Christchurch,-,-,TDNB,-,-,-,-,-,-,1,4.0,0,12,4,3
625960,Kyle Jamieson,28 Jan 2025,v Northern Dis,Christchurch,1,9,2*,1,1,0,0,200,not out,2,3.0,0,14,0,4.66
625960,Kyle Jamieson,1 Feb 2025,v Northern Dis,Wellington,2,-,DNB,-,-,-,-,-,-,1,4.0,0,19,3,4.75
625960,Kyle Jamieson,2 Feb 2025,v Central D,Wellington,1,9,4*,4,3,0,0,133.33,not out,2,4.0,0,24,2,6
625960,Kyle Jamieson,16 Mar 2025,v Pakistan,Christchurch,2,-,DNB,-,-,-,-,-,-,1,4.0,1,8,3,2
625960,Kyle Jamieson,21 Mar 2025,v Pakistan,Auckland,1,8,0,-,1,0,0,0,bowled,2,4.0,0,54,0,13.5
625960,Kyle Jamieson,12 Apr 2025,v Zalmi,Rawalpindi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,1,9.33
625960,Kyle Jamieson,3 May 2025,v United,Lahore,2,8,3,-,7,0,0,42.85,caught,1,4.0,0,35,1,8.75
625960,Kyle Jamieson,26 May 2025,v MI,Jaipur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,42,0,10.5
625960,Kyle Jamieson,29 May 2025,v RCB,New Chandigarh,1,11,0*,3,3,0,0,0,not out,2,3.0,1,27,1,9
625960,Kyle Jamieson,1 Jun 2025,v MI,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,1,7.5
625960,Kyle Jamieson,3 Jun 2025,v RCB,Ahmedabad,2,9,0*,10,2,0,0,0,not out,1,4.0,0,48,3,12
625960,Kyle Jamieson,1 Oct 2025,v Australia,Mount Maunganui,1,-,DNB,-,-,-,-,-,-,2,4.0,0,46,1,11.5
625960,Kyle Jamieson,18 Oct 2025,v England,Christchurch,-,-,TDNB,-,-,-,-,-,-,1,4.0,0,27,1,6.75
625960,Kyle Jamieson,20 Oct 2025,v England,Christchurch,2,9,8*,8,6,1,0,133.33,not out,1,4.0,0,47,2,11.75
625960,Kyle Jamieson,5 Nov 2025,v West Indies,Auckland,2,10,2,4,3,0,0,66.66,caught,1,4.0,0,30,1,7.5
625960,Kyle Jamieson,6 Nov 2025,v West Indies,Auckland,1,-,DNB,-,-,-,-,-,-,2,4.0,0,51,1,12.75
625960,Kyle Jamieson,9 Nov 2025,v West Indies,Nelson,1,9,4,6,4,0,0,100,run out,2,3.5,0,35,1,9.13
625960,Kyle Jamieson,10 Nov 2025,v West Indies,Nelson,-,-,TDNB,-,-,-,-,-,-,1,2.0,0,15,0,7.5
625960,Kyle Jamieson,13 Nov 2025,v West Indies,Dunedin,2,-,DNB,-,-,-,-,-,-,1,2.0,0,13,1,6.5
625960,Kyle Jamieson,28 Dec 2025,v Otago,Alexandra,1,7,5*,4,4,0,0,125,not out,2,4.0,0,34,0,8.5
625960,Kyle Jamieson,1 Jan 2026,v Central D,Christchurch,1,7,1,3,2,0,0,50,caught,2,4.0,0,23,1,5.75
625960,Kyle Jamieson,21 Jan 2026,v India,Nagpur,2,9,1*,2,2,0,0,50,not out,1,4.0,0,54,2,13.5
625960,Kyle Jamieson,25 Jan 2026,v India,Guwahati,1,8,3,9,5,0,0,60,bowled,2,1.0,0,17,0,17
625960,Kyle Jamieson,31 Jan 2026,v India,Thiruvananthapuram,2,8,9,6,5,2,0,180,bowled,1,4.0,0,59,1,14.75
625960,Kyle Jamieson,17 Feb 2026,v Canada,Chennai,2,-,DNB,-,-,-,-,-,-,1,4.0,0,41,1,10.25
625960,Kyle Jamieson,15 Mar 2026,v South Africa,Mount Maunganui,1,10,2,3,5,0,0,40,bowled,2,3.4,0,28,1,7.63
625960,Kyle Jamieson,17 Mar 2026,v South Africa,Hamilton,1,-,DNB,-,-,-,-,-,-,2,3.0,0,22,0,7.33
