player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
348056,Kyle Mayers,10 Jan 2012,v Jamaica,North Sound,1,7,1,-,2,0,0,50,caught,2,1.0,0,10,0,10
348056,Kyle Mayers,14 Jan 2012,v Sussex,North Sound,1,5,33,-,31,1,2,106.45,caught,2,2.0,0,13,0,6.5
348056,Kyle Mayers,18 Jan 2012,v Netherlands,Bridgetown,2,4,24,-,28,2,0,85.71,caught,1,4.0,0,22,1,5.5
348056,Kyle Mayers,20 Jan 2012,v Barbados,Bridgetown,1,4,0,-,2,0,0,0,run out,2,DNB,-,-,-,-
348056,Kyle Mayers,6 Sep 2012,v BCB XI,Port of Spain,1,3,18,18,7,0,2,257.14,run out,2,0.3,0,12,0,24
348056,Kyle Mayers,7 Sep 2012,v Trinidad & T,Port of Spain,1,6,17*,10,7,1,1,242.85,not out,2,2.0,0,11,0,5.5
348056,Kyle Mayers,8 Sep 2012,v Afghanistan,Port of Spain,1,7,39*,33,25,4,1,156,not out,2,4.0,0,21,1,5.25
348056,Kyle Mayers,7 Jan 2013,v Leeward Is,Port of Spain,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
348056,Kyle Mayers,8 Jan 2013,v Jamaica,Port of Spain,2,7,17*,23,11,0,1,154.54,not out,1,DNB,-,-,-,-
348056,Kyle Mayers,10 Jan 2013,v Guyana,Port of Spain,2,6,1,-,5,0,0,20,run out,1,DNB,-,-,-,-
348056,Kyle Mayers,11 Jan 2013,v Comb C&C,Port of Spain,2,7,34,-,35,2,2,97.14,caught,1,DNB,-,-,-,-
348056,Kyle Mayers,16 Jan 2013,v Trinidad & T,Gros Islet,1,5,4,-,9,1,0,44.44,caught,2,DNB,-,-,-,-
348056,Kyle Mayers,17 Jan 2013,v Windward Is,Gros Islet,1,6,37,-,21,0,4,176.19,caught,2,DNB,-,-,-,-
348056,Kyle Mayers,18 Jun 2013,v Sri Lanka A,Kingstown,-,-,TDNB,-,-,-,-,-,-,1,DNB,-,-,-,-
348056,Kyle Mayers,19 Jun 2013,v Sri Lanka A,Kingstown,2,7,0*,2,0,0,0,-,not out,1,DNB,-,-,-,-
348056,Kyle Mayers,30 Jul 2013,v Zouks,Bridgetown,1,7,2*,-,2,0,0,100,not out,2,DNB,-,-,-,-
348056,Kyle Mayers,1 Aug 2013,v Hawksbills,Bridgetown,1,7,1,-,2,0,0,50,caught,2,DNB,-,-,-,-
348056,Kyle Mayers,3 Aug 2013,v Red Steel,Bridgetown,2,4,3,-,6,0,0,50,caught,1,DNB,-,-,-,-
348056,Kyle Mayers,8 Aug 2013,v Zouks,Gros Islet,1,7,14,-,10,3,0,140,bowled,2,DNB,-,-,-,-
348056,Kyle Mayers,11 Aug 2013,v Amazon,Port of Spain,2,5,2,-,6,0,0,33.33,caught,1,DNB,-,-,-,-
348056,Kyle Mayers,17 Aug 2013,v Tallawahs,Kingston,1,6,3*,-,9,0,0,33.33,not out,2,DNB,-,-,-,-
348056,Kyle Mayers,23 Aug 2013,v Tallawahs,Port of Spain,1,7,12*,-,6,1,0,200,not out,2,DNB,-,-,-,-
348056,Kyle Mayers,31 Jul 2014,v Zouks,Gros Islet,2,8,13,-,13,0,1,100,bowled,1,4.0,0,39,2,9.75
348056,Kyle Mayers,10 Aug 2014,v Tallawahs,Basseterre,1,8,0,-,1,0,0,0,bowled,2,DNB,-,-,-,-
348056,Kyle Mayers,16 Aug 2014,v Amazon,Basseterre,1,-,DNB,-,-,-,-,-,-,2,2.0,0,9,1,4.5
348056,Kyle Mayers,28 Sep 2014,v Hurricanes,Mohali,1,9,5*,14,8,0,0,62.5,not out,2,1.0,0,9,1,9
348056,Kyle Mayers,30 Sep 2014,v Northern Dis,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,17,0,4.25
348056,Kyle Mayers,21 Jun 2015,v Red Steel,Gros Islet,1,6,19,-,10,2,0,190,run out,2,DNB,-,-,-,-
