player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
853265,Mahipal Lomror,30 Jan 2017,v M. Pradesh,Jaipur,2,3,28,24,24,2,1,116.66,caught,1,1.0,0,9,0,9
853265,Mahipal Lomror,31 Jan 2017,v UP,Jaipur,1,7,2,4,2,0,0,100,run out,2,4.0,0,41,2,10.25
853265,Mahipal Lomror,2 Feb 2017,v Chhattisgarh,Jaipur,1,5,14,15,14,1,0,100,caught,2,3.0,0,25,0,8.33
853265,Mahipal Lomror,4 Feb 2017,v Vidarbha,Jaipur,1,6,38*,43,27,2,1,140.74,not out,2,2.0,0,17,0,8.5
853265,Mahipal Lomror,5 Feb 2017,v Railways,Jaipur,1,3,65,56,43,7,3,151.16,caught,2,1.0,0,8,0,8
853265,Mahipal Lomror,12 Feb 2017,v West Zone,Wankhede,2,2,14,19,13,2,0,107.69,bowled,1,DNB,-,-,-,-
853265,Mahipal Lomror,13 Feb 2017,v East Zone,Wankhede,1,2,1,2,2,0,0,50,run out,2,4.0,0,31,2,7.75
853265,Mahipal Lomror,15 Feb 2017,v North Zone,Wankhede,1,2,1,8,4,0,0,25,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,8 Jan 2018,v M. Pradesh,Raipur,1,4,10,23,14,1,0,71.42,caught,2,1.0,0,11,0,11
853265,Mahipal Lomror,9 Jan 2018,v UP,Raipur,2,5,27,33,19,3,0,142.1,caught,1,1.0,0,11,0,11
853265,Mahipal Lomror,12 Jan 2018,v Chhattisgarh,Raipur,2,5,29*,38,24,1,1,120.83,not out,1,1.0,0,10,0,10
853265,Mahipal Lomror,13 Jan 2018,v Vidarbha,Raipur,2,4,15,10,8,3,0,187.5,caught,1,2.0,0,18,0,9
853265,Mahipal Lomror,16 Jan 2018,v Railways,Raipur,1,4,20,31,22,2,0,90.9,caught,2,2.0,0,16,0,8
853265,Mahipal Lomror,22 Jan 2018,v Jharkhand,Kolkata,2,3,6,8,5,1,0,120,run out,1,DNB,-,-,-,-
853265,Mahipal Lomror,23 Jan 2018,v Karnataka,Kolkata,1,5,10,15,8,1,0,125,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,24 Jan 2018,v Mumbai,Eden Gardens,1,4,74,87,55,4,4,134.54,bowled,2,DNB,-,-,-,-
853265,Mahipal Lomror,25 Jan 2018,v Punjab,Eden Gardens,2,4,21,29,21,4,0,100,caught,1,2.1,0,16,0,7.38
853265,Mahipal Lomror,26 Jan 2018,v Delhi,Eden Gardens,2,4,17,28,16,0,1,106.25,caught,1,1.0,0,3,0,3
853265,Mahipal Lomror,29 Apr 2018,v SRH,Jaipur,2,6,11,-,12,0,0,91.66,caught,1,1.0,0,8,0,8
853265,Mahipal Lomror,8 May 2018,v Kings XI,Jaipur,1,7,9*,-,9,1,0,100,not out,2,2.0,0,19,0,9.5
853265,Mahipal Lomror,21 Feb 2019,v Tamil Nadu,Surat,1,4,78*,-,52,6,4,150,not out,2,DNB,-,-,-,-
853265,Mahipal Lomror,22 Feb 2019,v Gujarat,Surat,1,3,17,-,13,3,0,130.76,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,24 Feb 2019,v Meghalaya,Surat,1,4,47,-,46,6,0,102.17,caught,2,3.0,0,10,0,3.33
853265,Mahipal Lomror,25 Feb 2019,v Vidarbha,Surat,2,4,2,-,6,0,0,33.33,run out,1,DNB,-,-,-,-
853265,Mahipal Lomror,28 Feb 2019,v Himachal,Surat,2,3,27,-,26,4,0,103.84,caught,1,1.0,0,7,0,7
853265,Mahipal Lomror,2 Mar 2019,v Bihar,Surat,1,4,29,-,25,3,0,116,bowled,2,4.0,0,14,0,3.5
853265,Mahipal Lomror,30 Apr 2019,v RCB,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
853265,Mahipal Lomror,4 May 2019,v DC,Delhi,1,4,8,8,3,2,0,266.66,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,8 Nov 2019,v Manipur,Thiruvananthapuram,1,3,25*,-,16,0,3,156.25,not out,2,DNB,-,-,-,-
853265,Mahipal Lomror,9 Nov 2019,v Tamil Nadu,Thumba,2,4,32,-,36,1,1,88.88,caught,1,1.0,0,11,0,11
853265,Mahipal Lomror,12 Nov 2019,v Vidarbha,Thiruvananthapuram,2,3,2,-,6,0,0,33.33,caught,1,1.0,0,9,1,9
853265,Mahipal Lomror,14 Nov 2019,v UP,Thiruvananthapuram,2,4,18,-,23,0,1,78.26,caught,1,2.0,0,15,0,7.5
853265,Mahipal Lomror,15 Nov 2019,v Kerala,Thiruvananthapuram,2,4,3,-,5,0,0,60,caught,1,2.0,0,13,0,6.5
853265,Mahipal Lomror,17 Nov 2019,v Tripura,Thumba,2,2,50*,-,18,3,5,277.77,not out,1,1.0,0,6,0,6
853265,Mahipal Lomror,21 Nov 2019,v Baroda,Surat,2,4,14,-,9,1,1,155.55,caught,1,2.0,0,28,0,14
853265,Mahipal Lomror,22 Nov 2019,v Haryana,Surat,1,3,5,-,9,1,0,55.55,bowled,2,2.2,0,16,1,6.85
853265,Mahipal Lomror,25 Nov 2019,v Maharashtra,Surat,2,3,35*,-,34,1,2,102.94,not out,1,4.0,0,8,0,2
853265,Mahipal Lomror,27 Nov 2019,v Delhi,Surat,1,4,0,-,3,0,0,0,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,29 Nov 2019,v Tamil Nadu,Surat,1,3,6,-,15,0,0,40,caught,2,0.5,0,5,0,6
853265,Mahipal Lomror,3 Oct 2020,v RCB,Abu Dhabi,1,5,47,-,39,1,3,120.51,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,6 Oct 2020,v MI,Abu Dhabi,2,5,11,-,13,1,0,84.61,caught,1,DNB,-,-,-,-
853265,Mahipal Lomror,9 Oct 2020,v DC,Sharjah,2,5,1,-,2,0,0,50,caught,1,DNB,-,-,-,-
853265,Mahipal Lomror,11 Jan 2021,v Vidarbha,Indore,2,3,0,1,1,0,0,0,lbw,1,DNB,-,-,-,-
853265,Mahipal Lomror,13 Jan 2021,v M. Pradesh,Indore,1,5,51,-,27,4,3,188.88,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,15 Jan 2021,v Services,Indore,2,5,3,-,6,0,0,50,caught,1,DNB,-,-,-,-
853265,Mahipal Lomror,17 Jan 2021,v Goa,Indore,2,6,14,-,24,0,0,58.33,caught,1,DNB,-,-,-,-
853265,Mahipal Lomror,19 Jan 2021,v Saurashtra,Indore,1,6,24*,-,8,2,2,300,not out,2,DNB,-,-,-,-
853265,Mahipal Lomror,27 Jan 2021,v Bihar,Ahmedabad,1,4,78*,-,37,5,5,210.81,not out,2,1.0,0,6,0,6
853265,Mahipal Lomror,29 Jan 2021,v Tamil Nadu,Ahmedabad,1,5,3,-,5,0,0,60,caught,2,DNB,-,-,-,-
853265,Mahipal Lomror,21 Sep 2021,v Punjab Kings,Dubai (DICS),1,5,43,28,17,2,4,252.94,caught,2,1.0,0,7,0,7
853265,Mahipal Lomror,25 Sep 2021,v DC,Abu Dhabi,2,5,19,23,24,0,1,79.16,caught,1,1.0,0,5,0,5
853265,Mahipal Lomror,27 Sep 2021,v SRH,Dubai (DICS),1,5,29*,49,28,1,1,103.57,not out,2,3.0,0,22,1,7.33
853265,Mahipal Lomror,29 Sep 2021,v RCB,Dubai (DICS),1,4,3,10,4,0,0,75,stumped,2,2.0,0,13,0,6.5
