player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
393279,Marchant de Lange,30 Oct 2011,v Free State,Bloemfontein,1,6,4*,3,3,0,0,133.33,not out,2,4.0,0,38,2,9.5
393279,Marchant de Lange,19 Feb 2012,v New Zealand,Hamilton,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,1,10.75
393279,Marchant de Lange,22 Feb 2012,v New Zealand,Auckland,1,-,DNB,-,-,-,-,-,-,2,4.0,0,36,2,9
393279,Marchant de Lange,5 Apr 2012,v Daredevils,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,3.0,0,36,0,12
393279,Marchant de Lange,5 May 2012,v Warriors,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,4.0,0,34,3,8.5
393279,Marchant de Lange,14 May 2012,v CSK,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,3.0,0,37,0,12.33
393279,Marchant de Lange,19 Jun 2012,v Bdesh XI,Harare,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,2,8.25
393279,Marchant de Lange,20 Jun 2012,v Zimbabwe XI,Harare,2,10,3,5,4,0,0,75,bowled,1,3.0,0,23,1,7.66
393279,Marchant de Lange,22 Jun 2012,v Bdesh XI,Harare,1,-,DNB,-,-,-,-,-,-,2,3.0,0,25,3,8.33
393279,Marchant de Lange,20 Jan 2013,v Boland,Benoni,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
393279,Marchant de Lange,20 Feb 2013,v Lions,Johannesburg,1,9,5*,3,2,1,0,250,not out,2,3.0,0,28,0,9.33
393279,Marchant de Lange,22 Feb 2013,v Warriors,Gqeberha,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,2,7
393279,Marchant de Lange,28 Feb 2013,v Cape Cobras,Benoni,2,-,DNB,-,-,-,-,-,-,1,3.0,0,19,0,6.33
393279,Marchant de Lange,6 Mar 2013,v Knights,Centurion,2,10,9*,6,4,0,1,225,not out,1,3.0,0,26,0,8.66
393279,Marchant de Lange,8 Mar 2013,v Warriors,Benoni,2,8,5*,5,3,1,0,166.66,not out,1,4.0,0,29,2,7.25
393279,Marchant de Lange,12 Mar 2013,v Cape Cobras,Paarl,1,-,DNB,-,-,-,-,-,-,2,4.0,0,48,0,12
393279,Marchant de Lange,7 Apr 2013,v Lions,Johannesburg,2,11,0*,4,2,0,0,0,not out,1,4.0,0,31,1,7.75
393279,Marchant de Lange,22 Sep 2013,v CSK,Ranchi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,34,0,11.33
393279,Marchant de Lange,24 Sep 2013,v Heat,Mohali,1,10,0*,3,0,0,0,-,not out,2,4.0,0,13,3,3.25
393279,Marchant de Lange,28 Sep 2013,v SRH,Ranchi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,42,1,10.5
393279,Marchant de Lange,30 Sep 2013,v Trinidad & T,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,3,9.5
393279,Marchant de Lange,2 Feb 2014,v Northerns,Centurion,1,7,9*,6,5,1,0,180,not out,2,3.0,0,29,0,9.66
393279,Marchant de Lange,23 Feb 2014,v Griq West,Benoni,2,8,2,6,3,0,0,66.66,bowled,1,4.0,1,15,0,3.75
393279,Marchant de Lange,1 Mar 2014,v Namibia,Benoni,2,-,DNB,-,-,-,-,-,-,1,4.0,0,24,1,6
393279,Marchant de Lange,16 Mar 2014,v Gauteng,Johannesburg,1,8,9,8,7,1,0,128.57,caught,2,4.0,0,46,1,11.5
