player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
226492,Martin Guptill,20 Jan 2006,v Northern Dis,Hamilton,2,3,29*,25,29,3,2,100,not out,1,DNB,-,-,-,-
226492,Martin Guptill,21 Jan 2007,v Canterbury,Christchurch,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
226492,Martin Guptill,28 Jan 2007,v Northern Dis,Hamilton,2,2,38,42,35,3,2,108.57,bowled,1,DNB,-,-,-,-
226492,Martin Guptill,29 Jan 2007,v Central D,Auckland,1,2,33,39,26,5,0,126.92,lbw,2,DNB,-,-,-,-
226492,Martin Guptill,4 Feb 2007,v Otago,Auckland,1,2,36,34,25,1,3,144,caught,2,DNB,-,-,-,-
226492,Martin Guptill,18 Jan 2008,v Otago,Dunedin,2,2,5,6,6,0,0,83.33,caught,1,DNB,-,-,-,-
226492,Martin Guptill,20 Jan 2008,v Northern Dis,Auckland,1,2,43,44,42,3,1,102.38,bowled,2,DNB,-,-,-,-
226492,Martin Guptill,23 Jan 2008,v Canterbury,Auckland,1,2,5,10,9,0,0,55.55,caught,2,DNB,-,-,-,-
226492,Martin Guptill,28 Jan 2008,v Wellington,Auckland,2,2,19,10,15,3,1,126.66,caught,1,DNB,-,-,-,-
226492,Martin Guptill,30 Jan 2008,v Central D,New Plymouth,2,2,55,20,18,4,5,305.55,caught,1,DNB,-,-,-,-
226492,Martin Guptill,15 Feb 2009,v Australia,Sydney,2,2,0,2,2,0,0,0,lbw,1,DNB,-,-,-,-
226492,Martin Guptill,18 Feb 2009,v Wellington,Wellington,2,1,43,21,21,5,3,204.76,bowled,1,DNB,-,-,-,-
226492,Martin Guptill,22 Feb 2009,v Otago,Auckland,2,1,6,26,12,0,1,50,caught,1,DNB,-,-,-,-
226492,Martin Guptill,25 Feb 2009,v India,Christchurch,2,3,41,26,28,4,3,146.42,lbw,1,DNB,-,-,-,-
226492,Martin Guptill,27 Feb 2009,v India,Wellington,2,3,10,15,19,1,0,52.63,lbw,1,DNB,-,-,-,-
226492,Martin Guptill,6 Jun 2009,v Scotland,The Oval,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
