player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
230193,Matthew Wade,21 Jan 2009,v Queensland,Brisbane,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
230193,Matthew Wade,24 Jan 2009,v NSW,Sydney,1,3,8,16,12,1,0,66.66,caught,2,DNB,-,-,-,-
230193,Matthew Wade,9 Oct 2009,v Daredevils,Delhi,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
230193,Matthew Wade,13 Oct 2009,v Wayamba,Delhi,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
230193,Matthew Wade,15 Oct 2009,v RCB,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
230193,Matthew Wade,17 Oct 2009,v Cape Cobras,Bengaluru,1,7,18*,12,10,3,0,180,not out,2,DNB,-,-,-,-
230193,Matthew Wade,21 Oct 2009,v NSW,Delhi,2,7,23*,-,29,0,1,79.31,not out,1,DNB,-,-,-,-
230193,Matthew Wade,28 Dec 2009,v Queensland,Brisbane,1,8,11*,8,6,1,0,183.33,not out,2,DNB,-,-,-,-
230193,Matthew Wade,2 Jan 2010,v NSW,Melbourne,2,2,41,29,24,4,2,170.83,caught,1,DNB,-,-,-,-
230193,Matthew Wade,7 Jan 2010,v South Aust,Adelaide,2,2,4,7,2,1,0,200,caught,1,DNB,-,-,-,-
230193,Matthew Wade,10 Jan 2010,v West Aust,W.A.C.A,2,1,6,8,10,1,0,60,bowled,1,DNB,-,-,-,-
230193,Matthew Wade,19 Jan 2010,v Queensland,Brisbane,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
230193,Matthew Wade,23 Jan 2010,v South Aust,Adelaide,1,6,1,3,2,0,0,50,caught,2,DNB,-,-,-,-
230193,Matthew Wade,2 Jul 2010,v Sri Lanka A,Townsville,1,2,80,-,50,9,2,160,caught,2,DNB,-,-,-,-
230193,Matthew Wade,13 Sep 2010,v Warriors,Gqeberha,2,6,0,4,2,0,0,0,bowled,1,DNB,-,-,-,-
230193,Matthew Wade,15 Sep 2010,v Central D,Centurion,2,3,9,9,10,1,0,90,run out,1,DNB,-,-,-,-
230193,Matthew Wade,18 Sep 2010,v CSK,Gqeberha,2,3,31,30,23,4,1,134.78,caught,1,DNB,-,-,-,-
230193,Matthew Wade,20 Sep 2010,v Wayamba,Centurion,2,3,5,15,12,0,0,41.66,bowled,1,DNB,-,-,-,-
230193,Matthew Wade,2 Jan 2011,v Queensland,Melbourne,1,3,19,18,13,1,1,146.15,caught,2,DNB,-,-,-,-
230193,Matthew Wade,8 Jan 2011,v South Aust,Adelaide,2,3,1,-,3,0,0,33.33,caught,1,DNB,-,-,-,-
230193,Matthew Wade,11 Jan 2011,v Tasmania,Hobart,1,3,9,-,11,1,0,81.81,caught,2,DNB,-,-,-,-
230193,Matthew Wade,18 Jan 2011,v West Aust,W.A.C.A,1,4,1,6,5,0,0,20,caught,2,DNB,-,-,-,-
230193,Matthew Wade,22 Jan 2011,v NSW,Melbourne,2,4,8,-,11,0,0,72.72,caught,1,DNB,-,-,-,-
230193,Matthew Wade,28 Jan 2011,v South Aust,Melbourne,1,5,52*,-,31,3,4,167.74,not out,2,DNB,-,-,-,-
230193,Matthew Wade,17 Apr 2011,v Warriors,DY Patil,2,5,3,-,4,0,0,75,lbw,1,DNB,-,-,-,-
230193,Matthew Wade,26 Apr 2011,v RCB,Delhi,1,4,8,-,9,0,0,88.88,bowled,2,DNB,-,-,-,-
230193,Matthew Wade,21 May 2011,v Warriors,Delhi,1,3,11,-,20,0,0,55,bowled,-,TDNB,-,-,-,-
230193,Matthew Wade,13 Oct 2011,v South Africa,Cape Town,2,7,1*,5,1,0,0,100,not out,1,DNB,-,-,-,-
230193,Matthew Wade,16 Oct 2011,v South Africa,Johannesburg,1,2,10,21,13,0,1,76.92,caught,2,DNB,-,-,-,-
230193,Matthew Wade,17 Dec 2011,v Thunder,Melbourne,1,2,14,29,14,1,0,100,caught,2,DNB,-,-,-,-
230193,Matthew Wade,20 Dec 2011,v Heat,Brisbane,1,2,5,7,4,0,0,125,caught,2,DNB,-,-,-,-
230193,Matthew Wade,27 Dec 2011,v Sixers,Sydney,2,2,1,7,2,0,0,50,caught,1,DNB,-,-,-,-
230193,Matthew Wade,4 Jan 2012,v Scorchers,Melbourne,2,5,53*,50,43,3,0,123.25,not out,1,DNB,-,-,-,-
230193,Matthew Wade,7 Jan 2012,v Renegades,Melbourne,1,6,32*,17,15,0,3,213.33,not out,2,DNB,-,-,-,-
230193,Matthew Wade,9 Jan 2012,v Hurricanes,Hobart,1,4,3,-,3,0,0,100,caught,2,DNB,-,-,-,-
230193,Matthew Wade,19 Jan 2012,v Strikers,Melbourne,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
