player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1081442,Mayank Markande,14 Jan 2018,v J & K,Delhi,2,11,0*,1,0,0,0,-,not out,1,4.0,0,21,1,5.25
1081442,Mayank Markande,15 Jan 2018,v Himachal,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,2,8.75
1081442,Mayank Markande,22 Jan 2018,v Mumbai,Kolkata,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,2,8
1081442,Mayank Markande,25 Jan 2018,v Rajasthan,Eden Gardens,1,11,1*,3,2,0,0,50,not out,2,4.0,0,31,0,7.75
1081442,Mayank Markande,7 Apr 2018,v CSK,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,3,5.75
1081442,Mayank Markande,12 Apr 2018,v SRH,Hyderabad,1,9,6*,-,3,1,0,200,not out,2,4.0,0,23,4,5.75
1081442,Mayank Markande,14 Apr 2018,v Daredevils,Wankhede,1,9,4*,-,3,0,0,133.33,not out,2,3.0,0,42,0,14
1081442,Mayank Markande,17 Apr 2018,v RCB,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,1,6.25
1081442,Mayank Markande,22 Apr 2018,v RR,Jaipur,1,9,0*,-,1,0,0,0,not out,2,2.0,0,15,0,7.5
1081442,Mayank Markande,24 Apr 2018,v SRH,Wankhede,2,9,1,-,2,0,0,50,lbw,1,3.0,0,15,2,5
1081442,Mayank Markande,28 Apr 2018,v CSK,Pune,2,-,DNB,-,-,-,-,-,-,1,3.0,0,30,0,10
1081442,Mayank Markande,1 May 2018,v RCB,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,3.0,0,28,1,9.33
1081442,Mayank Markande,4 May 2018,v Kings XI,Indore,2,-,DNB,-,-,-,-,-,-,1,3.0,0,29,1,9.66
1081442,Mayank Markande,6 May 2018,v KKR,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,25,1,8.33
1081442,Mayank Markande,9 May 2018,v KKR,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,1,6.5
