player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
319439,Mitchell McClenaghan,6 Feb 2009,v Auckland,New Plymouth,1,11,2*,-,2,0,0,100,not out,2,2.5,0,27,1,9.52
319439,Mitchell McClenaghan,11 Feb 2009,v Northern Dis,Hamilton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,22,2,5.5
319439,Mitchell McClenaghan,15 Feb 2009,v Canterbury,Christchurch,2,11,2*,2,1,0,0,200,not out,1,2.0,0,14,2,7
319439,Mitchell McClenaghan,11 Sep 2010,v CSK,Durban,2,11,0,1,1,0,0,0,caught,1,4.0,0,34,0,8.5
319439,Mitchell McClenaghan,22 Sep 2010,v Wayamba,Gqeberha,2,11,7,5,7,0,0,100,bowled,1,4.0,0,27,1,6.75
319439,Mitchell McClenaghan,27 Dec 2010,v Wellington,Wellington,1,-,DNB,-,-,-,-,-,-,2,1.0,0,8,0,8
319439,Mitchell McClenaghan,29 Dec 2010,v Auckland,New Plymouth,2,-,DNB,-,-,-,-,-,-,1,2.0,0,20,2,10
319439,Mitchell McClenaghan,16 Nov 2012,v Wellington,Wellington,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,3,4.5
319439,Mitchell McClenaghan,21 Dec 2012,v South Africa,Durban,1,11,0,5,3,0,0,0,caught,2,3.0,1,20,1,6.66
319439,Mitchell McClenaghan,23 Dec 2012,v South Africa,East London,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,1,8
319439,Mitchell McClenaghan,26 Dec 2012,v South Africa,Gqeberha,2,11,1*,4,1,0,0,100,not out,1,4.0,0,24,2,6
319439,Mitchell McClenaghan,9 Feb 2013,v England,Auckland,2,11,6*,6,7,1,0,85.71,not out,1,4.0,0,29,1,7.25
319439,Mitchell McClenaghan,12 Feb 2013,v England,Hamilton,1,-,DNB,-,-,-,-,-,-,2,4.0,0,24,2,6
319439,Mitchell McClenaghan,15 Feb 2013,v England,Wellington,1,-,DNB,-,-,-,-,-,-,2,3.0,1,38,0,12.66
319439,Mitchell McClenaghan,25 Jun 2013,v England,The Oval,1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,1,9.25
319439,Mitchell McClenaghan,27 Jun 2013,v England,The Oval,-,-,TDNB,-,-,-,-,-,-,1,0.2,0,2,1,6
319439,Mitchell McClenaghan,28 Jun 2013,v Durham,Chester-le-Street,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,3,8.75
319439,Mitchell McClenaghan,1 Jul 2013,v Notts,Manchester,1,-,DNB,-,-,-,-,-,-,2,4.0,0,29,5,7.25
319439,Mitchell McClenaghan,2 Jul 2013,v Derbyshire,Derby,1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,0,9.25
319439,Mitchell McClenaghan,5 Jul 2013,v Yorkshire,Leeds,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,0,8.66
319439,Mitchell McClenaghan,7 Jul 2013,v Leics,Manchester,1,-,DNB,-,-,-,-,-,-,2,4.0,0,36,2,9
