player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
926851,Mukesh Kumar,6 Jan 2016,v Gujarat,Nagpur,1,11,0*,1,1,0,0,0,not out,2,2.0,0,13,0,6.5
926851,Mukesh Kumar,7 Jan 2016,v Vidarbha,Nagpur,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,2,5.75
926851,Mukesh Kumar,9 Jan 2016,v Haryana,Nagpur,2,10,1*,5,1,0,0,100,not out,1,3.0,0,14,1,4.66
926851,Mukesh Kumar,16 Jan 2018,v Assam,Ranchi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,16,1,4
926851,Mukesh Kumar,21 Jan 2018,v Baroda,Eden Gardens,2,11,0*,3,0,0,0,-,not out,1,4.0,0,16,1,4
926851,Mukesh Kumar,22 Jan 2018,v UP,Eden Gardens,2,11,1,5,5,0,0,20,caught,1,4.0,0,63,1,15.75
926851,Mukesh Kumar,10 Jan 2021,v Odisha,Jadavpur Uni,2,-,DNB,-,-,-,-,-,-,1,4.0,0,20,2,5
926851,Mukesh Kumar,12 Jan 2021,v Jharkhand,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,4.0,0,21,1,5.25
926851,Mukesh Kumar,14 Jan 2021,v Hyderabad,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,0,8
926851,Mukesh Kumar,16 Jan 2021,v Assam,Eden Gardens,2,10,2*,-,1,0,0,200,not out,1,4.0,0,23,1,5.75
926851,Mukesh Kumar,18 Jan 2021,v Tamil Nadu,Eden Gardens,1,10,0*,-,0,0,0,-,not out,2,4.0,0,34,1,8.5
926851,Mukesh Kumar,4 Nov 2021,v Chhattisgarh,Guwahati,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,2,8.66
926851,Mukesh Kumar,5 Nov 2021,v Baroda,Guwahati,1,-,DNB,-,-,-,-,-,-,2,4.0,0,30,0,7.5
926851,Mukesh Kumar,6 Nov 2021,v Mumbai,Guwahati,2,-,DNB,-,-,-,-,-,-,1,3.0,0,24,1,8
926851,Mukesh Kumar,8 Nov 2021,v Services,Guwahati,2,-,DNB,-,-,-,-,-,-,1,4.0,0,35,1,8.75
926851,Mukesh Kumar,9 Nov 2021,v Karnataka,Guwahati,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,3,8.25
926851,Mukesh Kumar,18 Nov 2021,v Karnataka,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
926851,Mukesh Kumar,14 Oct 2022,v Odisha,Lucknow,2,-,sub,-,-,-,-,-,-,1,3.1,0,12,3,3.78
926851,Mukesh Kumar,16 Oct 2022,v Tamil Nadu,Lucknow,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,2,8.25
926851,Mukesh Kumar,18 Oct 2022,v Sikkim,Lucknow,1,-,DNB,-,-,-,-,-,-,2,2.0,0,9,0,4.5
926851,Mukesh Kumar,20 Oct 2022,v Chhattisgarh,Lucknow,1,-,DNB,-,-,-,-,-,-,2,3.0,0,22,1,7.33
926851,Mukesh Kumar,22 Oct 2022,v Chandigarh,Lucknow,1,-,DNB,-,-,-,-,-,-,2,3.0,0,19,0,6.33
926851,Mukesh Kumar,1 Nov 2022,v Himachal,Kolkata,1,-,DNB,-,-,-,-,-,-,2,4.0,0,40,0,10
926851,Mukesh Kumar,1 Apr 2023,v LSG,Lucknow,2,11,0*,1,1,0,0,0,not out,1,4.0,0,34,0,8.5
926851,Mukesh Kumar,4 Apr 2023,v GT,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,42,0,10.5
926851,Mukesh Kumar,8 Apr 2023,v RR,Guwahati,2,11,1*,3,1,0,0,100,not out,1,4.0,0,36,2,9
926851,Mukesh Kumar,11 Apr 2023,v MI,Delhi,1,-,sub,-,-,-,-,-,-,2,2.0,0,30,2,15
926851,Mukesh Kumar,20 Apr 2023,v KKR,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
926851,Mukesh Kumar,24 Apr 2023,v SRH,Hyderabad,1,-,sub,-,-,-,-,-,-,2,3.0,0,27,0,9
926851,Mukesh Kumar,29 Apr 2023,v SRH,Delhi,2,-,DNB,-,-,-,-,-,-,1,2.0,0,38,0,19
