player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
261354,Nathan Coulter-Nile,29 Dec 2009,v South Aust,W.A.C.A,2,10,0,4,3,0,0,0,caught,1,4.0,0,34,1,8.5
261354,Nathan Coulter-Nile,1 Jan 2010,v Tasmania,Hobart,2,10,4*,11,7,0,0,57.14,not out,1,4.0,0,44,2,11
261354,Nathan Coulter-Nile,5 Jan 2010,v NSW,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,2.0,0,16,0,8
261354,Nathan Coulter-Nile,10 Jan 2010,v Victoria,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,4.0,0,31,0,7.75
261354,Nathan Coulter-Nile,16 Jan 2010,v Queensland,Brisbane,2,7,19*,15,14,2,0,135.71,not out,1,3.0,0,36,0,12
261354,Nathan Coulter-Nile,30 Dec 2010,v Tasmania,W.A.C.A,2,9,1*,-,4,0,0,25,not out,1,4.0,0,30,1,7.5
261354,Nathan Coulter-Nile,29 Dec 2011,v Heat,W.A.C.A,1,8,7*,-,8,1,0,87.5,not out,2,4.0,0,28,0,7
261354,Nathan Coulter-Nile,4 Jan 2012,v Stars,Melbourne,1,7,5,21,13,0,0,38.46,run out,2,3.0,0,20,2,6.66
261354,Nathan Coulter-Nile,8 Jan 2012,v Strikers,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,2,9.33
261354,Nathan Coulter-Nile,11 Jan 2012,v Thunder,Sydney,2,-,DNB,-,-,-,-,-,-,1,3.0,0,9,3,3
261354,Nathan Coulter-Nile,18 Jan 2012,v Sixers,Sydney,2,7,11*,18,13,1,0,84.61,not out,1,4.0,0,38,3,9.5
261354,Nathan Coulter-Nile,21 Jan 2012,v Stars,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,3.0,0,28,0,9.33
261354,Nathan Coulter-Nile,28 Jan 2012,v Sixers,W.A.C.A,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,0,5.75
261354,Nathan Coulter-Nile,17 Oct 2012,v KKR,Durban,1,-,DNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
261354,Nathan Coulter-Nile,21 Oct 2012,v Daredevils,Cape Town,1,7,2*,8,4,0,0,50,not out,2,4.0,0,25,1,6.25
