player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
530773,Pawan Negi,20 Oct 2011,v Himachal,Rohtak,1,5,21,23,20,1,1,105,run out,2,4.0,0,23,2,5.75
530773,Pawan Negi,21 Oct 2011,v J & K,Rohtak,2,6,17*,15,10,1,1,170,not out,1,3.0,0,16,1,5.33
530773,Pawan Negi,22 Oct 2011,v Punjab,Rohtak,1,7,13,31,16,0,0,81.25,caught,2,3.0,1,17,1,5.66
530773,Pawan Negi,24 Oct 2011,v Haryana,Rohtak,2,4,0,1,2,0,0,0,caught,1,3.0,0,24,0,8
530773,Pawan Negi,25 Oct 2011,v Services,Rohtak,1,7,7*,11,5,1,0,140,not out,2,4.0,1,9,2,2.25
530773,Pawan Negi,24 Mar 2012,v Railways,Brabourne,1,8,7*,-,3,1,0,233.33,not out,2,DNB,-,-,-,-
530773,Pawan Negi,26 Mar 2012,v Baroda,Mumbai,1,7,1,-,1,0,0,100,run out,2,4.0,0,39,2,9.75
530773,Pawan Negi,21 Apr 2012,v Warriors,Delhi,2,5,8,13,8,1,0,100,run out,1,DNB,-,-,-,-
530773,Pawan Negi,24 Apr 2012,v Warriors,Pune,2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,0,5.5
530773,Pawan Negi,1 May 2012,v RR,Jaipur,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,4,4.5
530773,Pawan Negi,15 May 2012,v Kings XI,Delhi,2,-,DNB,-,-,-,-,-,-,1,3.0,0,24,1,8
530773,Pawan Negi,17 May 2012,v RCB,Delhi,2,9,6*,11,4,1,0,150,not out,1,3.0,0,37,0,12.33
530773,Pawan Negi,19 May 2012,v Kings XI,Dharamsala,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
530773,Pawan Negi,22 May 2012,v KKR,Pune,2,6,14,-,11,2,0,127.27,stumped,1,4.0,0,18,1,4.5
530773,Pawan Negi,25 May 2012,v CSK,Chennai,2,8,8*,-,6,0,1,133.33,not out,1,4.0,0,33,1,8.25
530773,Pawan Negi,13 Oct 2012,v KKR,Centurion,1,8,1,3,5,0,0,20,caught,2,4.0,0,18,0,4.5
530773,Pawan Negi,21 Oct 2012,v Scorchers,Cape Town,2,8,7*,19,7,1,0,100,not out,1,2.0,0,12,0,6
530773,Pawan Negi,23 Oct 2012,v Titans,Centurion,-,-,TDNB,-,-,-,-,-,-,-,TDNB,-,-,-,-
530773,Pawan Negi,25 Oct 2012,v Lions,Durban,2,8,0,3,1,0,0,0,lbw,1,3.0,0,21,1,7
530773,Pawan Negi,18 Mar 2013,v Punjab,Gurgaon,2,-,DNB,-,-,-,-,-,-,1,4.0,0,36,2,9
530773,Pawan Negi,19 Mar 2013,v Himachal,Rohtak,2,8,3*,12,4,0,0,75,not out,1,3.0,0,15,1,5
530773,Pawan Negi,20 Mar 2013,v J & K,Gurgaon,1,7,12*,6,5,1,1,240,not out,2,3.0,0,14,1,4.66
530773,Pawan Negi,21 Mar 2013,v Haryana,Rohtak,1,8,10,22,12,0,0,83.33,run out,2,2.0,0,18,0,9
530773,Pawan Negi,22 Mar 2013,v Services,Rohtak,1,4,7,-,9,1,0,77.77,bowled,2,3.0,0,21,1,7
530773,Pawan Negi,26 Mar 2013,v Kerala,Indore,1,6,2*,-,1,0,0,200,not out,2,2.0,0,21,1,10.5
530773,Pawan Negi,27 Mar 2013,v Gujarat,Indore,1,6,0*,-,1,0,0,0,not out,2,3.0,0,8,1,2.66
