player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
30732,Praveen Kumar,3 Apr 2007,v Railways,Jaipur,1,1,13,8,6,3,0,216.66,caught,2,3.2,0,23,2,6.9
30732,Praveen Kumar,4 Apr 2007,v Rajasthan,Jaipur,1,1,18,21,16,2,0,112.5,bowled,2,4.0,1,20,1,5
30732,Praveen Kumar,5 Apr 2007,v M. Pradesh,Jaipur,1,1,0,1,1,0,0,0,bowled,2,4.0,0,5,2,1.25
30732,Praveen Kumar,6 Apr 2007,v Vidarbha,Jaipur,2,1,76*,64,53,8,2,143.39,not out,1,4.0,0,21,0,5.25
30732,Praveen Kumar,1 Feb 2008,v Australia,Melbourne,1,8,6,8,10,0,0,60,caught,2,2.0,0,15,1,7.5
30732,Praveen Kumar,18 Apr 2008,v KKR,Bengaluru,2,9,18*,-,15,1,2,120,not out,1,4.0,0,38,0,9.5
30732,Praveen Kumar,20 Apr 2008,v MI,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,1,7.25
30732,Praveen Kumar,26 Apr 2008,v RR,Bengaluru,1,7,34,-,30,2,3,113.33,run out,2,3.0,0,42,1,14
30732,Praveen Kumar,28 Apr 2008,v CSK,Bengaluru,2,8,6,-,5,0,0,120,run out,1,4.0,0,29,1,7.25
30732,Praveen Kumar,30 Apr 2008,v Daredevils,Delhi,2,1,6,-,5,1,0,120,caught,1,4.0,0,24,0,6
30732,Praveen Kumar,3 May 2008,v Chargers,Bengaluru,1,8,8,-,4,2,0,200,run out,2,4.0,0,23,3,5.75
30732,Praveen Kumar,5 May 2008,v Kings XI,Bengaluru,1,7,0,-,2,0,0,0,caught,2,4.0,1,22,2,5.5
30732,Praveen Kumar,8 May 2008,v KKR,Eden Gardens,2,6,4*,-,2,1,0,200,not out,1,3.0,0,36,1,12
30732,Praveen Kumar,12 May 2008,v Kings XI,Mohali,1,7,5,-,7,0,0,71.42,bowled,2,2.4,0,15,0,5.62
30732,Praveen Kumar,17 May 2008,v RR,Jaipur,2,8,0,-,1,0,0,0,caught,1,4.0,0,28,0,7
30732,Praveen Kumar,19 May 2008,v Daredevils,Bengaluru,1,8,2,-,5,0,0,40,bowled,2,2.0,0,33,1,16.5
30732,Praveen Kumar,21 May 2008,v CSK,Chennai,1,8,21,-,11,2,1,190.9,bowled,2,4.0,0,26,1,6.5
30732,Praveen Kumar,28 May 2008,v MI,Bengaluru,1,8,8,-,11,1,0,72.72,run out,2,2.0,0,21,0,10.5
30732,Praveen Kumar,18 Apr 2009,v RR,Cape Town,1,8,8,-,10,0,1,80,caught,2,3.0,0,7,2,2.33
30732,Praveen Kumar,20 Apr 2009,v CSK,Gqeberha,2,1,0,1,3,0,0,0,bowled,1,4.0,0,37,2,9.25
30732,Praveen Kumar,22 Apr 2009,v Chargers,Cape Town,2,9,14*,-,6,0,2,233.33,not out,1,4.0,0,37,1,9.25
30732,Praveen Kumar,24 Apr 2009,v Kings XI,Durban,1,8,13,-,7,0,1,185.71,lbw,2,4.0,0,36,0,9
30732,Praveen Kumar,29 Apr 2009,v KKR,Durban,2,-,DNB,-,-,-,-,-,-,1,4.0,0,25,1,6.25
30732,Praveen Kumar,1 May 2009,v Kings XI,Durban,1,9,9*,-,7,1,0,128.57,not out,2,4.0,0,27,2,6.75
30732,Praveen Kumar,3 May 2009,v MI,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,3.0,1,15,0,5
30732,Praveen Kumar,7 May 2009,v RR,Centurion,1,9,7,-,4,0,1,175,run out,2,4.0,0,31,0,7.75
30732,Praveen Kumar,14 May 2009,v CSK,Durban,2,9,12*,-,6,0,1,200,not out,1,3.4,0,35,1,9.54
30732,Praveen Kumar,19 May 2009,v Daredevils,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,30,3,7.5
30732,Praveen Kumar,21 May 2009,v Chargers,Centurion,1,-,DNB,-,-,-,-,-,-,2,4.0,0,45,0,11.25
30732,Praveen Kumar,23 May 2009,v CSK,Johannesburg,2,-,DNB,-,-,-,-,-,-,1,4.0,0,26,1,6.5
30732,Praveen Kumar,24 May 2009,v Chargers,Johannesburg,2,9,2,-,3,0,0,66.66,caught,1,4.0,0,43,0,10.75
30732,Praveen Kumar,8 Oct 2009,v Cape Cobras,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,3,8
30732,Praveen Kumar,12 Oct 2009,v Otago,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,2.0,0,13,0,6.5
30732,Praveen Kumar,15 Oct 2009,v Victoria,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,2.0,0,10,0,5
30732,Praveen Kumar,17 Oct 2009,v Daredevils,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,35,1,8.75
30732,Praveen Kumar,14 Mar 2010,v KKR,Eden Gardens,1,9,3*,-,5,0,0,60,not out,2,4.0,0,16,1,4
30732,Praveen Kumar,16 Mar 2010,v Kings XI,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,43,1,10.75
30732,Praveen Kumar,18 Mar 2010,v RR,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,18,3,4.5
30732,Praveen Kumar,20 Mar 2010,v MI,Brabourne,2,-,DNB,-,-,-,-,-,-,1,4.0,0,37,1,9.25
30732,Praveen Kumar,23 Mar 2010,v CSK,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,4.0,0,21,1,5.25
30732,Praveen Kumar,25 Mar 2010,v Daredevils,Bengaluru,2,9,0,-,1,0,0,0,caught,1,4.0,0,45,0,11.25
30732,Praveen Kumar,31 Mar 2010,v CSK,Chennai,1,-,DNB,-,-,-,-,-,-,2,3.0,0,42,0,14
30732,Praveen Kumar,2 Apr 2010,v Kings XI,Mohali,2,-,DNB,-,-,-,-,-,-,1,4.0,0,37,0,9.25
