player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
438362,Sandeep Sharma,18 Mar 2013,v Delhi,Gurgaon,1,-,DNB,-,-,-,-,-,-,2,3.1,0,34,0,10.73
438362,Sandeep Sharma,30 Mar 2013,v UP,Indore,1,-,DNB,-,-,-,-,-,-,2,3.0,0,6,2,2
438362,Sandeep Sharma,31 Mar 2013,v Gujarat,Indore,1,-,DNB,-,-,-,-,-,-,2,3.0,0,15,0,5
438362,Sandeep Sharma,11 May 2013,v SRH,Mohali,2,11,0*,1,1,0,0,0,not out,1,4.0,0,21,3,5.25
438362,Sandeep Sharma,14 May 2013,v RCB,Bengaluru,2,-,DNB,-,-,-,-,-,-,1,4.0,0,36,0,9
438362,Sandeep Sharma,16 May 2013,v Daredevils,Dharamsala,1,-,DNB,-,-,-,-,-,-,2,4.0,1,23,3,5.75
438362,Sandeep Sharma,18 May 2013,v MI,Dharamsala,1,-,DNB,-,-,-,-,-,-,2,4.0,0,39,2,9.75
438362,Sandeep Sharma,4 Apr 2014,v Services,Mohali,1,-,DNB,-,-,-,-,-,-,2,4.0,0,28,0,7
438362,Sandeep Sharma,5 Apr 2014,v J & K,Mohali,1,-,DNB,-,-,-,-,-,-,2,4.0,1,18,2,4.5
438362,Sandeep Sharma,22 Apr 2014,v SRH,Sharjah,1,-,DNB,-,-,-,-,-,-,2,4.0,0,26,1,6.5
438362,Sandeep Sharma,26 Apr 2014,v KKR,Abu Dhabi,1,11,2*,4,5,0,0,40,not out,2,4.0,1,21,3,5.25
438362,Sandeep Sharma,28 Apr 2014,v RCB,Dubai (DICS),2,-,DNB,-,-,-,-,-,-,1,3.0,1,15,3,5
438362,Sandeep Sharma,3 May 2014,v MI,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.1,0,29,2,9.15
438362,Sandeep Sharma,7 May 2014,v CSK,Cuttack,1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,1,9.25
438362,Sandeep Sharma,9 May 2014,v RCB,Bengaluru,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,3,6.25
438362,Sandeep Sharma,11 May 2014,v KKR,Cuttack,1,-,DNB,-,-,-,-,-,-,2,4.0,0,32,0,8
438362,Sandeep Sharma,14 May 2014,v SRH,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,65,1,16.25
438362,Sandeep Sharma,19 May 2014,v Daredevils,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,35,3,8.75
438362,Sandeep Sharma,21 May 2014,v MI,Mohali,1,-,DNB,-,-,-,-,-,-,2,3.0,0,37,0,12.33
438362,Sandeep Sharma,30 May 2014,v CSK,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,32,1,10.66
438362,Sandeep Sharma,24 Mar 2015,v Haryana,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,3,8.5
438362,Sandeep Sharma,25 Mar 2015,v Delhi,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,36,0,9
438362,Sandeep Sharma,26 Mar 2015,v J & K,Delhi,1,-,DNB,-,-,-,-,-,-,2,2.0,0,5,1,2.5
438362,Sandeep Sharma,27 Mar 2015,v Services,Delhi,2,-,DNB,-,-,-,-,-,-,1,4.0,0,22,1,5.5
438362,Sandeep Sharma,28 Mar 2015,v Himachal,Delhi,1,-,DNB,-,-,-,-,-,-,2,4.0,0,21,3,5.25
438362,Sandeep Sharma,1 Apr 2015,v Hyderabad,Cuttack,2,11,0*,1,0,0,0,-,not out,1,4.0,0,31,0,7.75
438362,Sandeep Sharma,2 Apr 2015,v Mumbai,Cuttack,1,-,DNB,-,-,-,-,-,-,2,2.0,0,17,1,8.5
438362,Sandeep Sharma,3 Apr 2015,v Odisha,Cuttack,1,-,DNB,-,-,-,-,-,-,2,4.0,0,15,1,3.75
438362,Sandeep Sharma,5 Apr 2015,v Rajasthan,Cuttack,2,-,DNB,-,-,-,-,-,-,1,3.0,0,14,1,4.66
438362,Sandeep Sharma,10 Apr 2015,v RR,Pune,2,-,DNB,-,-,-,-,-,-,1,4.0,1,19,1,4.75
438362,Sandeep Sharma,12 Apr 2015,v MI,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,1,12,1,3
438362,Sandeep Sharma,15 Apr 2015,v Daredevils,Pune,1,-,DNB,-,-,-,-,-,-,2,4.0,0,30,1,7.5
438362,Sandeep Sharma,18 Apr 2015,v KKR,Pune,1,-,DNB,-,-,-,-,-,-,2,4.0,1,25,4,6.25
438362,Sandeep Sharma,21 Apr 2015,v RR,Ahmedabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,25,1,6.25
438362,Sandeep Sharma,25 Apr 2015,v CSK,Chennai,2,11,1*,4,4,0,0,25,not out,1,4.0,0,32,0,8
438362,Sandeep Sharma,27 Apr 2015,v SRH,Mohali,2,11,1*,1,1,0,0,100,not out,1,4.0,1,35,1,8.75
438362,Sandeep Sharma,1 May 2015,v Daredevils,Delhi,1,-,DNB,-,-,-,-,-,-,2,3.0,0,10,0,3.33
438362,Sandeep Sharma,3 May 2015,v MI,Mohali,2,-,DNB,-,-,-,-,-,-,1,3.0,0,24,0,8
438362,Sandeep Sharma,6 May 2015,v RCB,Bengaluru,2,11,7,11,9,1,0,77.77,caught,1,4.0,0,41,2,10.25
438362,Sandeep Sharma,9 May 2015,v KKR,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,0,8.75
438362,Sandeep Sharma,11 May 2015,v SRH,Hyderabad,2,-,DNB,-,-,-,-,-,-,1,4.0,0,33,0,8.25
438362,Sandeep Sharma,13 May 2015,v RCB,Mohali,1,-,DNB,-,-,-,-,-,-,2,2.0,0,20,1,10
438362,Sandeep Sharma,16 May 2015,v CSK,Mohali,1,-,DNB,-,-,-,-,-,-,2,2.0,0,9,1,4.5
438362,Sandeep Sharma,17 Jul 2015,v Zimbabwe,Harare,1,-,DNB,-,-,-,-,-,-,2,3.0,0,34,0,11.33
438362,Sandeep Sharma,19 Jul 2015,v Zimbabwe,Harare,2,11,1*,-,1,0,0,100,not out,1,4.0,0,39,1,9.75
438362,Sandeep Sharma,11 Apr 2016,v Guj Lions,Mohali,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,1,7
438362,Sandeep Sharma,15 Apr 2016,v Daredevils,Delhi,1,11,1*,5,2,0,0,50,not out,2,2.0,1,6,1,3
438362,Sandeep Sharma,17 Apr 2016,v Supergiants,Mohali,2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,2,5.75
