player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1070173,Shubman Gill,14 Apr 2018,v SRH,Eden Gardens,1,7,3,-,9,0,0,33.33,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,16 Apr 2018,v Daredevils,Eden Gardens,1,7,6,-,5,1,0,120,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,18 Apr 2018,v RR,Jaipur,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070173,Shubman Gill,21 Apr 2018,v Kings XI,Eden Gardens,1,7,14*,-,8,2,0,175,not out,2,DNB,-,-,-,-
1070173,Shubman Gill,27 Apr 2018,v Daredevils,Delhi,2,6,37,-,29,3,1,127.58,run out,1,DNB,-,-,-,-
1070173,Shubman Gill,29 Apr 2018,v RCB,Bengaluru,2,7,5*,-,2,1,0,250,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,3 May 2018,v CSK,Eden Gardens,2,4,57*,-,36,6,2,158.33,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,6 May 2018,v MI,Wankhede,2,2,7,-,5,1,0,140,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,12 May 2018,v Kings XI,Indore,1,7,16*,-,8,3,0,200,not out,2,DNB,-,-,-,-
1070173,Shubman Gill,15 May 2018,v RR,Eden Gardens,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
1070173,Shubman Gill,19 May 2018,v SRH,Hyderabad,2,7,0*,-,0,0,0,-,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,23 May 2018,v RR,Eden Gardens,1,6,28,-,17,3,1,164.7,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,25 May 2018,v SRH,Eden Gardens,2,6,30,-,20,2,1,150,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,22 Feb 2019,v Mumbai,Indore,2,1,1,5,3,0,0,33.33,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,24 Feb 2019,v Saurashtra,Indore,1,2,12,31,12,2,0,100,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,27 Feb 2019,v Sikkim,Indore,2,1,70*,-,40,7,3,175,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,28 Feb 2019,v Goa,Indore,1,2,21,25,16,2,1,131.25,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,2 Mar 2019,v Railways,Indore,2,2,11,-,14,1,0,78.57,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,24 Mar 2019,v SRH,Eden Gardens,2,6,18*,-,10,0,2,180,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,27 Mar 2019,v Kings XI,Eden Gardens,1,-,DNB,-,-,-,-,-,-,2,DNB,-,-,-,-
1070173,Shubman Gill,30 Mar 2019,v DC,Delhi,1,6,4,12,5,0,0,80,run out,2,DNB,-,-,-,-
1070173,Shubman Gill,5 Apr 2019,v RCB,Bengaluru,2,7,3*,16,3,0,0,100,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,7 Apr 2019,v RR,Jaipur,2,4,6*,12,10,0,0,60,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,9 Apr 2019,v CSK,Chennai,1,6,9,24,12,0,0,75,stumped,2,DNB,-,-,-,-
1070173,Shubman Gill,12 Apr 2019,v DC,Eden Gardens,1,2,65,70,39,7,2,166.66,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,14 Apr 2019,v CSK,Eden Gardens,1,7,15,28,20,0,0,75,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,19 Apr 2019,v RCB,Eden Gardens,2,3,9,21,11,1,0,81.81,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,21 Apr 2019,v SRH,Hyderabad,1,3,3,9,4,0,0,75,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,25 Apr 2019,v RR,Eden Gardens,1,2,14,24,14,2,0,100,bowled,2,DNB,-,-,-,-
1070173,Shubman Gill,28 Apr 2019,v MI,Eden Gardens,1,1,76,74,45,6,4,168.88,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,3 May 2019,v Kings XI,Mohali,2,1,65*,88,49,5,2,132.65,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,5 May 2019,v MI,Wankhede,1,1,9,29,16,0,0,56.25,lbw,2,DNB,-,-,-,-
1070173,Shubman Gill,8 Nov 2019,v Hyderabad,Chandigarh,2,1,48,-,42,4,2,114.28,caught,1,DNB,-,-,-,-
1070173,Shubman Gill,9 Nov 2019,v Arunachal,Chandigarh,2,1,24*,-,14,3,1,171.42,not out,1,DNB,-,-,-,-
1070173,Shubman Gill,24 Nov 2019,v Karnataka,Surat,1,1,11,-,9,2,0,122.22,caught,2,DNB,-,-,-,-
1070173,Shubman Gill,25 Nov 2019,v Tamil Nadu,Surat,1,2,2,-,11,0,0,18.18,caught,2,DNB,-,-,-,-
