player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1123718,Spencer Johnson,11 Jan 2023,v Scorchers,Brisbane,1,-,DNB,-,-,-,-,-,-,2,3.2,0,22,0,6.6
1123718,Spencer Johnson,14 Jan 2023,v Strikers,Adelaide,1,9,0,2,1,0,0,0,bowled,2,4.0,1,28,1,7
1123718,Spencer Johnson,16 Jan 2023,v Stars,Melbourne,2,-,DNB,-,-,-,-,-,-,1,4.0,0,41,1,10.25
1123718,Spencer Johnson,20 Jan 2023,v Hurricanes,Brisbane,1,-,DNB,-,-,-,-,-,-,2,4.0,0,22,1,5.5
1123718,Spencer Johnson,22 Jan 2023,v Stars,Brisbane,1,-,DNB,-,-,-,-,-,-,2,4.0,0,38,0,9.5
1123718,Spencer Johnson,25 Jan 2023,v Hurricanes,Launceston,2,10,0*,2,0,0,0,-,not out,1,4.0,0,20,2,5
1123718,Spencer Johnson,27 Jan 2023,v Thunder,Sydney,1,-,DNB,-,-,-,-,-,-,2,2.0,0,23,0,11.5
1123718,Spencer Johnson,29 Jan 2023,v Renegades,Melbourne (Docklands),2,-,DNB,-,-,-,-,-,-,1,4.0,0,23,0,5.75
1123718,Spencer Johnson,2 Feb 2023,v Sixers,Sydney,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,3,7
1123718,Spencer Johnson,4 Feb 2023,v Scorchers,Perth,1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,1,9.25
1123718,Spencer Johnson,9 Aug 2023,v Originals,The Oval,1,-,DNB,-,-,-,-,-,-,2,4.0,3,1,3,0.3
1123718,Spencer Johnson,11 Aug 2023,v N S-Chargers,Leeds,1,-,DNB,-,-,-,-,-,-,2,4.0,0,36,1,10.8
1123718,Spencer Johnson,13 Aug 2023,v Phoenix,Birmingham,2,11,1*,4,1,0,0,100,not out,1,4.0,0,32,0,9.6
1123718,Spencer Johnson,15 Aug 2023,v Spirit,The Oval,1,-,DNB,-,-,-,-,-,-,2,3.0,0,26,0,10.4
1123718,Spencer Johnson,19 Aug 2023,v Brave,Southampton,1,-,DNB,-,-,-,-,-,-,2,3.0,0,22,0,8.8
1123718,Spencer Johnson,21 Aug 2023,v Rockets,The Oval,2,-,DNB,-,-,-,-,-,-,1,2.0,0,12,1,7.2
1123718,Spencer Johnson,30 Aug 2023,v South Africa,Durban,1,-,DNB,-,-,-,-,-,-,2,3.3,0,33,2,9.42
1123718,Spencer Johnson,3 Sep 2023,v South Africa,Durban,2,-,DNB,-,-,-,-,-,-,1,4.0,0,29,0,7.25
1123718,Spencer Johnson,7 Dec 2023,v Stars,Brisbane,1,-,DNB,-,-,-,-,-,-,2,2.0,0,25,1,12.5
1123718,Spencer Johnson,12 Dec 2023,v Thunder,Canberra,1,9,4*,1,2,1,0,200,not out,2,2.0,0,16,0,8
1123718,Spencer Johnson,21 Dec 2023,v Renegades,Melbourne (Docklands),2,-,DNB,-,-,-,-,-,-,1,4.0,0,39,1,9.75
1123718,Spencer Johnson,27 Dec 2023,v Thunder,Brisbane,1,9,0,1,1,0,0,0,caught,2,4.0,0,24,2,6
1123718,Spencer Johnson,3 Jan 2024,v Sixers,Coffs Harbour,2,-,DNB,-,-,-,-,-,-,1,4.0,0,32,1,8
1123718,Spencer Johnson,7 Jan 2024,v Hurricanes,Brisbane,1,-,DNB,-,-,-,-,-,-,2,3.0,0,21,2,7
1123718,Spencer Johnson,10 Jan 2024,v Scorchers,Brisbane,1,-,DNB,-,-,-,-,-,-,2,4.0,0,23,2,5.75
1123718,Spencer Johnson,13 Jan 2024,v Scorchers,Perth,2,9,0*,8,2,0,0,0,not out,1,4.0,0,35,1,8.75
1123718,Spencer Johnson,19 Jan 2024,v Sixers,Carrara,2,9,11,10,7,2,0,157.14,caught,1,4.0,1,14,2,3.5
1123718,Spencer Johnson,22 Jan 2024,v Strikers,Carrara,1,-,DNB,-,-,-,-,-,-,2,4.0,0,20,3,5
1123718,Spencer Johnson,24 Jan 2024,v Sixers,Sydney,1,9,0*,4,0,0,0,-,not out,2,4.0,0,26,4,6.5
1123718,Spencer Johnson,11 Feb 2024,v West Indies,Adelaide,1,-,DNB,-,-,-,-,-,-,2,4.0,0,39,2,9.75
