player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1159734,Sumit Kumar,21 Feb 2019,v Arunachal,Cuttack,2,-,DNB,-,-,-,-,-,-,1,4.0,0,13,3,3.25
1159734,Sumit Kumar,22 Feb 2019,v Odisha,Cuttack,1,6,18,-,17,3,0,105.88,run out,2,4.0,0,27,1,6.75
1159734,Sumit Kumar,24 Feb 2019,v Bengal,Cuttack,1,7,1,-,3,0,0,33.33,caught,2,4.0,0,26,1,6.5
1159734,Sumit Kumar,25 Feb 2019,v Chhattisgarh,Cuttack,1,5,43,-,29,6,0,148.27,lbw,2,3.0,0,28,1,9.33
1159734,Sumit Kumar,27 Feb 2019,v Mizoram,Cuttack,1,4,41,-,19,2,3,215.78,caught,2,3.0,0,33,0,11
1159734,Sumit Kumar,28 Feb 2019,v Assam,Cuttack,2,4,10*,-,14,1,0,71.42,not out,1,3.0,0,20,4,6.66
1159734,Sumit Kumar,2 Mar 2019,v Karnataka,Cuttack,2,7,63,-,40,8,3,157.5,caught,1,4.0,0,23,2,5.75
1159734,Sumit Kumar,9 Nov 2019,v Mumbai,Wankhede,1,5,11,-,11,0,1,100,caught,2,1.0,0,15,0,15
1159734,Sumit Kumar,11 Nov 2019,v Assam,Mumbai,2,6,17,-,9,2,0,188.88,run out,1,4.0,0,37,1,9.25
1159734,Sumit Kumar,12 Nov 2019,v Bengal,Mumbai,2,7,13*,-,9,2,0,144.44,not out,1,1.0,0,4,0,4
1159734,Sumit Kumar,14 Nov 2019,v Puducherry,Mumbai,2,6,0*,-,1,0,0,0,not out,1,4.0,1,18,2,4.5
1159734,Sumit Kumar,15 Nov 2019,v Mizoram,Wankhede,2,-,DNB,-,-,-,-,-,-,1,1.0,0,2,0,2
1159734,Sumit Kumar,17 Nov 2019,v M. Pradesh,Mumbai,2,7,44*,-,28,4,3,157.14,not out,1,4.0,0,26,1,6.5
