player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
1170265,Tilak Varma,28 Feb 2019,v Services,Delhi,1,3,10,16,10,1,0,100,lbw,2,DNB,-,-,-,-
1170265,Tilak Varma,2 Mar 2019,v Uttarakhand,Delhi,1,2,40*,25,15,2,4,266.66,not out,-,TDNB,-,-,-,-
1170265,Tilak Varma,8 Nov 2019,v Punjab,Chandigarh,1,5,0,-,3,0,0,0,bowled,2,DNB,-,-,-,-
1170265,Tilak Varma,10 Jan 2021,v Assam,Eden Gardens,2,2,17,-,19,1,0,89.47,caught,1,DNB,-,-,-,-
1170265,Tilak Varma,12 Jan 2021,v Odisha,Jadavpur Uni,1,3,44,-,35,3,0,125.71,caught,2,DNB,-,-,-,-
1170265,Tilak Varma,14 Jan 2021,v Bengal,Eden Gardens,1,3,50,-,30,6,1,166.66,caught,2,1.0,0,12,0,12
1170265,Tilak Varma,16 Jan 2021,v Tamil Nadu,Jadavpur Uni,1,3,5,-,4,1,0,125,caught,2,DNB,-,-,-,-
1170265,Tilak Varma,18 Jan 2021,v Jharkhand,Eden Gardens,1,3,0,-,3,0,0,0,caught,2,2.0,0,16,0,8
1170265,Tilak Varma,4 Nov 2021,v Saurashtra,Sultanpur,2,3,6,5,6,1,0,100,run out,1,DNB,-,-,-,-
1170265,Tilak Varma,5 Nov 2021,v Uttarakhand,Sultanpur,1,3,15,12,12,1,1,125,bowled,2,DNB,-,-,-,-
1170265,Tilak Varma,6 Nov 2021,v Chandigarh,Sultanpur,2,3,61*,44,29,3,6,210.34,not out,1,1.0,0,9,0,9
1170265,Tilak Varma,8 Nov 2021,v Delhi,Sultanpur,2,3,37,54,32,2,2,115.62,caught,1,DNB,-,-,-,-
1170265,Tilak Varma,9 Nov 2021,v UP,Sultanpur,1,3,13,-,9,2,0,144.44,run out,2,DNB,-,-,-,-
1170265,Tilak Varma,18 Nov 2021,v Gujarat,Delhi,1,3,75,-,50,5,2,150,run out,2,DNB,-,-,-,-
1170265,Tilak Varma,20 Nov 2021,v Tamil Nadu,Delhi,1,3,8,-,8,0,1,100,caught,2,DNB,-,-,-,-
1170265,Tilak Varma,27 Mar 2022,v DC,Brabourne,1,4,22,18,15,3,0,146.66,caught,2,DNB,-,-,-,-
1170265,Tilak Varma,2 Apr 2022,v RR,DY Patil,2,4,61,50,33,3,5,184.84,bowled,1,DNB,-,-,-,-
1170265,Tilak Varma,6 Apr 2022,v KKR,Pune,1,5,38*,50,27,3,2,140.74,not out,2,1.0,0,6,0,6
1170265,Tilak Varma,9 Apr 2022,v RCB,Pune,1,5,0,5,3,0,0,0,run out,2,DNB,-,-,-,-
1170265,Tilak Varma,13 Apr 2022,v Punjab Kings,Pune,2,4,36,46,20,3,2,180,run out,1,DNB,-,-,-,-
1170265,Tilak Varma,16 Apr 2022,v LSG,Brabourne,2,5,26,44,26,2,0,100,bowled,1,1.0,0,7,0,7
1170265,Tilak Varma,21 Apr 2022,v CSK,DY Patil,1,5,51*,85,43,3,2,118.6,not out,2,DNB,-,-,-,-
1170265,Tilak Varma,24 Apr 2022,v LSG,Wankhede,2,5,38,51,27,2,2,140.74,caught,1,DNB,-,-,-,-
