player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
470633,Tom Kohler-Cadmore,16 May 2014,v Durham,Chester-le-Street,2,6,1,2,3,0,0,33.33,run out,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,17 May 2014,v Lancashire,Manchester,2,3,25,16,13,3,1,192.3,caught,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,6 Jun 2014,v Leics,Leicester,2,3,23,14,15,4,0,153.33,caught,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,7 Jun 2014,v Durham,Worcester,2,3,32,24,24,5,0,133.33,lbw,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,13 Jun 2014,v Derbyshire,Derby,1,3,6,11,10,1,0,60,caught,2,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,20 Jun 2014,v Warwickshire,Worcester,2,3,25,25,16,4,1,156.25,caught,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,6 Jul 2014,v Lancashire,Worcester,2,4,9,6,6,0,1,150,bowled,1,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,11 Jul 2014,v Warwickshire,Birmingham,1,3,51,30,34,5,3,150,caught,2,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,18 Jul 2014,v Northants,Northampton,1,3,20,13,12,4,0,166.66,stumped,2,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,25 Jul 2014,v Derbyshire,Worcester,1,3,22,29,24,1,1,91.66,caught,2,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,2 Aug 2014,v Surrey,The Oval,1,3,13,13,13,2,0,100,bowled,2,DNB,-,-,-,-
470633,Tom Kohler-Cadmore,22 May 2015,v Warwickshire,Birmingham,2,3,21,15,13,1,1,161.53,caught,1,DNB,-,-,-,-
