player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
822553,Tushar Deshpande,1 Apr 2015,v Odisha,Cuttack,2,10,0,1,1,0,0,0,stumped,1,2.0,0,19,0,9.5
822553,Tushar Deshpande,2 Apr 2015,v Punjab,Cuttack,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,0,9.5
822553,Tushar Deshpande,7 Jan 2018,v Baroda,Rajkot,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,2,9.5
822553,Tushar Deshpande,8 Jan 2018,v Gujarat,Rajkot,2,-,DNB,-,-,-,-,-,-,1,4.0,0,36,1,9
822553,Tushar Deshpande,10 Jan 2018,v Saurashtra,Rajkot,1,11,1,5,3,0,0,33.33,bowled,2,3.0,0,25,0,8.33
822553,Tushar Deshpande,21 Feb 2019,v Sikkim,Indore,1,-,DNB,-,-,-,-,-,-,2,4.0,0,33,1,8.25
822553,Tushar Deshpande,22 Feb 2019,v Punjab,Indore,1,11,0,3,1,0,0,0,run out,2,3.0,0,15,1,5
822553,Tushar Deshpande,24 Feb 2019,v M. Pradesh,Indore,2,-,DNB,-,-,-,-,-,-,1,4.0,0,28,4,7
822553,Tushar Deshpande,25 Feb 2019,v Goa,Indore,2,-,DNB,-,-,-,-,-,-,1,3.0,0,26,0,8.66
822553,Tushar Deshpande,27 Feb 2019,v Railways,Indore,2,11,4*,2,2,1,0,200,not out,1,4.0,0,44,3,11
822553,Tushar Deshpande,28 Feb 2019,v Saurashtra,Indore,1,11,0,-,1,0,0,0,run out,2,2.5,0,24,2,8.47
822553,Tushar Deshpande,8 Mar 2019,v Karnataka,Indore,1,11,0*,-,0,0,0,-,not out,2,1.2,0,15,0,11.25
822553,Tushar Deshpande,9 Mar 2019,v Delhi,Indore,2,-,DNB,-,-,-,-,-,-,1,4.0,1,19,4,4.75
822553,Tushar Deshpande,11 Mar 2019,v Vidarbha,Indore,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,3,9.5
822553,Tushar Deshpande,12 Mar 2019,v UP,Indore,1,-,DNB,-,-,-,-,-,-,2,4.0,0,25,1,6.25
822553,Tushar Deshpande,8 Nov 2019,v Mizoram,Wankhede,2,-,DNB,-,-,-,-,-,-,1,2.3,0,8,2,3.2
822553,Tushar Deshpande,9 Nov 2019,v Haryana,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,27,2,6.75
822553,Tushar Deshpande,11 Nov 2019,v M. Pradesh,Wankhede,2,-,DNB,-,-,-,-,-,-,1,4.0,0,34,1,8.5
822553,Tushar Deshpande,12 Nov 2019,v Puducherry,Wankhede,1,-,DNB,-,-,-,-,-,-,2,4.0,0,29,2,7.25
822553,Tushar Deshpande,27 Nov 2019,v Punjab,Surat,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,2,8.75
822553,Tushar Deshpande,14 Oct 2020,v RR,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,4.0,0,37,2,9.25
822553,Tushar Deshpande,17 Oct 2020,v CSK,Sharjah,2,-,DNB,-,-,-,-,-,-,1,4.0,0,39,1,9.75
822553,Tushar Deshpande,20 Oct 2020,v Kings XI,Dubai (DICS),1,-,DNB,-,-,-,-,-,-,2,2.0,0,41,0,20.5
822553,Tushar Deshpande,24 Oct 2020,v KKR,Abu Dhabi,2,10,1,-,3,0,0,33.33,caught,1,4.0,0,40,0,10
822553,Tushar Deshpande,27 Oct 2020,v SRH,Dubai (DICS),2,10,20*,-,9,2,1,222.22,not out,1,3.0,0,35,0,11.66
822553,Tushar Deshpande,11 Jan 2021,v Delhi,Wankhede,2,9,5*,-,5,0,0,100,not out,1,4.0,0,40,1,10
822553,Tushar Deshpande,13 Jan 2021,v Kerala,Wankhede,1,-,DNB,-,-,-,-,-,-,2,3.0,0,55,1,18.33
822553,Tushar Deshpande,4 Nov 2021,v Karnataka,Guwahati,2,-,DNB,-,-,-,-,-,-,1,4.0,0,38,2,9.5
822553,Tushar Deshpande,5 Nov 2021,v Services,Guwahati,1,-,DNB,-,-,-,-,-,-,2,4.0,0,35,3,8.75
822553,Tushar Deshpande,6 Nov 2021,v Bengal,Guwahati,1,-,DNB,-,-,-,-,-,-,2,4.0,0,19,2,4.75
