player_id,player_name,start_date,opposition,ground,bat_innings,bat_position,bat_runs,bat_mins,bat_bf,bat_4s,bat_6s,bat_sr,bat_dismissal,bowl_innings,bowl_overs,bowl_maidens,bowl_runs,bowl_wickets,bowl_economy
477021,Vijay Shankar,17 Mar 2013,v Andhra,Bhadravati,2,-,DNB,-,-,-,-,-,-,1,4.0,0,35,2,8.75
477021,Vijay Shankar,18 Mar 2013,v Goa,Shimoga,2,-,DNB,-,-,-,-,-,-,1,DNB,-,-,-,-
477021,Vijay Shankar,19 Mar 2013,v Karnataka,Shimoga,2,6,17*,31,12,1,0,141.66,not out,1,DNB,-,-,-,-
477021,Vijay Shankar,21 Mar 2013,v Kerala,Shimoga,1,-,DNB,-,-,-,-,-,-,2,3.0,0,22,0,7.33
477021,Vijay Shankar,22 Mar 2013,v Hyderabad,Shimoga,2,6,6,-,5,0,0,120,run out,1,2.0,0,27,0,13.5
477021,Vijay Shankar,1 Apr 2014,v Goa,Visakhapatnam,1,6,16,18,11,2,0,145.45,run out,2,DNB,-,-,-,-
477021,Vijay Shankar,2 Apr 2014,v Andhra,Vizianagaram,1,5,1,3,3,0,0,33.33,caught,2,1.0,0,13,0,13
477021,Vijay Shankar,3 Apr 2014,v Hyderabad,Visakhapatnam,1,6,24,26,17,2,0,141.17,caught,2,2.0,0,12,2,6
477021,Vijay Shankar,4 Apr 2014,v Kerala,Visakhapatnam,1,6,6*,11,7,0,0,85.71,not out,2,DNB,-,-,-,-
477021,Vijay Shankar,5 Apr 2014,v Karnataka,Visakhapatnam,2,6,13,-,12,0,0,108.33,caught,1,3.0,0,13,0,4.33
477021,Vijay Shankar,13 May 2014,v RR,Ranchi,2,-,DNB,-,-,-,-,-,-,1,1.0,0,19,0,19
477021,Vijay Shankar,25 Mar 2015,v Hyderabad,Kochi,1,3,34,44,31,2,0,109.67,caught,2,3.0,0,28,0,9.33
477021,Vijay Shankar,26 Mar 2015,v Kerala,Kochi,2,4,0,3,2,0,0,0,caught,1,2.0,0,15,0,7.5
